period,district,amount,amount_rs_in_lakhs,amount_rs_inlakhs,amount_rsin_lakhs,amountof_subsidy_rsin_lakhs,disbursed_upto_31_03_18_no,disbursement,disbursement_no,disbursement_no_of_cases,no_of_cases,no_of_cases_sponsored,no_ofcases_sponsored,pending_disbursement_no,pending_with_bank_for,pending_with_bank_for_disbursement,pending_with_bank_for_disbursement_no,pending_with_bank_for_disbursement_no_of_cases,pending_with_bank_for_no,pending_with_bank_for_nod_i_sb,pending_with_bank_no,pending_with_no,pending_withbank_fordisburseme_nt_no_of_cases,pending_withbank_fordisbursement_no_of_cases,pendingwith_bankfor_disbursement_no_of_cases,pendingwithbank_fordisbursement_no_of_cases,project_cost,project_cost_involved,project_cost_involved_in_sanctioned_cases,s_u_b_s_idy_released_no,sanction_ed,sanctioned,sanctioned_but_pending_for_disbursement_no,sanctioned_caes_project_cost_in,sanctioned_caes_project_cost_involved,sanctioned_cases_project_cost,sanctioned_cases_total_project_cost_involved,sanctioned_no,sponsored_no,subsidy,subsidy_involved,subsidy_involved_in_sanctioned_cases,subsidy_involved_in_sanctioned_cases_r_s_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_in_lakhs,subsidy_involved_in_sanctioned_cases_rs_inlakhs,subsidy_involvedin_sanctioned_cases_rs_inlakhs,subsidy_released,subsidy_released_nedo,subsidy_released_no,subsidy_released_no_of_cases,subsidyreleased_no_of_cases,svoulbvesdidy_involv,total_project_cost_involved_in_sanctioned,total_project_cost_involved_in_sanctioned_cases,total_project_cost_involved_in_sanctioned_cases_rs_in_lakhs,totalproject_cost_involvedin_sanctioned_cases_rsin_lakhs,urseammeonutnt
December 2020,Bankura,0.04,,,,,,,12.0,,,0.0,,,,,,,,,,5.0,,,,,,0.87,,,,37.0,,,,,,,,,0.26,,,,,,,,17.0,,,,,,,,
December 2020,Birbhum,0.94,,,,,,,287.0,,,0.0,,,,,,,,,,170.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,457.0,,,,,,,,
December 2020,Cooch Behar,1.12,,,,,,,162.0,,,0.0,,,,,,,,,,146.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,308.0,,,,,,,,
December 2020,Dakshin Dinajpur,0.16,,,,,,,0.0,,,0.0,,,,,,,,,,19.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,19.0,,,,,,,,
December 2020,Darjeeling,0.1,,,,,,,0.0,,,23.0,,,,,,,,,,9.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,9.0,,,,,,,,
December 2020,Hooghly,3.66,,,,,,,475.0,,,0.0,,,,,,,,,,244.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,719.0,,,,,,,,
December 2020,Howrah,1.79,,,,,,,172.0,,,0.0,,,,,,,,,,231.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,403.0,,,,,,,,
December 2020,Jalpaiguri,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,446.0,,,,,,,,
December 2020,Jhargram,0.3,,,,,,,58.0,,,0.0,,,,,,,,,,20.0,,,,,,0.13,,,,6.0,,,,,,,,,0.04,,,,,,,,78.0,,,,,,,,
December 2020,Kalimpong,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,
December 2020,Kolkata,0.02,,,,,,,0.0,,,0.0,,,,,,,,,,1.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,
December 2020,Malda,0.99,,,,,,,136.0,,,0.0,,,,,,,,,,80.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,216.0,,,,,,,,
December 2020,Murshidabad,2.03,,,,,,,440.0,,,0.0,,,,,,,,,,202.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,642.0,,,,,,,,
December 2020,Nadia,0.74,,,,,,,167.0,,,0.0,,,,,,,,,,81.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,248.0,,,,,,,,
December 2020,Paschim Bardhaman,0.21,,,,,,,58.0,,,0.0,,,,,,,,,,46.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,104.0,,,,,,,,
December 2020,Paschim Medinipur,0.0,,,,,,,674.0,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,674.0,,,,,,,,
December 2020,Purba Bardhaman,3.14,,,,,,,503.0,,,0.0,,,,,,,,,,258.0,,,,,,3.26,,,,102.0,,,,,,,,,0.98,,,,,,,,761.0,,,,,,,,
December 2020,Purba Medinipur,1.37,,,,,,,266.0,,,0.0,,,,,,,,,,139.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,405.0,,,,,,,,
December 2020,Purulia,1.04,,,,,,,210.0,,,0.0,,,,,,,,,,108.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,318.0,,,,,,,,
December 2020,Uttar Dinajpur,0.0,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,
June 2016,Alipurduar,,,2468.02,,237.51,,,,3548.0,,,8385.0,,,,,,,,,,,,289.0,,,,,,4013.0,,,,,,,,,,,,,,,2661.23,,,,,3884.0,,,,,11059.5,
