period,district,1_year_above_no,1_year_and_above,1_year_and_above_62,1_year_and_above_no,6_month_to_below1_year_no,6_months_to_1_year,6_months_to_1_year_20,6_months_to_1_year_no,above_60_day_below_6_months,above_60_day_below_6_months_no,above_60_days_below_6_months,above_60_days_below_6_months_118,above_60_days_to_below_6_months_no,amt,amt_in_cr,below_60_days_no,pending_above_1_year_no,pending_above_60_days_no,pending_below_60_days,pending_below_60_days_23,pending_below_60_days_no,pending_below_60_dyas_23,pending_from_6_month_to_1_year_no,sr_no_1,toatal_pending_no,total_pending,total_pending_as_on_31_03_2019_223,total_pending_as_on_31_03_2020,total_pending_as_on_31_06_2019,total_pending_as_on_31_12_2018_223,total_pending_as_on_31_12_2019,total_pending_no
September 2021,Alipurduar,,0.0,,,,0.0,,,5.0,,,,,,,,,,0.0,,,,,,,5.0,,,,,,
September 2021,Bankura,,13.0,,,,9.0,,,5.0,,,,,,,,,,0.0,,,,,,,27.0,,,,,,
September 2021,Birbhum,,34.0,,,,16.0,,,4.0,,,,,,,,,,6.0,,,,,,,60.0,,,,,,
September 2021,Cooch Behar,,42.0,,,,6.0,,,1.0,,,,,,,,,,1.0,,,,,,,50.0,,,,,,
September 2021,Dakshin Dinajpur,,46.0,,,,6.0,,,2.0,,,,,,,,,,0.0,,,,,,,54.0,,,,,,
September 2021,Darjeeling,,25.0,,,,11.0,,,3.0,,,,,,,,,,0.0,,,,,,,39.0,,,,,,
September 2021,Hooghly,,118.0,,,,39.0,,,57.0,,,,,,,,,,7.0,,,,,,,221.0,,,,,,
September 2021,Howrah,,109.0,,,,75.0,,,28.0,,,,,,,,,,10.0,,,,,,,222.0,,,,,,
September 2021,Jalpaiguri,,23.0,,,,4.0,,,0.0,,,,,,,,,,0.0,,,,,,,27.0,,,,,,
September 2021,Jhargram,,1.0,,,,2.0,,,0.0,,,,,,,,,,0.0,,,,,,,3.0,,,,,,
September 2021,Kalimpong,,0.0,,,,0.0,,,1.0,,,,,,,,,,0.0,,,,,,,1.0,,,,,,
September 2021,Kolkata,,18.0,,,,366.0,,,4.0,,,,,,,,,,2.0,,,,,,,390.0,,,,,,
September 2021,Malda,,48.0,,,,13.0,,,2.0,,,,,,,,,,0.0,,,,,,,63.0,,,,,,
September 2021,Murshidabad,,80.0,,,,15.0,,,3.0,,,,,,,,,,10.0,,,,,,,108.0,,,,,,
September 2021,Nadia,,30.0,,,,4.0,,,12.0,,,,,,,,,,0.0,,,,,,,46.0,,,,,,
September 2021,Paschim Bardhaman,,36.0,,,,16.0,,,16.0,,,,,,,,,,6.0,,,,,,,74.0,,,,,,
September 2021,Paschim Medinipur,,67.0,,,,8.0,,,11.0,,,,,,,,,,0.0,,,,,,,86.0,,,,,,
September 2021,Purba Bardhaman,,62.0,,,,9.0,,,20.0,,,,,,,,,,9.0,,,,,,,100.0,,,,,,
September 2021,Purba Medinipur,,35.0,,,,25.0,,,4.0,,,,,,,,,,0.0,,,,,,,64.0,,,,,,
September 2021,Purulia,,7.0,,,,9.0,,,3.0,,,,,,,,,,2.0,,,,,,,21.0,,,,,,
September 2021,Uttar Dinajpur,,39.0,,,,4.0,,,0.0,,,,,,,,,,0.0,,,,,,,43.0,,,,,,
September 2022,Alipurduar,,0.0,,,,0.0,,,0.0,,,,,,,,,,2.0,,,,,,,2.0,,,,,,
September 2022,Bankura,,23.0,,,,10.0,,,5.0,,,,,,,,,,5.0,,,,,,,43.0,,,,,,
September 2022,Birbhum,,49.0,,,,19.0,,,10.0,,,,,,,,,,3.0,,,,,,,81.0,,,,,,
September 2022,Cooch Behar,,19.0,,,,5.0,,,1.0,,,,,,,,,,8.0,,,,,,,33.0,,,,,,
September 2022,Dakshin Dinajpur,,52.0,,,,3.0,,,6.0,,,,,,,,,,6.0,,,,,,,67.0,,,,,,
September 2022,Darjeeling,,23.0,,,,4.0,,,6.0,,,,,,,,,,12.0,,,,,,,45.0,,,,,,
September 2022,Hooghly,,135.0,,,,72.0,,,72.0,,,,,,,,,,12.0,,,,,,,289.0,,,,,,
September 2022,Howrah,,140.0,,,,60.0,,,52.0,,,,,,,,,,22.0,,,,,,,273.0,,,,,,
September 2022,Jalpaiguri,,16.0,,,,4.0,,,2.0,,,,,,,,,,17.0,,,,,,,39.0,,,,,,
September 2022,Jhargram,,1.0,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,1.0,,,,,,
September 2022,Kalimpong,,0.0,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,
September 2022,Kolkata,,100.0,,,,16.0,,,40.0,,,,,,,,,,38.0,,,,,,,194.0,,,,,,
September 2022,Malda,,60.0,,,,9.0,,,1.0,,,,,,,,,,7.0,,,,,,,77.0,,,,,,
September 2022,Murshidabad,,67.0,,,,8.0,,,1.0,,,,,,,,,,11.0,,,,,,,86.0,,,,,,
September 2022,Nadia,,70.0,,,,7.0,,,22.0,,,,,,,,,,2.0,,,,,,,101.0,,,,,,
September 2022,Paschim Bardhaman,,88.0,,,,17.0,,,10.0,,,,,,,,,,13.0,,,,,,,123.0,,,,,,
September 2022,Paschim Medinipur,,96.0,,,,14.0,,,5.0,,,,,,,,,,4.0,,,,,,,102.0,,,,,,
September 2022,Purba Bardhaman,,90.0,,,,22.0,,,24.0,,,,,,,,,,15.0,,,,,,,144.0,,,,,,
September 2022,Purba Medinipur,,46.0,,,,16.0,,,0.0,,,,,,,,,,6.0,,,,,,,68.0,,,,,,
September 2022,Purulia,,7.0,,,,6.0,,,3.0,,,,,,,,,,2.0,,,,,,,18.0,,,,,,
September 2022,Uttar Dinajpur,,55.0,,,,1.0,,,1.0,,,,,,,,,,4.0,,,,,,,61.0,,,,,,
September 2024,Alipurduar,,,,,,,,,,,,,,40.6,,,3.0,4.0,,,0.0,,3.0,,10.0,,,,,,,
September 2024,Bankura,,,,,,,,,,,,,,14.73,,,43.0,2.0,,,0.0,,9.0,,54.0,,,,,,,
September 2024,Birbhum,,,,,,,,,,,,,,30.69,,,71.0,22.0,,,2.0,,47.0,,142.0,,,,,,,
September 2024,Cooch Behar,,,,,,,,,,,,,,14.47,,,22.0,27.0,,,7.0,,30.0,,86.0,,,,,,,
September 2024,Dakshin Dinajpur,,,,,,,,,,,,,,9.76,,,37.0,3.0,,,6.0,,10.0,,56.0,,,,,,,
September 2024,Darjeeling,,,,,,,,,,,,,,69.41,,,36.0,8.0,,,24.0,,17.0,,85.0,,,,,,,
September 2024,Hooghly,,,,,,,,,,,,,,135.5,,,166.0,62.0,,,26.0,,79.0,,333.0,,,,,,,
September 2024,Howrah,,,,,,,,,,,,,,100.08,,,176.0,45.0,,,38.0,,90.0,,349.0,,,,,,,
September 2024,Jalpaiguri,,,,,,,,,,,,,,23.08,,,21.0,16.0,,,4.0,,12.0,,53.0,,,,,,,
September 2024,Jhargram,,,,,,,,,,,,,,1.3,,,4.0,3.0,,,0.0,,1.0,,8.0,,,,,,,
September 2024,Kalimpong,,,,,,,,,,,,,,0.46,,,0.0,1.0,,,1.0,,0.0,,2.0,,,,,,,
September 2024,Kolkata,,,,,,,,,,,,,,468.6,,,562.0,50.0,,,98.0,,175.0,,885.0,,,,,,,
September 2024,Malda,,,,,,,,,,,,,,46.44,,,65.0,13.0,,,10.0,,8.0,,96.0,,,,,,,
September 2024,Murshidabad,,,,,,,,,,,,,,51.51,,,87.0,3.0,,,5.0,,28.0,,123.0,,,,,,,
September 2024,Nadia,,,,,,,,,,,,,,45.85,,,78.0,10.0,,,32.0,,58.0,,178.0,,,,,,,
September 2024,Paschim Bardhaman,,,,,,,,,,,,,,132.21,,,86.0,9.0,,,17.0,,37.0,,149.0,,,,,,,
September 2024,Paschim Medinipur,,,,,,,,,,,,,,70.77,,,86.0,16.0,,,0.0,,30.0,,132.0,,,,,,,
September 2024,Purba Bardhaman,,,,,,,,,,,,,,90.02,,,208.0,55.0,,,23.0,,59.0,,345.0,,,,,,,
September 2024,Purba Medinipur,,,,,,,,,,,,,,33.81,,,89.0,4.0,,,1.0,,20.0,,114.0,,,,,,,
September 2024,Purulia,,,,,,,,,,,,,,14.51,,,28.0,0.0,,,0.0,,6.0,,34.0,,,,,,,
September 2024,Uttar Dinajpur,,,,,,,,,,,,,,14.13,,,45.0,7.0,,,1.0,,7.0,,60.0,,,,,,,
September 2025,Alipurduar,2.0,,,,8.0,,,,,,,,1.0,41.09,,0.0,,,,,,,,,,,,,,,,11.0
September 2025,Bankura,21.0,,,,14.0,,,,,,,,3.0,14.76,,6.0,,,,,,,,,,,,,,,,44.0
September 2025,Birbhum,52.0,,,,20.0,,,,,,,,6.0,27.94,,19.0,,,,,,,,,,,,,,,,97.0
September 2025,Cooch Behar,40.0,,,,23.0,,,,,,,,10.0,29.87,,4.0,,,,,,,,,,,,,,,,77.0
September 2025,Dakshin Dinajpur,46.0,,,,32.0,,,,,,,,5.0,20.0,,2.0,,,,,,,,,,,,,,,,85.0
September 2025,Darjeeling,26.0,,,,22.0,,,,,,,,4.0,64.46,,10.0,,,,,,,,,,,,,,,,62.0
September 2025,Hooghly,116.0,,,,65.0,,,,,,,,18.0,73.43,,30.0,,,,,,,,,,,,,,,,229.0
September 2025,Howrah,117.0,,,,91.0,,,,,,,,40.0,139.23,,46.0,,,,,,,,,,,,,,,,294.0
September 2025,Jalpaiguri,15.0,,,,10.0,,,,,,,,6.0,17.75,,7.0,,,,,,,,,,,,,,,,38.0
September 2025,Jhargram,4.0,,,,1.0,,,,,,,,2.0,1.18,,2.0,,,,,,,,,,,,,,,,9.0
September 2025,Kalimpong,10.0,,,,0.0,,,,,,,,39.0,7.23,,4.0,,,,,,,,,,,,,,,,53.0
September 2025,Kolkata,112.0,,,,122.0,,,,,,,,29.0,200.47,,79.0,,,,,,,,,,,,,,,,342.0
September 2025,Malda,49.0,,,,10.0,,,,,,,,12.0,37.3,,6.0,,,,,,,,,,,,,,,,77.0
September 2025,Murshidabad,39.0,,,,30.0,,,,,,,,10.0,42.8,,8.0,,,,,,,,,,,,,,,,87.0
September 2025,Nadia,78.0,,,,57.0,,,,,,,,12.0,47.79,,31.0,,,,,,,,,,,,,,,,178.0
September 2025,Paschim Bardhaman,63.0,,,,59.0,,,,,,,,37.0,114.48,,6.0,,,,,,,,,,,,,,,,165.0
September 2025,Paschim Medinipur,62.0,,,,32.0,,,,,,,,30.0,46.09,,2.0,,,,,,,,,,,,,,,,126.0
September 2025,Purba Bardhaman,62.0,,,,63.0,,,,,,,,36.0,133.8,,8.0,,,,,,,,,,,,,,,,169.0
September 2025,Purba Medinipur,72.0,,,,23.0,,,,,,,,14.0,46.3,,5.0,,,,,,,,,,,,,,,,114.0
September 2025,Purulia,22.0,,,,22.0,,,,,,,,12.0,13.02,,2.0,,,,,,,,,,,,,,,,58.0
September 2025,Uttar Dinajpur,41.0,,,,11.0,,,,,,,,15.0,14.09,,0.0,,,,,,,,,,,,,,,,67.0
