district,period,as_on_date,fy,acp_target_achievement__acp_agri_achievement,acp_target_achievement__acp_agri_pct,acp_target_achievement__acp_agri_target,acp_target_achievement__acp_msme_achievement,acp_target_achievement__acp_msme_pct,acp_target_achievement__acp_msme_target,acp_target_achievement__acp_other_psa_achievement,acp_target_achievement__acp_other_psa_pct,acp_target_achievement__acp_other_psa_target,acp_target_achievement__acp_total_achievement,acp_target_achievement__acp_total_pct,acp_target_achievement__acp_total_target,atm_network__atm_rural,atm_network__atm_rural_growth_abs,atm_network__atm_rural_growth_pct,atm_network__atm_rural_prev_fy,atm_network__atm_rural_prev_q,atm_network__atm_semi_urban,atm_network__atm_semi_urban_growth_abs,atm_network__atm_semi_urban_growth_pct,atm_network__atm_semi_urban_prev_fy,atm_network__atm_semi_urban_prev_q,atm_network__atm_total_growth_abs,atm_network__atm_total_growth_pct,atm_network__atm_total_prev_fy,atm_network__atm_total_prev_q,atm_network__atm_urban,atm_network__atm_urban_growth_abs,atm_network__atm_urban_growth_pct,atm_network__atm_urban_prev_fy,atm_network__atm_urban_prev_q,atm_network__total_atm,branch_network__branch_rural,branch_network__branch_rural_growth_abs,branch_network__branch_rural_growth_pct,branch_network__branch_rural_prev_fy,branch_network__branch_rural_prev_q,branch_network__branch_semi_urban,branch_network__branch_semi_urban_growth_abs,branch_network__branch_semi_urban_growth_pct,branch_network__branch_semi_urban_prev_fy,branch_network__branch_semi_urban_prev_q,branch_network__branch_total_growth_abs,branch_network__branch_total_growth_pct,branch_network__branch_total_prev_fy,branch_network__branch_total_prev_q,branch_network__branch_urban,branch_network__branch_urban_growth_abs,branch_network__branch_urban_growth_pct,branch_network__branch_urban_prev_fy,branch_network__branch_urban_prev_q,branch_network__total_branch,credit_deposit_ratio__advances_growth_abs,credit_deposit_ratio__advances_growth_pct,credit_deposit_ratio__advances_prev_fy,credit_deposit_ratio__advances_prev_quarter,credit_deposit_ratio__cd_ratio_benchmark,credit_deposit_ratio__cd_ratio_prev_fy,credit_deposit_ratio__cd_ratio_prev_quarter,credit_deposit_ratio__deposits_growth_abs,credit_deposit_ratio__deposits_growth_pct,credit_deposit_ratio__deposits_prev_fy,credit_deposit_ratio__deposits_prev_quarter,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_deposit
Bilaspur,December 2023,31-12-2023,2023-24,1181.18,56.5957,2087.05,3513.98,173.9594,2020,225.98,78.6619,287.28,4921.14,111.9884,4394.33,28,0,0,28,25,36,2,5.8824,34,30,3,0.9375,320,314,259,1,0.3876,258,259,323,70,-2,-2.7778,72,69,42,-1,-2.3256,43,44,4,1.581,253,250,145,7,5.0725,138,137,257,3156.52,23.5394,13409.54,12417.64,40,51.1333,46.4922,1761.65,6.7175,26224.65,26709.09,59.1935,16566.06,27986.3
Dantewada,December 2023,31-12-2023,2023-24,41.94,55.5644,75.48,69.04,132.0581,52.28,8.84,87.3518,10.12,119.82,86.9017,137.88,6,0,0,6,6,45,2,4.6512,43,42,2,4.0816,49,48,0,0,0,0,0,51,21,-1,-4.5455,22,21,22,1,4.7619,21,21,0,0,43,42,0,0,0,0,0,43,-517.81,-16.7384,3093.55,2047.96,40,127.017,87.9681,46.44,1.9068,2435.54,2328.07,103.7776,2575.74,2481.98
Dhamtari,December 2023,31-12-2023,2023-24,1123.64,59.1075,1901.01,368.93,114.5745,322,56.84,54.1333,105,1549.41,66.5551,2328.01,23,2,9.5238,21,18,26,1,4,25,23,2,2.1739,92,87,45,-1,-2.1739,46,46,94,54,1,1.8868,53,53,22,0,0,22,22,1,0.8929,112,113,37,0,0,37,38,113,439.82,15.3439,2866.42,2712.95,40,60.6249,57.7408,682.33,14.4313,4728.12,4698.5,61.1084,3306.24,5410.45
Durg,December 2023,31-12-2023,2023-24,1527.05,52.5795,2904.27,4818.59,480.0062,1003.86,290.84,156.7279,185.57,6636.48,162.1145,4093.7,50,1,2.0408,49,47,30,1,3.4483,29,28,3,0.6508,461,445,384,1,0.2611,383,370,464,76,0,0,76,74,40,0,0,40,40,5,1.6892,296,288,185,5,2.7778,180,174,301,3324.66,20.8652,15933.99,15830.42,40,53.4412,53.0603,2786.49,9.3456,29815.92,29834.75,59.0712,19258.65,32602.41
Gariaband,December 2023,31-12-2023,2023-24,499.17,55.4356,900.45,137.97,178.1867,77.43,8.57,10.1794,84.19,645.71,60.7973,1062.07,25,2,8.6957,23,18,24,1,4.3478,23,23,4,8.6957,46,41,1,1,0,0,0,50,34,0,0,34,33,26,1,4,25,23,1,1.6949,59,56,0,0,0,0,0,60,220.09,21.3896,1028.96,948.57,40,53.5398,51.5135,124.96,6.502,1921.86,1841.4,61.0239,1249.05,2046.82
Gaurela-Pendra-Marwahi,December 2023,31-12-2023,2023-24,135.33,47.4775,285.04,110.3,49.9163,220.97,10.91,10.6866,102.09,256.54,42.1871,608.1,1,1,0,0,0,22,0,0,22,22,1,4.3478,23,23,1,0,0,1,1,24,9,2,28.5714,7,7,17,2,13.3333,15,15,4,18.1818,22,22,0,0,0,0,0,26,161.78,30.5534,529.5,497.67,40,42.9503,41.9808,65.14,5.2838,1232.82,1185.47,53.259,691.28,1297.96
Janjgir-Champa,December 2023,31-12-2023,2023-24,624.69,63.1115,989.82,446.77,169.2311,264,86.96,93.7473,92.76,1158.42,86.0268,1346.58,37,2,5.7143,35,45,77,3,4.0541,74,93,5,4.5455,110,140,1,0,0,1,2,115,58,1,1.7544,57,87,58,0,0,58,77,1,0.8547,117,166,2,0,0,2,2,118,672.44,24.5412,2740.04,3713.28,40,47.1748,46.7033,521.86,8.9848,5808.27,7950.78,53.9085,3412.48,6330.13
Jashpur,December 2023,31-12-2023,2023-24,237.51,38.5443,616.2,238.41,320.5297,74.38,35.33,58.8147,60.07,511.25,68.1076,750.65,11,1,10,10,9,47,1,2.1739,46,45,2,3.4483,58,56,2,0,0,2,2,60,42,0,0,42,41,43,0,0,43,42,0,0,86,84,1,0,0,1,1,86,310.14,20.3975,1520.48,1425.4,40,44.1014,42.2635,316.98,9.194,3447.69,3372.65,48.6263,1830.62,3764.67
Kabirdham,December 2023,31-12-2023,2023-24,952.97,68.5171,1390.85,283.79,217.881,130.25,141.21,125.4308,112.58,1377.97,84.3476,1633.68,18,3,20,15,14,55,2,3.7736,53,53,5,7.2464,69,68,1,0,0,1,1,74,42,1,2.439,41,41,38,1,2.7027,37,36,2,2.5,80,79,2,0,0,2,2,82,598.93,32.644,1834.73,1859.33,40,65.4249,70.2214,189.89,6.7713,2804.33,2647.81,81.2786,2433.66,2994.22
Kanker,December 2023,31-12-2023,2023-24,643.34,93.6135,687.23,271.14,99.1407,273.49,32.25,15.0364,214.48,946.73,80.5591,1175.2,28,4,16.6667,24,19,52,4,8.3333,48,50,8,10.9589,73,70,1,0,0,1,1,81,61,0,0,61,60,39,1,2.6316,38,34,1,1,100,95,1,0,0,1,1,101,424.47,21.9254,1935.97,1889.57,40,54.8121,55.0092,433.3,12.2678,3532.01,3435.01,59.5273,2360.44,3965.31
Khairagarh-Chhuikhadan-Gandai,December 2023,31-12-2023,2023-24,507.34,74.4282,681.65,40.88,177.7391,23,69.54,267.1533,26.03,617.76,84.5459,730.68,9,2,28.5714,7,0,15,1,7.1429,14,0,3,13.0435,23,0,2,0,0,2,0,26,21,1,5,20,0,16,2,14.2857,14,0,3,8.3333,36,0,2,0,0,2,0,39,264.73,44.2478,598.29,0,40,47.9238,0,267.72,21.4447,1248.42,0,56.9222,863.02,1516.14
Kondagaon,December 2023,31-12-2023,2023-24,319.03,74.5032,428.21,161.49,205.7197,78.5,19.29,42.6393,45.24,499.81,90.5535,551.95,7,2,40,5,4,35,2,6.0606,33,32,5,12.8205,39,36,2,1,100,1,0,44,27,0,0,27,28,27,0,0,27,26,0,0,55,55,1,0,0,1,1,55,211.59,17.1664,1232.58,1173.67,40,60.9962,60.1789,191.27,9.4653,2020.75,1950.3,65.2874,1444.17,2212.02
Korba,December 2023,31-12-2023,2023-24,310.48,60.7724,510.89,1263.42,260.2253,485.51,90.4,63.5054,142.35,1664.3,146.1515,1138.75,23,2,9.5238,21,18,22,1,4.7619,21,19,6,3.5714,168,165,129,3,2.381,126,128,174,43,1,2.381,42,41,28,0,0,28,27,3,2.3256,129,126,61,2,3.3898,59,58,132,786.49,12.6096,6237.21,5722.28,40,58.8347,54.2689,822.36,7.7572,10601.24,10544.3,61.4841,7023.7,11423.6
Korea,December 2023,31-12-2023,2023-24,115.7,94.2797,122.72,99.43,164.3199,60.51,14.11,30.5808,46.14,229.24,99.9433,229.37,3,1,50,2,10,39,1,2.6316,38,59,3,7.3171,41,71,2,1,100,1,2,44,14,0,0,14,40,22,1,4.7619,21,47,1,2.7778,36,89,1,0,0,1,2,37,169.63,9.8358,1724.61,2688.97,40,84.9938,48.9066,121.29,5.9775,2029.1,5498.17,88.0882,1894.24,2150.39
Mahasamund,December 2023,31-12-2023,2023-24,1307.89,58.9344,2219.23,343.76,134.36,255.85,44.35,50.096,88.53,1696,66.1567,2563.61,32,1,3.2258,31,24,66,-1,-1.4925,67,67,0,0,98,91,0,0,0,0,0,98,52,0,0,52,51,72,-1,-1.3699,73,72,-1,-0.7937,126,124,1,0,0,1,1,125,707.76,22.183,3190.55,3039.89,40,75.7307,73.3908,782.45,18.5722,4213.02,4142.06,78.0369,3898.31,4995.47
Manendragarh-Chirmiri-Bharatpur,December 2023,31-12-2023,2023-24,176.97,103.7278,170.61,152.04,235.2832,64.62,9.28,20.2975,45.72,338.29,120.4093,280.95,9,1,12.5,8,0,26,3,13.0435,23,0,5,15.625,32,0,2,1,100,1,0,37,26,0,0,26,0,28,0,0,28,0,0,0,55,0,1,0,0,1,0,55,116.78,11.2587,1037.24,0,40,29.0403,0,36.97,1.0351,3571.73,0,31.9788,1154.02,3608.7
Mohla-Manpur-Ambagarh Chowki,December 2023,31-12-2023,2023-24,169.21,78.9042,214.45,26.98,119.0119,22.67,40.18,134.3363,29.91,236.37,88.5181,267.03,17,2,13.3333,15,0,1,0,0,1,0,2,12.5,16,0,0,0,0,0,0,18,28,0,0,28,0,1,0,0,1,0,0,0,30,0,1,0,0,1,0,30,104.44,41.5087,251.61,0,40,26.5863,0,69.29,7.3215,946.39,0,35.0553,356.05,1015.68
Mungeli,December 2023,31-12-2023,2023-24,409.12,59.7412,684.82,128.17,92.2352,138.96,17.34,10.1629,170.62,554.63,55.7753,994.4,6,0,0,6,6,29,2,7.4074,27,26,2,4.878,41,39,8,0,0,8,7,43,23,0,0,23,23,28,0,0,28,28,0,0,52,52,1,0,0,1,1,52,240.57,21.3705,1125.71,1095.7,40,56.7889,55.9942,260.66,13.1496,1982.27,1956.81,60.915,1366.28,2242.93
Narayanpur,December 2023,31-12-2023,2023-24,50.85,75.8955,67,31.95,207.1984,15.42,7.78,43.7324,17.79,90.58,90.3902,100.21,1,0,0,1,1,20,0,0,20,19,0,0,21,20,0,0,0,0,0,21,7,0,0,7,7,13,0,0,13,13,0,0,20,20,0,0,0,0,0,20,69.32,23.0009,301.38,281.99,40,42.1446,41.0436,57.61,8.0561,715.11,687.05,47.9734,370.7,772.72
Raigarh,December 2023,31-12-2023,2023-24,620.7,59.2769,1047.12,1611.17,309.1804,521.11,81.81,20.052,407.99,2313.68,117.076,1976.22,30,3,11.1111,27,32,39,0,0,39,64,4,2.5316,158,186,93,1,1.087,92,90,162,64,-1,-1.5385,65,83,27,0,0,27,41,2,1.3986,143,175,54,3,5.8824,51,51,145,1272.37,19.0762,6669.93,7142.21,40,71.4908,69.1977,526.5,5.6432,9329.78,10321.46,80.5811,7942.3,9856.28
Raipur,December 2023,31-12-2023,2023-24,3931.94,59.3706,6622.71,16358.22,278.0757,5882.65,2327.77,127.3383,1828.02,22617.93,157.799,14333.38,87,10,12.987,77,67,67,3,4.6875,64,66,5,0.6418,779,750,630,-8,-1.2539,638,617,784,104,1,0.9709,103,101,67,0,0,67,68,8,1.5355,521,504,358,7,1.9943,351,335,529,11456.94,14.0194,81721.78,76047.5,40,109.4952,107.8248,6322.15,8.4708,74635.04,70528.79,115.0963,93178.72,80957.19
Rajnandgaon,December 2023,31-12-2023,2023-24,1126.69,56.6418,1989.15,679.79,341.2429,199.21,194.83,100.4485,193.96,2001.31,84.0068,2382.32,20,1,5.2632,19,38,19,0,0,19,33,1,0.7874,127,162,89,0,0,89,91,128,48,-1,-2.0408,49,95,22,0,0,22,37,2,1.6393,122,186,54,3,5.8824,51,54,124,857.21,22.9499,3735.14,4380.83,40,54.6502,48.9797,1257.86,18.4042,6834.63,8944.17,56.7483,4592.35,8092.49
Sakti,December 2023,31-12-2023,2023-24,401.28,59.7552,671.54,278.35,155.8947,178.55,36.69,68.2732,53.74,716.32,79.2538,903.83,19,3,18.75,16,0,24,2,9.0909,22,0,5,12.8205,39,0,1,0,0,1,0,44,32,0,0,32,0,21,0,0,21,0,0,0,53,0,0,0,0,0,0,53,237.11,20.1094,1179.1,0,40,48.3864,0,334.46,13.7252,2436.84,0,51.1027,1416.21,2771.3
Sarangarh-Bilaigarh,December 2023,31-12-2023,2023-24,368.63,68.868,535.27,90.62,38.565,234.98,10.32,33.4739,30.83,469.57,58.6171,801.08,15,3,25,12,0,28,0,0,28,0,3,7.3171,41,0,1,0,0,1,0,44,31,1,3.3333,30,0,17,1,6.25,16,0,2,4.3478,46,0,0,0,0,0,0,48,217.91,23.3218,934.36,0,40,50.4849,0,294,15.8853,1850.77,0,53.7246,1152.27,2144.77
Sukma,December 2023,31-12-2023,2023-24,55.21,50.3282,109.7,26.87,151.1249,17.78,4.94,74.5098,6.63,87.02,64.887,134.11,7,1,16.6667,6,3,9,-1,-10,10,10,0,0,16,13,0,0,0,0,0,16,26,0,0,26,26,6,0,0,6,6,0,0,32,32,0,0,0,0,0,32,74.18,18.6842,397.02,393.36,40,41.8736,45.0414,119.95,12.6511,948.14,873.33,44.1161,471.2,1068.09
Surajpur,December 2023,31-12-2023,2023-24,382.36,60.7673,629.22,228.79,261.0268,87.65,27.4,31.8309,86.08,638.55,79.5255,802.95,16,3,23.0769,13,11,40,2,5.2632,38,35,5,9.434,53,48,2,0,0,2,2,58,59,2,3.5088,57,57,26,1,4,25,24,3,3.5294,85,84,3,0,0,3,3,88,280.37,18.7207,1497.65,1456.44,40,35.1187,35.4512,324.39,7.6067,4264.54,4108.3,38.7459,1778.02,4588.93
Surguja,December 2023,31-12-2023,2023-24,546.78,59.7058,915.79,839.86,301.5114,278.55,59.77,172.2975,34.69,1446.41,117.6871,1229.03,26,3,13.0435,23,18,2,1,100,1,1,5,4.7619,105,97,82,1,1.2346,81,78,110,57,0,0,57,56,3,0,0,3,3,0,0,104,102,44,0,0,44,43,104,493.97,14.5109,3404.12,3241.1,40,49.113,47.7651,834.32,12.0372,6931.2,6785.5,50.1974,3898.09,7765.52
Balod,March 2024,31-03-2024,2023-24,963.77,92.3284,1043.85,343.1,157.9287,217.25,79.18,96.8444,81.76,1386.05,103.2163,1342.86,38,1,2.7027,37,41,48,2,4.3478,46,50,3,3.5714,84,92,1,0,0,1,1,87,69,0,0,69,69,37,1,2.7778,36,37,1,0.9434,106,107,1,0,0,1,1,107,279.12,16.4579,1695.96,2058.84,40,37.3896,40.1039,1205.89,26.5854,4535.91,5133.77,34.3983,1975.08,5741.8
Baloda Bazar,March 2024,31-03-2024,2023-24,1674.82,91.5973,1828.46,566.74,155.5312,364.39,106.43,80.1009,132.87,2347.99,100.9576,2325.72,23,3,15,20,24,69,-3,-4.1667,72,70,0,0,94,96,2,0,0,2,2,94,49,1,2.0833,48,49,64,0,0,64,64,1,0.8929,112,113,0,0,0,0,0,113,541.45,18.4429,2935.82,3513.44,40,58.2217,63.1716,1285.36,25.4906,5042.48,5561.74,54.9519,3477.27,6327.84
Balrampur,March 2024,31-03-2024,2023-24,328.19,124.9772,262.6,195.12,162.6,120,22.65,28.1017,80.6,545.96,117.867,463.2,19,1,5.5556,18,18,18,3,20,15,17,5,14.7059,34,37,2,1,100,1,2,39,60,3,5.2632,57,59,12,0,0,12,12,3,4.2857,70,72,1,0,0,1,1,73,176.5,18.4774,955.22,1149.81,40,40.1154,44.4369,636.22,26.7187,2381.18,2587.51,37.5065,1131.72,3017.4
Bastar,March 2024,31-03-2024,2023-24,626.31,88.5882,706.99,651.57,177.7478,366.57,62.88,68.2292,92.16,1340.76,115.0156,1165.72,34,12,54.5455,22,25,3,-2,-40,5,4,13,11.8182,110,112,86,3,3.6145,83,83,123,74,2,2.7778,72,74,4,0,0,4,4,2,1.7391,115,117,39,0,0,39,39,117,698.8,21.4042,3264.78,3640.09,40,62.8901,58.9719,1225.54,23.6078,5191.25,6172.58,61.7689,3963.58,6416.79
Bemetara,March 2024,31-03-2024,2023-24,1383.76,86.1233,1606.72,208.8,112.871,184.99,35.58,44.3807,80.17,1628.14,86.9789,1871.88,24,3,14.2857,21,26,32,2,6.6667,30,33,5,9.6154,52,60,1,0,0,1,1,57,54,2,3.8462,52,53,27,1,3.8462,26,26,3,3.7975,79,80,1,0,0,1,1,82,328.09,19.1683,1711.63,2240.63,40,52.8566,58.5174,1371.58,42.3556,3238.25,3829,44.2472,2039.72,4609.83
Bijapur,March 2024,31-03-2024,2023-24,117.68,110.4665,106.53,26.81,422.2047,6.35,20.1,174.7826,11.5,164.59,132.3283,124.38,11,3,37.5,8,9,11,0,0,11,11,3,15.7895,19,20,0,0,0,0,0,22,38,2,5.5556,36,37,8,1,14.2857,7,9,3,6.9767,43,46,0,0,0,0,0,46,123.53,25.8053,478.7,608.42,40,49.2191,61.033,187.8,19.3093,972.59,996.87,51.8989,602.23,1160.39
Bilaspur,March 2024,31-03-2024,2023-24,1424.78,68.2677,2087.05,4336.74,214.6901,2020,343.46,119.5558,287.28,6104.98,138.9286,4394.33,29,1,3.5714,28,28,37,3,8.8235,34,36,-3,-0.9375,320,323,251,-7,-2.7132,258,259,317,69,-3,-4.1667,72,70,40,-3,-6.9767,43,42,6,2.3715,253,257,150,12,8.6957,138,145,259,3726.51,27.79,13409.54,16566.06,40,51.1333,59.1935,3356.39,12.7986,26224.65,27986.3,57.9292,17136.05,29581.04
Dantewada,March 2024,31-03-2024,2023-24,53.22,70.5087,75.48,90.66,173.4124,52.28,10.16,100.3953,10.12,154.04,111.7203,137.88,8,2,33.3333,6,6,44,1,2.3256,43,45,3,6.1224,49,51,0,0,0,0,0,52,22,0,0,22,21,21,0,0,21,22,0,0,43,43,0,0,0,0,0,43,-563.74,-18.2231,3093.55,2575.74,40,127.017,103.7776,72.17,2.9632,2435.54,2481.98,100.8813,2529.81,2507.71
Dhamtari,March 2024,31-03-2024,2023-24,1436.07,75.5425,1901.01,513.64,159.5155,322,81.02,77.1619,105,2030.73,87.2303,2328.01,26,5,23.8095,21,23,20,-5,-20,25,26,-3,-3.2609,92,94,43,-3,-6.5217,46,45,89,54,1,1.8868,53,54,22,0,0,22,22,1,0.8929,112,113,37,0,0,37,37,113,474.92,16.5684,2866.42,3306.24,40,60.6249,61.1084,1190.91,25.1878,4728.12,5410.45,56.4508,3341.34,5919.03
Durg,March 2024,31-03-2024,2023-24,1984.19,68.3197,2904.27,5915.68,589.2933,1003.86,405.89,218.7261,185.57,8305.76,202.8913,4093.7,50,1,2.0408,49,50,33,4,13.7931,29,30,-2,-0.4338,461,464,376,-7,-1.8277,383,384,459,76,0,0,76,76,40,0,0,40,40,7,2.3649,296,301,187,7,3.8889,180,185,303,3513.95,22.0532,15933.99,19258.65,40,53.4412,59.0712,4009.24,13.4466,29815.92,32602.41,57.4955,19447.94,33825.16
Gariaband,March 2024,31-03-2024,2023-24,621.33,69.0022,900.45,178.55,230.5954,77.43,12.22,14.5148,84.19,812.1,76.4639,1062.07,25,2,8.6957,23,25,25,2,8.6957,23,24,5,10.8696,46,50,1,1,0,0,1,51,36,2,5.8824,34,34,26,1,4,25,26,3,5.0847,59,60,0,0,0,0,0,62,208.6,20.2729,1028.96,1249.05,40,53.5398,61.0239,567.54,29.5308,1921.86,2046.82,49.7132,1237.56,2489.4
Gaurela-Pendra-Marwahi,March 2024,31-03-2024,2023-24,173.19,60.7599,285.04,135.55,61.3432,220.97,18.51,18.1311,102.09,327.25,53.8152,608.1,1,1,0,0,1,24,2,9.0909,22,22,3,13.0435,23,24,1,0,0,1,1,26,9,2,28.5714,7,9,16,1,6.6667,15,17,3,13.6364,22,26,0,0,0,0,0,25,190.5,35.9773,529.5,691.28,40,42.9503,53.259,233.12,18.9095,1232.82,1297.96,49.1152,720,1465.94
Janjgir-Champa,March 2024,31-03-2024,2023-24,833.05,84.1618,989.82,617.53,233.9129,264,123.42,133.053,92.76,1574,116.8887,1346.58,35,0,0,35,37,78,4,5.4054,74,77,5,4.5455,110,115,2,1,100,1,1,115,59,2,3.5088,57,58,58,0,0,58,58,2,1.7094,117,118,2,0,0,2,2,119,717.44,26.1836,2740.04,3412.48,40,47.1748,53.9085,1340.32,23.0761,5808.27,6330.13,48.3659,3457.48,7148.59
Jashpur,March 2024,31-03-2024,2023-24,310.44,50.3797,616.2,364.02,489.4058,74.38,48.06,80.0067,60.07,722.52,96.2526,750.65,11,1,10,10,11,47,1,2.1739,46,47,5,8.6207,58,60,5,3,150,2,2,63,41,-1,-2.381,42,42,43,0,0,43,43,0,0,86,86,2,1,100,1,1,86,492.57,32.3957,1520.48,1830.62,40,44.1014,48.6263,900.31,26.1134,3447.69,3764.67,46.2983,2013.05,4348
Kabirdham,March 2024,31-03-2024,2023-24,1140.54,82.0031,1390.85,367.56,282.1958,130.25,163.58,145.3011,112.58,1671.68,102.326,1633.68,18,3,20,15,18,52,-1,-1.8868,53,55,2,2.8986,69,74,1,0,0,1,1,71,43,2,4.878,41,42,38,1,2.7027,37,38,3,3.75,80,82,2,0,0,2,2,83,370.57,20.1975,1834.73,2433.66,40,65.4249,81.2786,709.1,25.2859,2804.33,2994.22,62.7677,2205.3,3513.43
Kanker,March 2024,31-03-2024,2023-24,825.36,120.0995,687.23,349.79,127.8986,273.49,44.56,20.7758,214.48,1219.71,103.7874,1175.2,28,4,16.6667,24,28,49,1,2.0833,48,52,5,6.8493,73,81,1,0,0,1,1,78,61,0,0,61,61,39,1,2.6316,38,39,1,1,100,101,1,0,0,1,1,101,446.66,23.0716,1935.97,2360.44,40,54.8121,59.5273,836.93,23.6956,3532.01,3965.31,54.5357,2382.63,4368.94
Khairagarh-Chhuikhadan-Gandai,March 2024,31-03-2024,2023-24,628.92,92.2644,681.65,59.88,260.3478,23,79.01,303.5344,26.03,767.81,105.0816,730.68,8,1,14.2857,7,9,15,1,7.1429,14,15,2,8.6957,23,26,2,0,0,2,2,25,21,1,5,20,21,16,2,14.2857,14,16,3,8.3333,36,39,2,0,0,2,2,39,160.22,26.7797,598.29,863.02,40,47.9238,56.9222,482.7,38.6649,1248.42,1516.14,43.8161,758.51,1731.12
Kondagaon,March 2024,31-03-2024,2023-24,395.86,92.4453,428.21,200.93,255.9618,78.5,30.67,67.794,45.24,627.46,113.6806,551.95,9,4,80,5,7,36,3,9.0909,33,35,8,20.5128,39,44,2,1,100,1,2,47,27,0,0,27,27,27,0,0,27,27,0,0,55,55,1,0,0,1,1,55,197.42,16.0168,1232.58,1444.17,40,60.9962,65.2874,433.01,21.4282,2020.75,2212.02,58.2779,1430,2453.76
Korba,March 2024,31-03-2024,2023-24,399.87,78.2693,510.89,1556.45,320.5804,485.51,136.85,96.1363,142.35,2093.17,183.813,1138.75,22,1,4.7619,21,23,23,2,9.5238,21,22,8,4.7619,168,174,131,5,3.9683,126,129,176,44,2,4.7619,42,43,28,0,0,28,28,4,3.1008,129,132,61,2,3.3898,59,61,133,1022.58,16.3948,6237.21,7023.7,40,58.8347,61.4841,1273.77,12.0153,10601.24,11423.6,61.135,7259.79,11875.01
Korea,March 2024,31-03-2024,2023-24,142.1,115.792,122.72,131.14,216.7245,60.51,18.6,40.3121,46.14,291.84,127.2355,229.37,3,1,50,2,3,39,1,2.6316,38,39,3,7.3171,41,44,2,1,100,1,2,44,14,0,0,14,14,22,1,4.7619,21,22,1,2.7778,36,37,1,0,0,1,1,37,146.21,8.4779,1724.61,1894.24,40,84.9938,88.0882,262.15,12.9195,2029.1,2150.39,81.6506,1870.82,2291.25
Mahasamund,March 2024,31-03-2024,2023-24,1756.01,79.127,2219.23,433.01,169.2437,255.85,63.93,72.2128,88.53,2252.95,87.8819,2563.61,33,2,6.4516,31,32,65,-2,-2.9851,67,66,0,0,98,98,0,0,0,0,0,98,52,0,0,52,52,72,-1,-1.3699,73,72,-1,-0.7937,126,125,1,0,0,1,1,125,656.28,20.5695,3190.55,3898.31,40,75.7307,78.0369,1620.99,38.4757,4213.02,4995.47,65.938,3846.83,5834.01
Manendragarh-Chirmiri-Bharatpur,March 2024,31-03-2024,2023-24,210.48,123.3691,170.61,204.71,316.7905,64.62,12.88,28.1715,45.72,428.07,152.3652,280.95,8,0,0,8,9,26,3,13.0435,23,26,4,12.5,32,37,2,1,100,1,2,36,26,0,0,26,26,28,0,0,28,28,0,0,55,55,1,0,0,1,1,55,118.84,11.4573,1037.24,1154.02,40,29.0403,31.9788,251.07,7.0294,3571.73,3608.7,30.2417,1156.08,3822.8
Mohla-Manpur-Ambagarh Chowki,March 2024,31-03-2024,2023-24,199.84,93.1872,214.45,39.98,176.3564,22.67,42.92,143.4972,29.91,282.74,105.8832,267.03,15,0,0,15,17,1,0,0,1,1,1,6.25,16,18,1,1,0,0,0,17,29,1,3.5714,28,28,1,0,0,1,1,1,3.3333,30,30,1,0,0,1,1,31,61.96,24.6254,251.61,356.05,40,26.5863,35.0553,255.8,27.029,946.39,1015.68,26.0832,313.57,1202.19
Mungeli,March 2024,31-03-2024,2023-24,560.43,81.8361,684.82,177.22,127.5331,138.96,27.2,15.9419,170.62,764.85,76.9157,994.4,9,3,50,6,6,31,4,14.8148,27,29,1,2.439,41,43,2,-6,-75,8,8,42,23,0,0,23,23,28,0,0,28,28,0,0,52,52,1,0,0,1,1,52,203.3,18.0597,1125.71,1366.28,40,56.7889,60.915,657.17,33.1524,1982.27,2242.93,50.352,1329.01,2639.44
Narayanpur,March 2024,31-03-2024,2023-24,60.5,90.2985,67,42.14,273.2815,15.42,12.61,70.8825,17.79,115.25,115.0085,100.21,1,0,0,1,1,20,0,0,20,20,0,0,21,21,0,0,0,0,0,21,7,0,0,7,7,13,0,0,13,13,0,0,20,20,0,0,0,0,0,20,77.7,25.7814,301.38,370.7,40,42.1446,47.9734,92.05,12.8721,715.11,772.72,46.9647,379.08,807.16
Raigarh,March 2024,31-03-2024,2023-24,861.34,82.258,1047.12,2243.41,430.506,521.11,120.1,29.437,407.99,3224.85,163.1827,1976.22,31,4,14.8148,27,30,40,1,2.5641,39,39,4,2.5316,158,162,91,-1,-1.087,92,93,162,65,0,0,65,64,27,0,0,27,27,4,2.7972,143,145,55,4,7.8431,51,54,147,1329.47,19.9323,6669.93,7942.3,40,71.4908,80.5811,1218,13.055,9329.78,9856.28,75.8397,7999.4,10547.78
Raipur,March 2024,31-03-2024,2023-24,5011.98,75.6787,6622.71,23215.57,394.6448,5882.65,3614.47,197.726,1828.02,31842.02,222.1529,14333.38,87,10,12.987,77,87,64,0,0,64,67,15,1.9255,779,784,643,5,0.7837,638,630,794,104,1,0.9709,103,104,67,0,0,67,67,11,2.1113,521,529,361,10,2.849,351,358,532,13318.14,16.2969,81721.78,93178.72,40,109.4952,115.0963,13577.5,18.1919,74635.04,80957.19,107.7397,95039.92,88212.54
