district,period,acp_outstanding__a_c,acp_outstanding__amt,acp_target_achievement__ach,acp_target_achievement__achivemen,acp_target_achievement__achivemen_t,acp_target_achievement__achivement,acp_target_achievement__district_name,acp_target_achievement__t,acp_target_achievement__target,apy__aapb_achieved_in_current_fy,apy__achievement,apy__annual_target,apy__annual_target_achievem_ent_in_current_fy,apy__annual_target_achievement_in_current_fy,apy__annual_target_achievement_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy,apy__apy_accounts_opened_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy_2025_26,apy__coverage,apy__cumulative_apy_accounts_opened_since_inception,apy__district_name,apy__name_of_the_district,apy__no_of_branch_es,apy__no_of_branches,apy__no_of_branches_as_on_01_04_2023,atm_network__district_name,atm_network__rural,atm_network__semi_urban,atm_network__total,atm_network__urban,branch_network__district_name,branch_network__rural,branch_network__semi_urban,branch_network__total,branch_network__urban,cd_ratio__advances,cd_ratio__branch,cd_ratio__deposit,cd_ratio__deposits,cd_ratio__district_name,cd_ratio__rural,cd_ratio__semi_urban,cd_ratio__total,cd_ratio__urban,credit_deposit_ratio__cd_ratio,deaf__axis,deaf__cb,deaf__idbi,deaf__kotak,deaf__sbi,deaf__total,pmegp__102,pmegp__113,pmegp__1171_87,pmegp__1265_52,pmegp__131,pmegp__1327_71,pmegp__1343,pmegp__144,pmegp__1691_60,pmegp__1725_84,pmegp__18,pmegp__180,pmegp__192,pmegp__1940_01,pmegp__197,pmegp__1983_78,pmegp__2,pmegp__200,pmegp__2067_83,pmegp__208,pmegp__212_78,pmegp__217,pmegp__242,pmegp__251,pmegp__265,pmegp__2760_59,pmegp__280,pmegp__288_50,pmegp__3010_35,pmegp__313,pmegp__339_7,pmegp__367_99,pmegp__399,pmegp__415,pmegp__418,pmegp__431,pmegp__46,pmegp__471,pmegp__502,pmegp__515_21,pmegp__53,pmegp__558_19,pmegp__570_23,pmegp__583_79,pmegp__619_14,pmegp__6946_76,pmegp__790_46,pmegp__796_35,pmegp__80,pmegp__81,pmegp__827_26,pmegp__831_42,pmegp__872_22,pmegp__88_63,pmegp__961_93,pmegp__987_34,pmegp__bangalore,pmegp__dakshin_kannad,pmegp__m_m_subsidy,pmegp__no_of_proj,pmegp_outstanding__amt,pmegp_outstanding__no,pmfme__application_submitted_to_bank,pmfme__loan_disbursed,pmfme__loan_rejections,pmfme__loan_sanctions,pmfme__loans_under_process,pmfme__target_in_fy2023_24,pmfme__target_in_fy2024_25,pmfme__target_in_fy2025_26,pmfme__total_application,pmfme__total_application_received,pmfme__total_applications,pmfme__total_loan_disbursed,pmfme__total_loan_rejections,pmfme__total_loan_sanctions,pmfme__total_loan_under_process,pmmy_mudra__102459,pmmy_mudra__116785,pmmy_mudra__1298_44,pmmy_mudra__1303_18,pmmy_mudra__157894,pmmy_mudra__1_1,pmmy_mudra__258_72,pmmy_mudra__258_99,pmmy_mudra__268_15,pmmy_mudra__270_79,pmmy_mudra__3172,pmmy_mudra__321_14,pmmy_mudra__323_96,pmmy_mudra__357_28,pmmy_mudra__357_69,pmmy_mudra__37615,pmmy_mudra__3814,pmmy_mudra__447_58,pmmy_mudra__448_88,pmmy_mudra__51621,pmmy_mudra__620_02,pmmy_mudra__621_53,pmmy_mudra__75998,pmmy_mudra__974_45,pmmy_mudra__978_66,pmmy_mudra__account,pmmy_mudra__amount,pmmy_mudra__bagalkot,uncategorized__1,uncategorized__101,uncategorized__1660,uncategorized__1670,uncategorized__2,uncategorized__5010,uncategorized__5390,uncategorized__93,uncategorized__allotted_bank_based_on_urban_rural_branches,uncategorized__amt_in_lakhs,uncategorized__avg_of_pmjjby_opened_per_gp,uncategorized__avg_of_pmsby_opened_per_gp,uncategorized__bangalore,uncategorized__karnataka,uncategorized__ldm_opinoin_to_open_branch_yes_no,uncategorized__name_of_village,uncategorized__no,uncategorized__no_of_a_c,uncategorized__opened,uncategorized__pmjjby,uncategorized__pmsby,uncategorized__remarks_by_ldms,uncategorized__sourced,uncategorized__taluka_name,uncategorized__total_no_of_gp_updated_in_portal,uncategorized__total_no_of_gps,uncategorized__total_population,uncategorized__village_code
Bagalkote,March 2025,843651,18257.63,,489.06,,12787.4,,105.58,12346.3,,,20940,,,,,22064,,105,,BAGALKOTE,,,,,BAGALKOTE,52,158,294,84,BAGALKOTE,135,151,349,63,,,,,,5096.75,9383.79,18365.36,3884.82,104.04,0,0,0,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,76,10,92,7,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballari,March 2025,524399,17035.04,,763.61,,10924.45,,165.19,12359.2,,,15085,,,,,16563,,110,,BALLARI,,,,,BALLARI,17,82,252,153,BALLARI,70,59,227,98,,,,,,2428.88,4653.7,17051.67,9969.09,90.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.01,131,,,49,9,32,11,6,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,3980,2332,5,4081,9540,43,,,,,BELLARY,,,,,,,,,,,,,,,
Bengaluru Rural,March 2025,497193,19314.83,,699.99,,12160.22,,93.15,10368.7,,,23035,,,,,13346,,58,,BENGALURU RURAL,,,,,BENGALURU RURAL,119,191,318,8,BENGALURU RURAL,122,135,261,4,,,,,,7259.89,11294.95,19560.77,1005.93,107.32,0,8,0,1,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.44,105,,,31,15,8,20,3,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,2890,2545,3,19309,8580,225,,,,,BANGALORE RURAL,,,,,,,,,,,,,,,
Bengaluru Urban,March 2025,8657821,813105.12,,31425.7,,668492.97,,119.43,691277,,,171100,,,,,75699,,44,,BENGALURU URBAN,,,,,BENGALURU URBAN,219,196,6767,6352,BENGALURU URBAN,154,108,2977,2715,,,,,,11252.95,17256.41,808225.47,779716.11,71.04,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,157,126,182,44,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bandhan Bank,,,,,,YES,Banahalli,,,,,,"real estate is booming , so
branch can be open",,Anekal,,,5819,613264
Bidar,March 2025,531294,10601.96,,418.56,,5748.74,,80.17,5945.96,,,13790,,,,,18699,,136,,BIDAR,,,,,BIDAR,32,103,249,114,BIDAR,108,61,230,61,,,,,,2366.75,4358.51,10630.37,3905.11,101.23,0,7,0,0,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.43,108,,,202,29,129,35,38,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,7320,1833,6,4357,12680,34,,,,,BIDAR,,,,,,,,,,,,,,,
Chikkaballapura,March 2025,420754,9491.11,,321.9,,6220.62,,108.61,5234.89,,,12255,,,,,9391,,77,,CHIKKABALLAPURA,,,,,CHIKKABALLAPURA,57,173,233,3,CHIKKABALLAPURA,99,72,181,10,,,,,,3258.21,5398.2,9595.34,938.93,121.28,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,10,32,11,9,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,4040,3964,9,19679,8760,225,,,,,CHIKKABALLAPURA,,,,,,,,,,,,,,,
Chikkamagaluru,March 2025,515019,13927.66,,478.42,,9432.03,,60.95,8216.67,,,20485,,,,,12531,,61,,CHIKKAMAGALURU,,,,,CHIKKAMAGALURU,83,55,224,86,CHIKKAMAGALURU,182,66,309,61,,,,,,5223.73,3569.73,14064.25,5270.79,87.82,0,0,3,0,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,26,21,33,7,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chitradurga,March 2025,649639,12596.52,,568.19,,8729.95,,130.42,7931.59,,,17760,,,,,20826,,117,,CHITRADURGA,,,,,CHITRADURGA,42,83,225,100,CHITRADURGA,144,72,268,52,,,,,,3826.27,4956.34,12628.05,3845.44,112.59,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.91,103,,,82,36,28,51,3,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU small Finance Bank,,,,,,YES,Yelladakere,,,,,,viable to open,,Hiriyur,,,5117,
Dakshina Kannada,March 2025,1065938,54355.09,,1466.72,,58849.62,,177.6,53532.5,,,44260,,,,,24370,,55,,DAKSHINA KANNADA,,,,,DAKSHINA KANNADA,160,163,779,456,DAKSHINA KANNADA,271,134,663,258,,,,,,15034.55,7304.81,55598.85,33259.49,72.83,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,50,22,65,9,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOI,,,,,,YES,Bajathuru,,,,,,"Near by Uppinangady is having
more service area villages,
hence opening of bank is
required.",,Puttur,,,5913,617695
Dharwad,March 2025,854708,34349.15,,1061.17,,21757.44,,110.82,20068,,,27360,,,,,22713,,83,,DHARWAD,,,,,DHARWAD,28,39,480,413,DHARWAD,101,41,400,258,,,,,,3434.39,1797.37,34424.61,29192.85,87.15,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.74,151,,,214,133,36,160,18,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,3950,1363,14,2056,9270,22,,,,,DHARWAD,,,,,,,,,,,,,,,
Gadag,March 2025,348986,8231.5,,226.83,,5658.95,,103.59,5704.96,,,12975,,,,,14647,,113,,GADAG,,,,,GADAG,14,56,138,68,GADAG,84,64,195,47,,,,,,3239.34,2831.55,8254.26,2183.37,96.07,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.27,103,,,211,69,97,95,19,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kadakol,,,,,,,,Shirahatti,,,3531,602099
Hassan,March 2025,1011489,20291.01,,710.48,,15465.36,,0,12976.1,,,25665,,,,,18755,,73,,HASSAN,,,,,HASSAN,117,93,439,229,HASSAN,214,82,395,99,,,,,,7096.63,4853.72,20506.39,8556.04,112.26,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.84,166,,,62,40,10,48,4,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,6200,3051,17,6156,18830,33,,,,,HASSAN,,,,,,,,,,,,,,,
Haveri,March 2025,699890,14542.94,,444.73,,9467.96,,618.11,8697.53,,,17005,,,,,17533,,103,,HAVERI,,,,,HAVERI,19,101,169,49,HAVERI,132,92,265,41,,,,,,5724.52,6039.85,14579.42,2815.05,151.21,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.78,144,,,305,238,20,262,23,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,3330,3087,18,9123,8370,109,,,,,HAVERI,,,,,,,,,,,,,,,
Kalaburagi,March 2025,681691,17845.76,,645.19,,10038.34,,138.76,8609.49,,,19685,,,,,26411,,134,,KALABURAGI,,,,,KALABURAGI,31,83,362,248,KALABURAGI,118,77,316,121,,,,,,3395.51,3798.39,17851.38,10657.48,80.93,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.20,62,,,156,35,73,47,36,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,3610,928,16,2690,4750,57,,,,,GULBARGA,,,,,,,,,,,,,,,
Kodagu,March 2025,317381,9504.11,,317.46,,6903.25,,78.57,6593.59,,,13230,,,,,7301,,55,,KODAGU,,,,,KODAGU,60,69,143,14,KODAGU,131,59,192,2,,,,,,4666.04,4737.63,9579.14,175.47,71.44,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.87,78,,,33,15,3,27,3,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1270,1267,19,3715,3730,100,,,,,KODAGU,,,,,,,,,,,,,,,
Kolar,March 2025,546852,12454.9,,539.97,,10186.54,,153.86,6957.29,,,16055,,,,,15173,,95,,KOLAR,,,,,KOLAR,63,75,312,174,KOLAR,110,56,222,56,,,,,,4667.77,3589.05,12635.48,4378.66,114.31,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.90,67,,,26,9,15,9,2,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,7990,4981,20,14580,18660,78,,,,,KOLAR,,,,,,,,,,,,,,,
Koppal,March 2025,408057,8398.08,,321.83,,5680.58,,68.03,6437.61,,,13240,,,,,16295,,123,,KOPPAL,,,,,KOPPAL,24,90,154,40,KOPPAL,75,77,188,36,,,,,,2140.92,3896.65,8423.09,2385.52,99.88,2,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.98,109,,,156,63,78,71,7,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,4620,2920,21,4249,6940,61,,,,,KOPPAL,,,,,,,,,,,,,,,
Mandya,March 2025,992028,16732.88,,652.1,,13550.77,,0,11594.1,,,22130,,,,,19026,,86,,MANDYA,,,,,MANDYA,77,87,293,129,MANDYA,206,89,354,59,,,,,,7036.84,5106,17585.62,5442.78,136,0,0,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.17,159,,,95,49,23,63,9,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,7670,7108,22,17655,15880,111,,,,,MANDYA,,,,,,,,,,,,,,,
Mysuru,March 2025,1759760,50165.4,,1960.18,,39639.2,,85.23,30599,,,41735,,,,,36755,,88,,MYSURU,,,,,MYSURU,76,113,851,662,MYSURU,193,104,618,321,,,,,,7693.52,5982.22,50517.59,36841.85,81.63,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,44,52,53,10,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichur,March 2025,587657,15387.21,,529.76,,10785.36,,87.56,10932.8,,,19080,,,,,22123,,116,,RAICHUR,,,,,RAICHUR,11,110,226,105,RAICHUR,85,105,282,92,,,,,,1887.78,6514.69,15325.53,6923.06,124.25,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.66,71,,,103,43,39,52,12,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,3400,2561,24,3995,5600,71,,,,,RAICHUR,,,,,,,,,,,,,,,
Ramanagara,March 2025,2261850,15277.96,,368.23,,13077.7,,131.31,12905.5,,,13395,,,,,10250,,77,,RAMANAGARA,,,,,RAMANAGARA,170,110,285,5,RAMANAGARA,115,91,209,3,,,,,,8890.84,6178.54,15582.63,513.25,84.15,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.95,119,,,55,20,19,23,13,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,3680,3289,25,6493,6480,100,,,,,RAMANAGARA,,,,,,,,,,,,,,,
Shivamogga,March 2025,798858,21691.7,,864.8,,14500.55,,146.62,12692.6,,,24270,,,,,18920,,78,,SHIVAMOGGA,,,,,SHIVAMOGGA,97,70,425,258,SHIVAMOGGA,164,61,359,134,,,,,,5630.23,4085.39,21731.33,12015.71,87.37,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1147.71,305,,,145,83,44,94,7,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.78,,,,,,,997,,,,,,,,,,,
Tumakuru,March 2025,952137,23452.67,,735.58,,15863.83,,117.33,14139.4,,,26565,,,,,22579,,85,,TUMAKURU,,,,,TUMAKURU,78,137,458,243,TUMAKURU,203,124,426,99,,,,,,6871.79,6767.52,23724.01,10084.7,104.55,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.17,124,,,194,65,76,82,36,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.16,,,,,,,464,,,,,,,,,,,
Udupi,March 2025,476703,20059.6,,800.76,,13736.68,,158.46,12638.1,,,30290,,,,,17024,,56,,UDUPI,,,,,UDUPI,172,116,483,195,UDUPI,238,93,435,104,,,,,,7588.04,5032.28,20308.58,7688.26,47.68,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466.61,365,,,172,135,9,160,3,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11,,,,,,,907,,,,,,,,,,,
Uttara Kannada,March 2025,509125,11186.92,,734.77,,8773.86,,122.45,8146.76,,,23385,,,,,16243,,69,,UTTARA KANNADA,,,,,UTTARA KANNADA,62,211,287,14,UTTARA KANNADA,175,163,366,28,,,,,,1992.87,6333.51,11321.87,2995.49,46.56,0,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.74,197,,,85,64,17,66,2,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.97,,,,,,,842,,,,,,,,,,,
Vijayapura,March 2025,809933,18855.1,,549.56,,13164.72,,64.64,13759.5,,,20775,,,,,23489,,113,,VIJAYAPURA,,,,,VIJAYAPURA,33,95,288,160,VIJAYAPURA,139,101,337,97,,,,,,5024.56,5882.8,18791.2,7883.84,93.44,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,92,101,120,11,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.31,,,,,,,913,,,,,,,,,,,
Yadgir,March 2025,297715,5994.77,,189.45,,3696.06,,273.46,2930.84,,,10640,,,,,14960,,141,,YADGIR,,,,,YADGIR,17,86,107,4,YADGIR,51,70,127,6,,,,,,1465.74,4287.28,5992.94,239.92,118.07,0,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,28,36,34,14,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.26,,,,,,,171,,,,,,,,,,,
Bagalkote,June 2025,825838,18363.22,,,,,,,,,18,23375,,,,,,4293,,,BAGALKOTE,,,,,,,,,,,,,,,,,,,,5058.87,9393.48,18380.78,3928.43,106.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.29,900,16,3,1,6,9,,,200,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14568,184.86,,,,,,,,,,,62.13,,,,,,,,28,,,,,,,,,,
Ballari,June 2025,501733,17373.73,,,,,,,,,18,16650,,,,,,3076,,,BALLARI,,,,,,,,,,,,,,,,,,,,2411.25,4907.65,17375.41,10056.51,93.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.83,783,8,1,1,3,4,,,75,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14636,166.74,,,,,,,,,,,10.7,,,,,,,,5,,,,,,,,,,
Bengaluru Rural,June 2025,475686,19895.23,,,,,,,,,14,25940,,,,,,3614,,,BENGALURU RURAL,,,,,,,,,,,,,,,,,,,,7455.51,11673.33,20135.98,1007.14,106.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.45,274,6,1,1,1,4,,,75,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12418,150.43,,,,,,,,,,,20.56,,,,,,,,8,,,,,,,,,,
Bengaluru Urban,June 2025,8295447,825855.82,,,,,,,,,12,190790,,,,,,22531,,,BENGALURU URBAN,,,,,,,,,,,,,,,,,,,,11565.47,17907.86,820361.72,790888.39,72.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.75,1062,79,30,5,45,29,,,250,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71202,1034.26,,,,,,,,,,,128.39,,,,,,,,56,,,,,,,,,,
Bidar,June 2025,502739,10686.93,,,,,,,,,37,15320,,,,,,5703,,,BIDAR,,,,,,,,,,,,,,,,,,,,2353.03,4374.02,10732.03,4004.98,105.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.81,347,49,2,12,8,29,,,125,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10084,90.39,,,,,,,,,,,7.7,,,,,,,,3,,,,,,,,,,
Chikkaballapura,June 2025,406282,9614.45,,,,,,,,,53,13725,,,,,,7235,,,CHIKKABALLAPURA,,,,,,,,,,,,,,,,,,,,3287.83,5498.84,9728.69,942.01,120.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.09,258,3,0,0,1,2,,,75,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13074,142.85,,,,,,,,,,,3.5,,,,,,,,1,,,,,,,,,,
Chikkamagaluru,June 2025,558305,14101.45,,,,,,,,,15,22985,,,,,,3387,,,CHIKKAMAGALURU,,,,,,,,,,,,,,,,,,,,5320.59,3605.79,14233.17,5306.79,87.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.98,405,12,3,1,7,4,,,150,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11734,182.99,,,,,,,,,,,47.97,,,,,,,,18,,,,,,,,,,
Chitradurga,June 2025,640891,12785.28,,,,,,,,,22,19720,,,,,,4389,,,CHITRADURGA,,,,,,,,,,,,,,,,,,,,4090.3,4978.06,12817.8,3749.44,115.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.94,342,13,3,3,6,4,,,100,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18337,177.61,,,,,,,,,,,15.11,,,,,,,,6,,,,,,,,,,
Dakshina Kannada,June 2025,1048129,54581.92,,,,,,,,,14,49680,,,,,,7025,,,DAKSHINA KANNADA,,,,,,,,,,,,,,,,,,,,14889.69,7372.38,55768.54,33506.48,72.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.41,1015,13,5,0,11,2,,,150,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16664,223.24,,,,,,,,,,,94.02,,,,,,,,38,,,,,,,,,,
Dharwad,June 2025,831812,35314.89,,,,,,,,,16,30540,,,,,,4846,,,DHARWAD,,,,,,,,,,,,,,,,,,,,3399.8,1810.88,35515.52,30304.84,90.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.37,533,35,11,4,20,11,,,250,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14379,301.34,,,,,,,,,,,49.11,,,,,,,,17,,,,,,,,,,
Gadag,June 2025,350668,8293.9,,,,,,,,,19,14455,,,,,,2714,,,GADAG,,,,,,,,,,,,,,,,,,,,3221.36,2850.43,8284.66,2212.88,98.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.74,242,30,2,10,5,15,,,200,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200,92.05,,,,,,,,,,,24.9,,,,,,,,10,,,,,,,,,,
Hassan,June 2025,786889,20695.65,,,,,,,,,19,28555,,,,,,5413,,,HASSAN,,,,,,,,,,,,,,,,,,,,7277.63,4918.56,20930.33,8734.14,114.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.40,497,10,3,0,6,4,,,150,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17782,228.74,,,,,,,,,,,9.66,,,,,,,,5,,,,,,,,,,
Haveri,June 2025,689167,14583,,,,,,,,,23,18850,,,,,,4295,,,HAVERI,,,,,,,,,,,,,,,,,,,,5740.75,6072.92,14641.33,2827.66,153.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.90,459,52,14,4,26,22,,,250,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24476,347.26,,,,,,,,,,,22.32,,,,,,,,9,,,,,,,,,,
Kalaburagi,June 2025,621783,17730,,,,,,,,,37,22505,,,,,,8326,,,KALABURAGI,,,,,,,,,,,,,,,,,,,,3371.64,3651.21,17740.85,10718,81.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.87,345,40,2,19,9,12,,,200,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14116,121.67,,,,,,,,,,,17.54,,,,,,,,8,,,,,,,,,,
Kodagu,June 2025,278073,9024.17,,,,,,,,,12,14630,,,,,,1778,,,KODAGU,,,,,,,,,,,,,,,,,,,,4404.21,4519.36,9101.45,177.89,73.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.63,284,8,3,0,7,1,,,75,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12776,109.41,,,,,,,,,,,12,,,,,,,,5,,,,,,,,,,
