district,period,branch_network__branch_rural,branch_network__branch_semi_urban,branch_network__branch_urban,branch_network__total_branch,credit_deposit_ratio__advances_rural,credit_deposit_ratio__advances_semi_urban,credit_deposit_ratio__advances_urban,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__deposits_rural,credit_deposit_ratio__deposits_semi_urban,credit_deposit_ratio__deposits_urban,credit_deposit_ratio__total_advance,credit_deposit_ratio__total_branch,credit_deposit_ratio__total_deposit,non_priority_sector__agricuture,non_priority_sector__col_10,non_priority_sector__col_11,non_priority_sector__col_12,non_priority_sector__col_13,non_priority_sector__col_14,non_priority_sector__col_15,non_priority_sector__col_16,non_priority_sector__col_17,non_priority_sector__col_18,non_priority_sector__col_19,non_priority_sector__col_2,non_priority_sector__col_3,non_priority_sector__col_4,non_priority_sector__col_5,non_priority_sector__col_6,non_priority_sector__col_7,non_priority_sector__col_8,non_priority_sector__col_9,non_priority_sector__education,non_priority_sector__housing,non_priority_sector__others,non_priority_sector__personal_loan_under_nps,non_priority_sector__total_non_priority,priority_sector__agri_infra,priority_sector__agri_term,priority_sector__ancillary_activities,priority_sector__col_10,priority_sector__col_11,priority_sector__col_12,priority_sector__col_13,priority_sector__col_14,priority_sector__col_15,priority_sector__col_16,priority_sector__col_17,priority_sector__col_18,priority_sector__col_19,priority_sector__col_2,priority_sector__col_21,priority_sector__col_22,priority_sector__col_3,priority_sector__col_4,priority_sector__col_5,priority_sector__col_6,priority_sector__col_7,priority_sector__col_8,priority_sector__col_9,priority_sector__crop,priority_sector__education,priority_sector__export_credit,priority_sector__housing,priority_sector__msme,priority_sector__others,priority_sector__renewable_energy,priority_sector__social_infrastructure,priority_sector__sub_total,priority_sector__total_agriculture,priority_sector__total_priority_secotr
Nalgonda,June 2023,92.0,43.0,88.0,223.0,5025.0,2792.91,8917.33,193.72,2094.43,1333.69,5210.62,16735.24,223.0,8638.74,56.41,72.34,1626.34,292.72,224.31,129166.0,444.2,308.79,5581.13,829.61,165.37,527070.0,10.99,19.48,676.51,9.67,13.56,1583.0,72.03,71.33,99.57,143.85,130.5,501.66,275.38,610.53,1379.86,4.57,690.14,0.29,0.5,2.0,0.0,0.0,44.0,9.98,0.0,133.0,2866.99,33.99,0.0,0.0,1950.83,3.06,5.17,1173.0,12.17,4909.21,59.22,0.0,266.03,821.5,0.0,55.2,57.91,5519.74,7174.98,8434.84
Narayanpet,June 2023,27.0,26.0,0.0,53.0,1207.46,1316.13,31.71,185.68,529.88,846.32,0.0,2555.3,53.0,1376.2,4.81,52.85,106.98,23.95,168.07,10607.0,27.32,151.61,462.61,58.04,107.08,147885.0,0.3,6.24,180.08,1.09,15.71,288.0,5.38,6.94,10.18,18.02,14.25,54.2,76.26,407.37,134.88,4.38,72.35,0.0,0.0,0.0,0.0,0.0,18.11,5.55,0.0,22.0,340.61,12.76,0.0,0.0,134.11,0.56,11.62,195.0,0.84,1834.09,4.82,0.0,19.2,176.45,0.0,5.33,11.24,2241.46,2452.6,2669.64
Nirmal,June 2023,54.0,33.0,5.0,92.0,2382.07,2946.11,176.93,176.04,1507.6,1549.82,69.82,5505.11,92.0,3127.24,25.7,48.6,529.02,78.96,93.27,31464.0,80.02,72.97,1665.49,189.51,59.92,122627.0,2.0,7.78,119.78,0.69,1.77,196.0,27.84,38.98,57.28,109.66,84.66,316.28,225.73,232.28,521.32,8.87,222.86,0.0,0.0,15.0,0.0,0.0,34.77,5.75,0.0,32.0,1072.49,26.61,0.0,0.0,607.95,0.85,2.07,302.0,7.66,2316.68,40.97,0.0,86.4,564.5,0.0,20.33,21.66,2548.96,3296.01,4029.87
Nizamabad,June 2023,144.0,55.0,80.0,279.0,5560.85,3544.48,7273.34,172.34,2905.61,2057.24,4540.66,16378.67,279.0,9503.51,24.08,163.89,2514.56,260.57,801.75,116569.0,349.58,637.11,6395.35,714.24,357.16,367994.0,3.77,15.66,441.49,7.49,23.49,1178.0,92.83,31.89,56.64,54.87,32.5,199.98,252.39,980.3,1273.5,12.11,846.73,1.2,3.37,2.0,0.0,0.0,147.52,20.81,0.0,277.0,2272.61,26.69,0.0,0.0,1863.24,1.42,1.8,1260.0,19.95,4062.25,78.71,0.0,164.69,1646.89,0.0,19.17,35.64,5042.55,6568.44,8513.54
Peddapalli,June 2023,42.0,44.0,27.0,113.0,1705.14,2372.31,1657.86,88.05,1843.13,2135.83,2534.76,5735.31,113.0,6513.72,33.42,52.79,822.92,97.47,114.52,52476.0,198.18,168.66,2512.91,337.47,104.22,132011.0,3.97,11.88,137.7,6.72,23.32,1075.0,31.13,28.82,58.97,117.5,85.11,323.82,49.17,330.46,409.87,8.64,213.42,0.0,0.0,260.0,2.37,12.78,56.02,10.34,0.0,37.0,675.1,20.71,0.0,0.0,608.28,1.05,6.86,581.0,6.81,1854.26,15.3,0.0,78.8,484.98,0.0,18.55,17.91,2184.72,2643.76,3259.3
Rajanna Sircilla,June 2023,36.0,27.0,6.0,69.0,1514.67,1674.69,635.34,104.65,1009.22,1951.01,694.6,3824.7,69.0,3654.83,14.73,88.94,579.82,145.87,330.47,40348.0,106.65,213.09,1500.85,278.05,188.91,91671.0,0.46,3.12,119.45,1.5,12.74,299.0,23.57,11.77,26.5,50.05,44.14,147.19,117.65,226.58,387.94,3.99,198.07,0.0,0.0,510.0,6.18,84.77,109.05,8.12,0.0,10.0,428.64,15.12,0.0,0.0,293.82,1.02,7.83,368.0,1.21,1401.85,13.03,0.0,30.29,640.69,0.0,7.29,8.91,1628.43,2134.02,2834.23
Ranga Reddy,June 2023,146.0,104.0,504.0,754.0,6209.62,5665.24,71226.4,92.78,7894.55,4602.24,77069.48,83101.26,754.0,89566.27,788.59,205.9,23727.81,2002.67,91.73,1233225.0,6965.23,226.5,61251.91,10398.79,112.48,330282.0,113.78,14.43,379.05,35.85,1.39,4880.0,1281.26,2575.88,622.27,3075.2,2183.28,9245.22,447.19,1823.49,768.73,12.1,4035.66,0.2,0.24,22.0,0.14,0.5,122.32,30.57,0.0,992.0,6322.06,42.39,0.0,0.0,9872.29,8.06,6.44,5913.0,140.0,2792.6,125.11,0.0,1156.76,7686.35,0.0,28.11,84.38,4616.09,5832.01,14912.72
Sangareddy,June 2023,87.0,114.0,36.0,237.0,4473.07,9512.34,4988.5,104.31,7275.13,5851.24,5063.78,18973.91,237.0,18190.15,85.97,74.66,5421.24,452.6,129.32,128324.0,411.11,76.13,11219.95,1023.5,82.88,276233.0,2.84,3.3,290.1,3.9,7.22,795.0,153.05,54.02,205.0,540.0,349.99,1234.98,122.88,325.86,972.5,1.63,1333.42,0.18,0.4,0.0,0.0,0.0,179.59,21.12,0.0,179.0,1571.47,23.99,0.0,0.0,1785.36,1.33,1.56,1836.0,20.67,2722.81,85.39,0.0,1269.28,1000.58,0.0,6.71,45.52,3048.67,4144.05,6551.53
Siddipet,June 2023,67.0,47.0,29.0,143.0,2807.99,2367.89,1977.67,141.71,1689.51,1628.79,1729.83,7153.55,143.0,5048.13,27.81,57.33,962.69,122.99,138.97,41053.0,104.43,108.04,2414.25,297.37,87.72,240244.0,16.31,58.65,283.04,6.84,15.4,1188.0,46.8,44.41,81.63,96.66,88.5,339.01,142.74,740.54,538.66,3.4,379.86,0.0,0.0,12.0,0.12,3.96,154.38,19.71,0.0,46.0,945.89,16.95,0.0,0.0,529.94,1.1,8.04,545.0,11.5,3088.94,13.69,0.0,338.32,661.86,0.0,3.03,53.35,3829.48,4510.88,5581.13
Suryapet,June 2023,63.0,52.0,40.0,155.0,2981.21,3958.22,3489.17,231.69,1233.29,1675.01,1592.78,10428.6,155.0,4501.08,37.71,78.42,1366.57,116.15,109.8,59759.0,229.31,178.59,3306.14,413.0,109.38,380984.0,2.69,7.13,466.07,5.61,18.6,1493.0,59.24,30.16,75.54,128.4,105.78,377.59,226.64,362.6,774.69,6.59,555.07,0.0,0.0,3.0,0.0,0.0,46.72,10.61,0.0,149.0,1889.24,39.73,0.0,0.0,1058.76,1.35,3.75,887.0,11.87,2614.67,36.0,0.0,180.03,457.47,0.0,67.79,35.65,2977.27,3978.6,4755.54
Vikarabad,June 2023,56.0,42.0,4.0,102.0,2020.68,2566.88,140.28,158.75,1128.93,1798.02,51.18,4727.84,102.0,2978.13,148.21,6.26,254.56,67.52,48.26,49099.0,115.52,23.26,1313.03,195.44,18.68,212452.0,0.44,0.3,193.73,1.2,1.34,257.0,10.76,89.82,171.82,496.74,139.91,1046.5,76.84,683.54,487.24,0.47,128.96,0.0,0.0,8.0,0.1,0.11,32.99,7.78,0.0,76.0,569.78,8.96,0.0,0.0,272.38,0.4,0.25,298.0,4.65,2582.24,158.03,0.0,991.18,1200.55,0.0,90.61,91.29,3265.78,3829.86,6361.52
Wanaparthy,June 2023,23.0,35.0,1.0,59.0,1071.28,2188.01,25.68,175.91,438.18,1421.09,8.15,3284.97,59.0,1867.42,13.34,31.99,363.64,53.57,121.12,17123.0,29.42,52.28,1001.74,95.81,58.28,143621.0,0.64,4.8,152.85,2.59,12.58,609.0,9.59,20.59,29.98,56.27,44.23,164.41,94.04,536.09,324.2,7.87,137.87,0.0,0.0,0.0,0.0,0.0,29.98,5.25,0.0,8.0,386.28,11.0,0.0,0.0,263.73,0.61,5.97,279.0,2.88,2307.13,10.21,0.0,36.6,185.26,0.0,6.42,10.61,2843.22,3261.46,3510.56
Warangal,June 2023,40.0,19.0,70.0,129.0,1927.53,1597.18,6126.42,96.98,741.48,612.71,8597.1,9651.13,129.0,9951.29,12.39,332.95,1313.39,131.43,313.15,103475.0,341.78,778.19,4390.41,577.7,456.5,195385.0,35.28,284.8,182.94,7.78,79.23,1209.0,61.43,9.82,18.45,43.92,41.97,126.55,108.21,632.46,56.93,14.51,251.61,0.0,0.0,8.0,0.82,132.26,69.96,7.18,0.0,84.0,1280.16,48.43,0.0,0.0,1519.84,1.83,15.61,1043.0,6.3,1578.36,11.72,0.0,43.43,205.76,0.0,0.62,5.89,2210.82,2375.96,2643.38
Yadadri Bhuvanagiri,June 2023,55.0,47.0,2.0,104.0,2232.99,3298.99,121.39,150.94,1244.9,2482.38,18.2,5653.37,104.0,3745.48,18.37,101.62,649.8,109.16,200.18,35955.0,84.46,116.63,1832.84,228.11,114.06,206250.0,3.08,16.77,220.57,1.25,5.0,224.0,30.16,24.99,29.68,72.42,54.53,199.99,176.33,307.1,563.88,7.4,239.65,4.45,21.09,0.0,0.0,0.0,15.25,2.01,0.0,106.0,808.47,23.05,0.0,0.0,454.32,1.09,4.26,395.0,8.58,1929.44,25.58,0.0,115.93,353.54,0.0,15.05,21.1,2236.54,2976.75,3507.95
Adilabad,September 2023,53.0,17.0,36.0,106.0,2142.26,1157.41,6425.8,235.33,1546.01,504.68,2081.93,9725.47,106.0,4132.62,54.05,329.71,1665.56,378.66,232.24,87355.0,1027.64,544.91,4899.25,1722.62,318.67,114144.0,5.6,10.36,89.74,12.04,27.18,207.0,298.68,44.29,90.59,188.59,163.05,540.57,199.32,209.56,486.61,26.93,397.54,0.0,0.0,135.0,0.0,0.0,146.45,48.28,0.0,18.0,2598.33,61.6,0.0,0.0,1314.33,4.73,9.85,438.0,24.56,2354.07,48.0,0.0,91.19,800.1,0.0,8.77,20.33,2563.63,3249.56,4217.95
Bhadradri Kothagudem,September 2023,69.0,105.0,0.0,174.0,1823.51,6291.77,225.55,108.03,1140.91,6543.77,36.41,8340.83,174.0,7721.09,10.43,618.49,614.68,357.39,1539.2,116047.0,617.35,3089.84,4401.62,1064.02,1443.5,274354.0,6.17,59.16,336.75,5.49,72.91,198.0,77.62,7.53,12.55,19.98,23.22,73.71,132.67,736.99,728.9,1.49,204.42,0.06,0.22,221.0,1.03,4.38,154.5,52.85,0.0,9.0,1692.75,30.64,0.0,0.0,574.33,4.15,2.05,1198.0,7.99,2710.98,202.8,0.0,536.22,426.55,0.0,23.51,26.69,3447.97,4309.54,5525.31
Hanumakonda,September 2023,37.0,20.0,106.0,163.0,1471.73,1496.21,13529.0,129.37,795.95,614.81,11341.38,16496.94,163.0,12752.14,31.34,336.47,2767.5,444.13,443.07,169625.0,2160.22,1631.46,9458.05,2887.0,755.68,187408.0,21.48,68.54,187.49,23.62,49.78,915.0,237.55,47.45,70.6,132.41,100.24,382.04,113.5,400.4,551.65,5.02,720.13,0.35,0.36,8.0,0.51,30.91,153.47,35.81,0.0,110.0,3136.61,70.57,0.0,0.0,2401.89,21.04,27.82,3661.0,20.26,1432.73,75.63,0.0,403.2,1369.6,0.0,1.65,96.2,1833.13,2498.28,4444.56
Hyderabad,September 2023,2.0,6.0,1104.0,1112.0,129.5,1852.95,487605.4,127.73,9.03,256.99,383038.5,489587.8,1112.0,383304.5,0.0,147.38,43991.64,6297.86,81.32,2406377.0,140747.66,1038.31,403192.07,155031.12,585.84,185084.0,1921.89,0.0,471.98,356.83,27.65,7577.0,5706.88,1290.6,3872.12,13555.5,7744.91,26463.2,0.0,0.0,0.0,23.67,9166.87,116.44,27.86,26.0,35.15,133.6,504.9,340.3,58.84,1428.0,47695.97,161.98,219.26,56.2,61289.02,72.79,6.05,12735.0,675.9,0.0,1203.87,390.01,2855.68,23972.55,578.38,26.31,418.02,0.0,0.0,29444.82
Jagitial,September 2023,66.0,37.0,26.0,129.0,2496.3,2023.94,2004.5,128.25,1459.74,1926.38,1701.26,6524.74,129.0,5087.38,19.87,160.45,504.8,246.39,312.08,82440.0,282.89,536.9,2237.17,597.02,299.63,215106.0,4.51,22.7,196.67,9.32,65.91,260.0,53.91,14.14,33.6,52.69,78.95,199.25,139.77,606.43,834.75,21.79,350.74,0.0,0.0,282.0,10.28,137.62,116.05,45.59,0.0,88.0,2024.76,40.92,0.0,0.0,465.97,11.39,33.43,1189.0,21.28,2117.96,34.07,0.0,97.65,1086.7,0.0,7.47,23.14,2724.39,3698.91,4947.94
Jangoan,September 2023,33.0,29.0,1.0,63.0,1756.13,2453.81,4.65,236.53,648.52,1129.33,3.96,4214.59,63.0,1781.81,6.01,363.88,290.03,99.14,536.18,29520.0,164.56,831.11,1297.0,307.89,513.66,153662.0,4.0,66.56,117.23,1.91,37.3,99.0,38.28,5.12,10.52,19.8,18.49,59.94,116.33,531.7,410.75,15.32,170.34,0.2,2.58,0.0,0.0,0.0,61.77,23.17,0.0,29.0,1221.32,40.14,0.0,0.0,201.3,8.03,34.33,1180.0,9.55,1592.6,23.39,0.0,62.32,297.09,0.0,0.97,7.76,2124.3,2651.38,3042.91
Jayashankar Bhupalapally,September 2023,25.0,20.0,1.0,46.0,998.98,1009.17,5.39,121.69,519.17,1135.21,0.28,2013.54,46.0,1654.66,20.15,43.17,,61.77,94.96,,97.13,115.08,,180.75,73.6,,0.35,1.74,,1.84,6.04,,19.66,30.44,45.54,84.4,65.05,245.58,80.07,500.57,19.74,4.34,,0.0,0.0,,0.56,72.73,,10.29,0.0,,581.2,33.29,0.0,0.0,,7.48,52.02,,1.22,1010.25,14.38,0.0,28.11,84.04,0.0,0.77,8.04,1510.82,1610.63,1745.97
Jogulamba Gadwal,September 2023,23.0,35.0,0.0,58.0,1325.87,2210.47,40.42,202.09,423.81,1346.05,0.0,3576.76,58.0,1769.86,52.8,22.95,250.27,68.75,50.31,26030.0,147.08,92.24,1056.08,242.21,46.87,138893.0,2.73,5.17,129.39,1.15,1.65,58.0,22.5,69.89,98.03,159.45,136.65,516.82,96.0,429.98,356.81,4.01,112.77,0.0,0.0,0.0,0.0,0.0,34.85,4.75,0.0,10.0,1314.62,31.61,0.0,0.0,260.04,3.34,22.71,461.0,4.51,2647.79,14.71,0.0,112.6,474.49,0.0,7.19,19.03,3077.77,3530.58,4158.6
Kamareddy,September 2023,74.0,59.0,1.0,134.0,2518.75,3816.88,88.01,184.73,1148.26,2322.06,6.94,6423.64,134.0,3477.26,44.42,69.32,617.69,174.95,139.79,38314.0,206.55,132.81,1941.18,452.21,94.51,277851.0,5.55,12.49,243.9,2.25,3.59,150.0,62.91,62.65,90.75,155.52,125.15,478.49,105.38,646.44,388.86,12.16,355.93,0.03,0.16,1.0,0.0,0.0,84.42,20.63,0.0,123.0,1776.8,34.9,0.0,0.0,440.77,3.31,9.88,689.0,16.55,3165.63,33.49,0.0,136.12,593.4,0.0,3.39,18.27,3812.07,4306.31,5090.98
Karimnagar,September 2023,93.0,41.0,85.0,219.0,4099.81,2164.07,8224.12,117.49,3807.52,1950.43,6572.95,14488.0,219.0,12330.9,207.63,40.92,1567.88,483.88,71.72,165904.0,926.08,96.45,6358.53,1660.51,63.99,228640.0,33.97,16.36,192.18,25.48,8.92,764.0,191.1,285.5,467.06,960.13,674.65,2594.97,94.98,517.39,664.51,82.96,759.7,0.1,0.57,755.0,10.79,111.35,288.51,105.06,0.0,65.0,3987.61,81.62,0.0,0.0,2249.91,8.78,21.68,1581.0,145.96,2301.55,40.49,0.0,175.94,1063.45,0.0,9.69,17.52,2818.94,3578.43,4885.52
Khammam,September 2023,102.0,61.0,88.0,251.0,4268.57,3670.25,10325.72,188.57,1980.25,1868.56,5836.91,18264.54,251.0,9685.72,19.96,712.55,3027.08,323.97,636.73,155396.0,1053.54,1557.57,8069.94,1660.41,854.03,523816.0,21.14,105.9,604.88,32.96,138.3,1277.0,228.8,23.83,32.11,67.64,50.88,194.42,177.76,699.51,797.1,5.17,879.92,0.2,0.64,289.0,6.93,37.7,305.6,91.12,0.0,80.0,4446.28,71.28,0.0,0.0,1853.66,17.42,7.36,3023.0,23.99,3292.28,236.62,0.0,464.38,520.65,0.0,18.38,31.47,3991.79,4966.65,6238.15
Kumuram Bheem Asifabad,September 2023,40.0,14.0,1.0,55.0,1229.06,406.33,58.7,88.84,1210.56,683.54,12.85,1694.09,55.0,1906.95,13.23,19.57,169.98,42.13,105.8,9089.0,51.33,97.46,530.11,104.71,68.77,41287.0,5.65,42.71,39.15,0.13,0.7,37.0,5.47,18.6,27.95,52.67,39.82,152.27,133.4,224.57,246.96,1.95,63.56,0.0,0.0,47.0,0.0,0.0,36.81,10.65,0.0,60.0,766.78,30.46,0.0,0.0,115.82,0.3,0.85,130.0,1.38,1519.37,35.21,0.0,70.85,265.59,0.0,5.92,15.18,1743.94,2124.3,2517.05
Mahabubabad,September 2023,27.0,43.0,1.0,71.0,1285.15,3185.58,62.4,233.03,430.21,1508.82,6.28,4533.13,71.0,1945.31,22.01,115.95,297.86,67.3,101.62,37436.0,203.67,212.27,1069.29,333.28,125.19,232384.0,2.72,12.36,206.49,2.32,7.11,125.0,57.27,32.64,49.39,95.95,66.23,266.22,113.07,429.63,395.91,22.9,136.33,0.0,0.0,2.0,0.07,7.07,94.47,35.85,0.0,30.0,1463.96,49.52,0.0,0.0,265.61,6.4,50.83,1038.0,5.49,1688.76,12.59,0.0,23.97,282.36,0.0,0.99,9.29,2118.39,2627.37,2956.57
Mahabubnagar,September 2023,50.0,27.0,60.0,137.0,1926.54,1628.64,5675.5,169.8,877.88,757.31,3800.86,9230.68,137.0,5436.05,28.68,198.06,1343.04,250.69,289.71,81963.0,524.79,413.19,4218.96,916.23,265.62,223871.0,13.77,48.01,226.63,9.47,21.83,366.0,117.51,43.39,59.33,127.01,86.53,344.94,84.51,601.63,484.92,17.52,588.89,0.2,0.77,0.0,0.0,0.0,62.79,13.96,0.0,64.0,1997.88,38.85,0.0,0.0,1142.75,8.28,37.69,1152.0,28.3,3162.41,21.97,0.0,161.51,584.61,0.0,15.54,26.08,3764.04,4333.47,5143.18
Mancherial,September 2023,48.0,69.0,6.0,123.0,2047.68,4395.97,349.09,83.25,2620.8,5257.83,281.23,6792.74,123.0,8159.86,31.75,145.55,981.38,367.52,407.59,66088.0,330.78,285.38,3341.49,795.76,231.31,98277.0,2.57,8.09,112.21,3.38,7.8,150.0,91.51,43.33,62.87,115.91,90.17,344.03,137.11,247.08,561.31,8.19,443.45,0.1,0.28,36.0,0.0,0.0,159.87,51.65,0.0,49.0,1690.83,39.49,0.0,0.0,531.52,4.59,3.55,954.0,20.54,2158.7,129.26,0.0,250.89,752.91,0.0,9.08,35.58,2405.78,3104.2,4281.92
Medak,September 2023,60.0,44.0,2.0,106.0,2394.87,2915.87,584.14,244.67,882.43,1523.03,3.82,5894.88,106.0,2409.28,26.92,128.99,480.09,95.97,116.61,61226.0,321.31,338.86,2967.96,477.44,177.32,208643.0,2.58,9.58,213.67,3.43,14.76,108.0,54.15,23.24,41.98,94.82,82.3,269.26,126.48,521.97,388.59,7.11,207.51,0.1,0.58,0.0,0.0,0.0,180.88,53.55,0.0,33.0,1548.31,43.9,0.0,0.0,565.74,6.08,80.11,742.0,13.16,1758.32,7.59,0.0,185.09,514.77,0.0,6.96,17.35,2280.29,2795.36,3527.12
Medchal Malkajgiri,September 2023,43.0,109.0,496.0,648.0,2279.45,7522.99,98196.71,97.38,3395.14,6974.58,100537.7,107999.2,648.0,110907.4,550.03,76.29,13722.43,4732.74,184.34,1358720.0,10586.89,313.71,79917.62,17264.32,175.78,162397.0,135.45,24.63,223.8,119.51,10.72,3863.0,1689.73,1114.77,2214.82,3374.72,2567.43,9821.77,175.37,1191.45,305.92,26.12,7129.95,0.27,0.11,4.0,0.0,0.0,297.66,127.39,0.0,227.0,13454.96,157.41,0.0,0.0,15398.98,44.62,14.25,8586.0,273.5,242.36,313.19,0.0,1047.22,4983.41,0.0,38.4,250.65,1433.81,1915.1,8547.97
Mulugu,September 2023,26.0,10.0,1.0,37.0,1015.94,471.01,22.87,147.37,722.07,302.42,0.0,1509.82,37.0,1024.49,6.48,236.14,80.9,19.62,221.44,13170.0,89.89,2208.6,353.65,133.06,385.57,87434.0,0.05,0.77,104.45,0.76,13.89,23.0,22.74,5.47,9.63,4.07,8.86,34.51,50.15,415.78,22.05,6.74,32.58,0.0,0.0,17.0,0.0,0.0,14.6,0.31,0.0,127.0,497.47,33.85,0.0,0.0,55.71,5.85,40.48,752.0,1.9,831.45,14.45,0.0,28.18,98.98,0.0,0.7,7.7,1247.23,1319.43,1469.44
Nagarkurnool,September 2023,50.0,39.0,1.0,90.0,2252.2,2905.61,308.93,217.83,1033.99,1466.12,9.58,5466.74,90.0,2509.69,19.9,108.67,369.29,88.88,159.25,48611.0,310.26,498.17,1437.57,444.67,234.26,280702.0,4.61,23.17,284.99,2.57,15.54,137.0,38.35,16.54,35.29,62.28,55.81,189.82,95.32,804.59,608.73,6.77,176.78,0.0,0.0,0.0,0.0,0.0,77.16,6.14,0.0,15.0,1854.24,33.26,0.0,0.0,322.78,5.25,38.66,772.0,11.37,3456.16,13.58,0.0,168.0,413.85,0.0,9.59,5.02,4260.75,4964.8,5574.84
Nalgonda,September 2023,93.0,46.0,90.0,229.0,5074.18,2873.38,9923.53,206.88,1914.38,1290.32,5433.84,17871.09,229.0,8638.54,56.41,176.92,1654.52,310.18,237.69,160174.0,1162.78,808.33,6399.7,1687.14,336.31,549105.0,15.68,27.8,642.85,22.34,31.32,840.0,176.16,71.33,99.57,143.85,130.5,501.66,275.38,610.53,1379.86,10.92,823.12,0.39,0.67,0.0,0.0,0.0,209.93,24.68,0.0,101.0,5401.51,64.04,0.0,0.0,1854.17,17.51,29.57,2362.0,29.05,4909.21,59.22,0.0,266.03,821.5,0.0,55.2,57.91,5519.74,7174.98,8434.84
Narayanpet,September 2023,28.0,27.0,0.0,55.0,1182.64,1332.58,32.7,188.79,477.42,872.18,0.0,2547.92,55.0,1349.6,4.81,144.4,113.39,17.59,123.44,16054.0,86.8,481.69,476.26,120.49,222.31,156699.0,0.06,1.25,170.03,1.34,19.31,40.0,14.7,6.94,10.18,18.02,14.25,54.2,76.26,407.37,134.88,17.14,78.27,0.0,0.0,0.0,0.0,0.0,44.1,11.51,0.0,21.0,815.63,30.55,0.0,0.0,115.18,1.98,41.08,532.0,3.29,1834.09,4.82,0.0,19.2,176.45,0.0,5.33,11.24,2241.46,2452.6,2669.64
Nirmal,September 2023,54.0,33.0,5.0,92.0,2439.58,3089.94,185.09,187.14,1408.03,1585.16,60.49,5714.61,92.0,3053.68,25.7,96.61,506.28,148.42,175.31,34279.0,177.24,161.63,1713.77,386.56,122.22,131408.0,3.0,11.67,128.36,2.56,6.57,137.0,55.34,38.98,57.28,109.66,84.66,316.28,225.73,232.28,521.32,17.97,277.72,0.0,0.0,15.0,0.0,0.0,59.82,21.7,0.0,32.0,2098.08,52.06,0.0,0.0,614.08,2.58,6.3,389.0,15.53,2316.68,40.97,0.0,86.4,564.5,0.0,20.33,21.66,2548.96,3296.01,4029.87
Nizamabad,September 2023,145.0,55.0,81.0,281.0,5770.1,3790.7,6832.78,176.15,2675.31,2038.26,4592.89,16393.58,281.0,9306.46,24.08,391.7,2394.65,473.76,1457.7,131732.0,705.71,1286.15,6594.0,1426.68,713.41,426070.0,8.99,37.33,431.12,16.36,51.3,788.0,221.86,31.89,56.64,54.87,32.5,199.98,252.39,980.3,1273.5,26.17,1078.58,5.22,14.65,2.0,0.0,0.0,231.0,83.34,0.0,227.0,4403.9,51.73,0.0,0.0,1838.0,12.19,15.49,2074.0,43.1,4062.25,78.71,0.0,164.69,1646.89,0.0,19.17,35.64,5042.55,6568.44,8513.54
Peddapalli,September 2023,45.0,45.0,27.0,117.0,1778.88,2599.44,1844.28,93.91,1826.56,2157.44,2642.33,6222.6,117.0,6626.33,33.42,146.18,860.28,200.54,235.62,62770.0,312.22,265.72,2708.35,623.6,192.58,140112.0,14.67,43.9,141.67,9.97,34.59,283.0,86.2,28.82,58.97,117.5,85.11,323.82,49.17,330.46,409.87,17.96,271.48,0.0,0.0,277.0,4.39,23.67,102.18,46.93,0.0,27.0,1692.56,51.93,0.0,0.0,654.4,13.96,91.24,1813.0,14.15,1854.26,15.3,0.0,78.8,484.98,0.0,18.55,17.91,2184.72,2643.76,3259.3
Rajanna Sircilla,September 2023,39.0,27.0,6.0,72.0,1580.6,1808.92,663.88,112.53,956.76,1955.34,689.88,4053.4,72.0,3601.98,14.73,198.0,568.93,191.72,434.35,47298.0,194.49,388.59,1552.15,444.01,301.66,101202.0,0.99,6.72,116.06,4.34,36.87,168.0,52.47,11.77,26.5,50.05,44.14,147.19,117.65,226.58,387.94,17.13,238.22,0.0,0.0,524.0,10.73,147.19,122.01,33.34,0.0,8.0,1091.61,38.52,0.0,0.0,303.05,6.43,49.35,717.0,5.19,1401.85,13.03,0.0,30.29,640.69,0.0,7.29,8.91,1628.43,2134.02,2834.23
Ranga Reddy,September 2023,150.0,108.0,496.0,754.0,7500.93,6032.29,57406.75,90.85,8533.79,4871.87,64680.19,70939.97,754.0,78085.85,788.59,454.25,20982.01,2066.68,94.66,672346.0,9716.01,315.95,50639.9,14963.04,161.85,363106.0,234.06,29.68,420.24,119.6,4.64,4607.0,2826.69,2575.88,622.27,3075.2,2183.28,9245.22,447.19,1823.49,768.73,22.61,4171.74,0.61,0.72,22.0,0.31,1.1,295.89,114.69,0.0,857.0,8945.38,59.98,0.0,0.0,7664.23,39.73,31.76,7587.0,261.52,2792.6,125.11,0.0,1156.76,7686.35,0.0,28.11,84.38,4616.09,5832.01,14912.72
Sangareddy,September 2023,91.0,115.0,37.0,243.0,4787.53,13587.36,5750.46,128.16,6955.62,5959.8,5909.0,24125.35,243.0,18824.42,85.97,193.06,4958.48,601.42,171.84,177363.0,3676.84,680.9,15569.41,4692.07,379.93,283550.0,5.28,6.14,271.33,12.75,23.6,594.0,395.78,54.02,205.0,540.0,349.99,1234.98,122.88,325.86,972.5,3.83,1756.76,0.26,0.57,0.0,0.0,0.0,405.58,82.86,0.0,123.0,3219.14,49.14,0.0,0.0,1763.17,9.68,11.34,2320.0,48.55,2722.81,85.39,0.0,1269.28,1000.58,0.0,6.71,45.52,3048.67,4144.05,6551.53
