period,district,camp_conducted_by_rural_branches_during_the_quarter,camp_conducted_by_rural_branches_during_the_quarter_no_of_branches,camp_conducted_by_rural_branches_during_the_quarter_no_of_total_rural_branches,camps_by_rural_branches_no_of_total_rural_branches,fy_2020_21_no_of_flc_camps_conducted,fy_2021_22_no_of_flc_camps_conducted,fy_2022_23_no_of_flc_camps_conducted,fy_2023_24_no_of_flc_camps_conducted,fy_2024_25_no_of_flc_camps_conducted,no_of_beneficiary_attended,no_of_camps,no_of_camps_conducted,no_of_flcs,no_of_flcs_in_district,no_of_literacy_camp_conducted_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_3,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_4,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_5,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_6,no_of_literacy_camps_under_taken_during_the_qt_as_per_rbi_guidelines_8,no_of_participants,no_of_participants_attended,no_of_persons_participated,no_of_persons_participated_in_literacy_camps_during_the_quarter_284,no_of_persons_participated_in_literacy_camps_during_the_quarter_312,no_of_persons_participated_in_literacy_camps_during_the_quarter_326,no_of_persons_participated_in_literacy_camps_during_the_quarter_342,no_of_persons_participated_in_literacy_camps_during_the_quarter_347,no_of_persons_participated_in_literacy_camps_during_the_quarter_478,no_of_persons_participated_in_literacy_camps_during_the_quarter_544,no_of_rsetis,no_of_rural_branches_in_district,no_of_rural_branches_in_the_district,no_of_rural_branches_which_have_conducted_literacy_camps_as_per_rbi_guidelines_using_standardized_financial_literacy_material_of_rbi_in_the_quarter,no_of_special_camps_conducted_by_flcs_during_the_quarter,no_of_special_camps_conducted_during_the_quarter,no_of_target_specific_camps_conducted_by_flcs_during_the_quarter,no_of_target_specific_camps_conducted_during_the_quarter,out_of_persons_participated_no_of_persons_already_have_bank_account_at_the_time_of_attending_the_camp,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_166,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_184,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_206,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_212,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_241,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_258,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_284,out_of_persons_participated_no_of_persons_already_having_bank_account_at_the_time_of_attending_camp_306,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_37,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_41,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_52,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_54,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_58,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_64,out_of_persons_participated_no_of_persons_opened_bank_account_after_attending_the_camp_68,sl_no_1,special_camps_by_flcs_no_of_no_of_target_camps_participants_conducted_attended,special_camps_by_flcs_target,special_camps_conducted_by_flcs_during_the_quarter_no_of_camps,target,target_group_addressed,target_specific_camps_by_flcs_target,target_specific_camps_conducted_by_flcs_during_the_quarter_no_of_camps,total_camps_conducted_during_the_quarter
June 2023,Jalpaiguri,,,,79.0,,,,,,,,262.0,1.0,,,,,,,,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,237.0,,15.0,,
June 2023,Jhargram,,,,83.0,,,,,,,,96.0,1.0,,,,,,,,,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,249.0,,15.0,,
June 2023,Kalimpong,,,,12.0,,,,,,,,5.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,36.0,,15.0,,
June 2023,Kolkata,,,,6.0,,,,,,,,18.0,1.0,,,,,,,,,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,18.0,,15.0,,
June 2023,Malda,,,,189.0,,,,,,,,327.0,2.0,,,,,,,,,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,567.0,,30.0,,
June 2023,Murshidabad,,,,339.0,,,,,,,,927.0,2.0,,,,,,,,,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,1017.0,,30.0,,
June 2023,Nadia,,,,176.0,,,,,,,,15.0,1.0,,,,,,,,,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,528.0,,15.0,,
June 2023,North 24 Parganas,,,,313.0,,,,,,,,788.0,1.0,,,,,,,,,1349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,939.0,,15.0,,
June 2023,Paschim Bardhaman,,,,100.0,,,,,,,,55.0,1.0,,,,,,,,,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,300.0,,15.0,,
June 2023,Paschim Medinipur,,,,248.0,,,,,,,,276.0,1.0,,,,,,,,,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,744.0,,15.0,,
June 2023,Purba Bardhaman,,,,370.0,,,,,,,,123.0,1.0,,,,,,,,,2086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1110.0,,15.0,,
June 2023,Purba Medinipur,,,,177.0,,,,,,,,546.0,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,531.0,,30.0,,
June 2023,Purulia,,,,152.0,,,,,,,,378.0,1.0,,,,,,,,,476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,456.0,,15.0,,
June 2023,South 24 Parganas,,,,306.0,,,,,,,,395.0,1.0,,,,,,,,,605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,918.0,,15.0,,
June 2023,Uttar Dinajpur,,,,81.0,,,,,,,,126.0,1.0,,,,,,,,,5163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,243.0,,15.0,,
June 2024,Alipurduar,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Bankura,,,,,,48.0,189.0,702.0,,23205.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Birbhum,,,,,,304.0,310.0,322.0,,10593.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Cooch Behar,,,,,,122.0,135.0,149.0,,4172.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Darjeeling,,,,,,87.0,69.0,102.0,,5901.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Hooghly,,,,,,127.0,169.0,151.0,,4205.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Howrah,,,,,,185.0,259.0,319.0,,16800.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Jalpaiguri,,,,,,8.0,39.0,110.0,,3012.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Jhargram,,,,,,40.0,56.0,48.0,,2022.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Kalimpong,,,,,,0.0,5.0,41.0,,2004.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Kolkata,,,,,,9.0,40.0,84.0,,2148.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Malda,,,,,,32.0,38.0,42.0,,4592.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Murshidabad,,,,,,18.0,62.0,85.0,,3803.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Nadia,,,,,,94.0,101.0,94.0,,8895.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,North 24 Parganas,,,,,,55.0,104.0,198.0,,9242.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Paschim Bardhaman,,,,,,27.0,41.0,133.0,,3575.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Paschim Medinipur,,,,,,18.0,50.0,40.0,,2372.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Purba Bardhaman,,,,,,29.0,43.0,116.0,,5208.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Purba Medinipur,,,,,,371.0,36.0,58.0,,2485.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Purulia,,,,,,53.0,74.0,86.0,,2969.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,South 24 Parganas,,,,,,50.0,62.0,84.0,,2455.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2024,Uttar Dinajpur,,,,,,149.0,104.0,788.0,,19252.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Alipurduar,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Bankura,,,,,,,189.0,702.0,2064.0,46055.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Birbhum,,,,,,,310.0,322.0,141.0,4546.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Cooch Behar,,,,,,,135.0,149.0,356.0,14530.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Darjeeling,,,,,,,69.0,102.0,56.0,1710.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Hooghly,,,,,,,169.0,151.0,2027.0,75686.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Howrah,,,,,,,259.0,319.0,148.0,7229.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Jalpaiguri,,,,,,,39.0,110.0,125.0,2454.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Jhargram,,,,,,,56.0,48.0,963.0,24957.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Kalimpong,,,,,,,5.0,41.0,37.0,2357.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Kolkata,,,,,,,40.0,84.0,85.0,1599.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Malda,,,,,,,38.0,42.0,1248.0,76195.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Murshidabad,,,,,,,62.0,85.0,95.0,3993.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Nadia,,,,,,,101.0,94.0,124.0,6782.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,North 24 Parganas,,,,,,,104.0,198.0,134.0,4567.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Paschim Bardhaman,,,,,,,41.0,133.0,396.0,28127.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Paschim Medinipur,,,,,,,50.0,40.0,44.0,1672.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Purba Bardhaman,,,,,,,43.0,116.0,252.0,12232.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Purba Medinipur,,,,,,,36.0,58.0,256.0,24052.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Purulia,,,,,,,74.0,86.0,1151.0,31431.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,South 24 Parganas,,,,,,,62.0,84.0,61.0,2541.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 2025,Uttar Dinajpur,,,,,,,104.0,788.0,1270.0,59130.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2016,Bankura,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,160.0,,,,,,,,16.0,,8.0,,,,,,,,
March 2016,Birbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,
March 2016,Cooch Behar,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,1144.0,,,,,,,,,,,,,,,,,1054.0,,,,,,,,47.0,,35.0,,,,,,,,
March 2016,Dakshin Dinajpur,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,32.0,,,,,,,,8.0,,6.0,,,,,,,,
March 2016,Darjeeling,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,1247.0,,,,,,,,,,,,,,,,,744.0,,,,,,,,184.0,,22.0,,,,,,,,
March 2016,Hooghly,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,214.0,,,,,,,,,,,,,,,,,84.0,,,,,,,,134.0,,12.0,,,,,,,,
March 2016,Howrah,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,464.0,,,,,,,,,,,,,,,,,264.0,,,,,,,,134.0,,10.0,,,,,,,,
March 2016,Jalpaiguri,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,2647.0,,,,,,,,,,,,,,,,,1120.0,,,,,,,,470.0,,20.0,,,,,,,,
March 2016,Malda,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,175.0,,,,,,,,,,,,,,,,,111.0,,,,,,,,40.0,,30.0,,,,,,,,
March 2016,Murshidabad,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,440.0,,,,,,,,,,,,,,,,,315.0,,,,,,,,50.0,,38.0,,,,,,,,
March 2016,Nadia,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,146.0,,,,,,,,,,,,,,,,,84.0,,,,,,,,40.0,,9.0,,,,,,,,
March 2016,Purba Bardhaman,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,754.0,,,,,,,,,,,,,,,,,914.0,,,,,,,,42.0,,13.0,,,,,,,,
March 2016,Purulia,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,184.0,,,,,,,,,,,,,,,,,113.0,,,,,,,,31.0,,23.0,,,,,,,,
March 2016,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,202.0,,,,,,,,,,,,,,,,,132.0,,,,,,,,20.0,,4.0,,,,,,,,
March 2017,Alipurduar,,,,,,,,,,,,,,,23.0,,,,,,,,1824.0,,,,,,,,,,70.0,26.0,,,,,968.0,,,,,,,,,267.0,,,,,,,,,,,,,,,,
March 2017,Bankura,,,,,,,,,,,,,,,112.0,,,,,,,,944.0,,,,,,,,,,225.0,54.0,,,,,584.0,,,,,,,,,152.0,,,,,,,,,,,,,,,,
March 2017,Birbhum,,,,,,,,,,,,,,,90.0,,,,,,,,436.0,,,,,,,,,,210.0,78.0,,,,,361.0,,,,,,,,,60.0,,,,,,,,,,,,,,,,
March 2017,Cooch Behar,,,,,,,,,,,,,,,112.0,,,,,,,,3688.0,,,,,,,,,,144.0,98.0,,,,,1894.0,,,,,,,,,724.0,,,,,,,,,,,,,,,,
March 2017,Dakshin Dinajpur,,,,,,,,,,,,,,,62.0,,,,,,,,627.0,,,,,,,,,,69.0,45.0,,,,,522.0,,,,,,,,,46.0,,,,,,,,,,,,,,,,
March 2017,Darjeeling,,,,,,,,,,,,,,,34.0,,,,,,,,1865.0,,,,,,,,,,74.0,22.0,,,,,1234.0,,,,,,,,,412.0,,,,,,,,,,,,,,,,
March 2017,Hooghly,,,,,,,,,,,,,,,142.0,,,,,,,,4124.0,,,,,,,,,,237.0,117.0,,,,,2485.0,,,,,,,,,974.0,,,,,,,,,,,,,,,,
March 2017,Howrah,,,,,,,,,,,,,,,143.0,,,,,,,,3251.0,,,,,,,,,,190.0,95.0,,,,,2768.0,,,,,,,,,422.0,,,,,,,,,,,,,,,,
March 2017,Jalpaiguri,,,,,,,,,,,,,,,22.0,,,,,,,,855.0,,,,,,,,,,77.0,30.0,,,,,526.0,,,,,,,,,196.0,,,,,,,,,,,,,,,,
March 2017,Malda,,,,,,,,,,,,,,,73.0,,,,,,,,856.0,,,,,,,,,,181.0,46.0,,,,,721.0,,,,,,,,,94.0,,,,,,,,,,,,,,,,
March 2017,Murshidabad,,,,,,,,,,,,,,,164.0,,,,,,,,4621.0,,,,,,,,,,264.0,137.0,,,,,3234.0,,,,,,,,,708.0,,,,,,,,,,,,,,,,
March 2017,Nadia,,,,,,,,,,,,,,,116.0,,,,,,,,956.0,,,,,,,,,,125.0,66.0,,,,,562.0,,,,,,,,,334.0,,,,,,,,,,,,,,,,
March 2017,Paschim Medinipur,,,,,,,,,,,,,,,225.0,,,,,,,,9856.0,,,,,,,,,,323.0,145.0,,,,,5346.0,,,,,,,,,1234.0,,,,,,,,,,,,,,,,
March 2017,Purba Bardhaman,,,,,,,,,,,,,,,154.0,,,,,,,,4157.0,,,,,,,,,,371.0,108.0,,,,,3246.0,,,,,,,,,723.0,,,,,,,,,,,,,,,,
March 2017,Purba Medinipur,,,,,,,,,,,,,,,61.0,,,,,,,,1458.0,,,,,,,,,,298.0,49.0,,,,,1174.0,,,,,,,,,224.0,,,,,,,,,,,,,,,,
March 2017,Purulia,,,,,,,,,,,,,,,66.0,,,,,,,,1042.0,,,,,,,,,,126.0,62.0,,,,,732.0,,,,,,,,,295.0,,,,,,,,,,,,,,,,
March 2017,Uttar Dinajpur,,,,,,,,,,,,,,,52.0,,,,,,,,442.0,,,,,,,,,,93.0,36.0,,,,,328.0,,,,,,,,,62.0,,,,,,,,,,,,,,,,
March 2020,Alipurduar,,,,,,,,,,,,,,,,,,,,,344.0,,,,,,,,,,,51.0,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,123456.0,,,
March 2020,Bankura,,,,,,,,,,,,,,,,,,,,,526.0,,,,,,,,,,,225.0,,,,6.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
March 2020,Birbhum,,,,,,,,,,,,,,,,,,,,,5984.0,,,,,,,,,,,212.0,,,,97.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,123456.0,,,
March 2020,Cooch Behar,,,,,,,,,,,,,,,,,,,,,705.0,,,,,,,,,,,124.0,,,,1.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,134.0,,,
March 2020,Darjeeling,,,,,,,,,,,,,,,,,,,,,521.0,,,,,,,,,,,76.0,,,,7.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,135.0,,,
March 2020,Hooghly,,,,,,,,,,,,,,,,,,,,,291.0,,,,,,,,,,,237.0,,,,33.0,,39.0,,,,,,,,,,,,,,,,,,,,,,,12456.0,,,
March 2020,Howrah,,,,,,,,,,,,,,,,,,,,,1643.0,,,,,,,,,,,181.0,,,,27.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,
March 2020,Jalpaiguri,,,,,,,,,,,,,,,,,,,,,198.0,,,,,,,,,,,77.0,,,,7.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,135.0,,,
March 2020,Jhargram,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,82.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,,
March 2020,Kalimpong,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,14.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,13.0,,,
March 2020,Kolkata,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
March 2020,Malda,,,,,,,,,,,,,,,,,,,,,513.0,,,,,,,,,,,184.0,,,,3.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,123456.0,,,
March 2020,Murshidabad,,,,,,,,,,,,,,,,,,,,,523.0,,,,,,,,,,,293.0,,,,6.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,1456.0,,,
March 2020,Nadia,,,,,,,,,,,,,,,,,,,,,2002.0,,,,,,,,,,,212.0,,,,24.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,1356.0,,,
March 2020,North 24 Parganas,,,,,,,,,,,,,,,,,,,,,898.0,,,,,,,,,,,246.0,,,,3.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,14.0,,,
March 2020,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,1400.0,,,,,,,,,,,106.0,,,,50.0,,75.0,,,,,,,,,,,,,,,,,,,,,,,1256.0,,,
March 2020,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,248.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,123456.0,,,
March 2020,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,1576.0,,,,,,,,,,,302.0,,,,35.0,,42.0,,,,,,,,,,,,,,,,,,,,,,,134.0,,,
March 2020,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,579.0,,,,,,,,,,,177.0,,,,2.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,156.0,,,
March 2020,Purulia,,,,,,,,,,,,,,,,,,,,,247.0,,,,,,,,,,,114.0,,,,27.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,126.0,,,
March 2020,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,1105.0,,,,,,,,,,,304.0,,,,2.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,123.0,,,
March 2020,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,321.0,,,,,,,,,,,92.0,,,,22.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,12456.0,,,
March 2022,Alipurduar,59.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0
March 2022,Bankura,168.0,,,,,,,,,,,,,,,,,,,,304.0,,,,,,,,,,,,,,6.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
March 2022,Birbhum,212.0,,,,,,,,,,,,,,,,,,,,2092.0,,,,,,,,,,,,,,21.0,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
March 2022,Cooch Behar,124.0,,,,,,,,,,,,,,,,,,,,737.0,,,,,,,,,,,,,,28.0,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0
March 2022,Darjeeling,76.0,,,,,,,,,,,,,,,,,,,,3803.0,,,,,,,,,,,,,,4.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0
March 2022,Hooghly,237.0,,,,,,,,,,,,,,,,,,,,740.0,,,,,,,,,,,,,,0.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
March 2022,Howrah,115.0,,,,,,,,,,,,,,,,,,,,1385.0,,,,,,,,,,,,,,0.0,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0
March 2022,Jalpaiguri,79.0,,,,,,,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
March 2022,Jhargram,82.0,,,,,,,,,,,,,,,,,,,,162.0,,,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
March 2022,Kalimpong,14.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
March 2022,Kolkata,3.0,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
March 2022,Malda,184.0,,,,,,,,,,,,,,,,,,,,577.0,,,,,,,,,,,,,,10.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0
March 2022,Murshidabad,334.0,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,396.0
March 2022,Nadia,230.0,,,,,,,,,,,,,,,,,,,,1045.0,,,,,,,,,,,,,,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0
March 2022,North 24 Parganas,255.0,,,,,,,,,,,,,,,,,,,,1016.0,,,,,,,,,,,,,,12.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0
March 2022,Paschim Bardhaman,91.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
March 2022,Paschim Medinipur,248.0,,,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0
March 2022,Purba Bardhaman,203.0,,,,,,,,,,,,,,,,,,,,484.0,,,,,,,,,,,,,,1.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0
March 2022,Purba Medinipur,177.0,,,,,,,,,,,,,,,,,,,,901.0,,,,,,,,,,,,,,35.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0
