period,district,aadhaar_seeded,apy_sourced,apy_subscribed,female_a_c,male_a_c,no_of_nominations_done_in_pmjdy_acc,no_of_nominations_done_other_than_pmjdy_acc,no_of_pmjjby_claim_disbursed,no_of_pmsby_claim_disbursed,no_of_re_kyc_done_for_other_than_pmjdy_acc,no_of_re_kyc_done_for_pmjdy_acc,of_enrolment,pmjdy_opened,pmjdy_sourced,pmjjby_enrolled,pmjjby_sourced,pmsby_enrolled,pmsby_sourced,rupaycard_issued,rural_a_c,total_a_c,total_deposit,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c,urban_a_c,zero_balance_a_c_s,zero_balance_account
June 2025,North 24 Parganas,,1026.0,1025.0,,,210.0,33.0,1.0,0.0,193.0,742.0,,2686.0,2716.0,3622.0,3678.0,5523.0,5589.0,,,,,,,,,,,,
June 2025,Paschim Bardhaman,,480.0,381.0,,,147.0,75.0,3.0,1.0,2288.0,1358.0,,1404.0,1675.0,1237.0,1372.0,2041.0,2144.0,,,,,,,,,,,,
June 2025,Paschim Medinipur,,353.0,209.0,,,103.0,88.0,2.0,0.0,548.0,603.0,,263.0,466.0,446.0,684.0,867.0,1310.0,,,,,,,,,,,,
June 2025,Purba Bardhaman,,921.0,734.0,,,309.0,236.0,5.0,3.0,2175.0,1052.0,,3355.0,4156.0,1283.0,1807.0,3191.0,3838.0,,,,,,,,,,,,
June 2025,Purba Medinipur,,949.0,838.0,,,582.0,593.0,11.0,0.0,2615.0,4888.0,,951.0,1099.0,1337.0,1506.0,3294.0,3759.0,,,,,,,,,,,,
June 2025,Purulia,,1788.0,1496.0,,,114.0,107.0,0.0,0.0,4278.0,1035.0,,5507.0,6104.0,3336.0,3997.0,10130.0,11482.0,,,,,,,,,,,,
June 2025,South 24 Parganas,,3774.0,2740.0,,,3012.0,1239.0,3.0,3.0,2290.0,7917.0,,10321.0,14152.0,7450.0,10155.0,12319.0,20042.0,,,,,,,,,,,,
June 2025,Uttar Dinajpur,,148.0,148.0,,,15.0,39.0,0.0,0.0,79.0,74.0,,376.0,376.0,174.0,176.0,452.0,452.0,,,,,,,,,,,,
March 2022,Alipurduar,,,,,,,,,,,,165.15,,,,,,,,,,,386952.0,40149.0,92335.0,254468.0,234299.0,,,
March 2022,Bankura,,,,,,,,,,,,49.14,,,,,,,,,,,999445.0,90775.0,184092.0,724578.0,2034021.0,,,
March 2022,Birbhum,,,,,,,,,,,,59.63,,,,,,,,,,,1255841.0,144188.0,324888.0,786765.0,2106178.0,,,
March 2022,Cooch Behar,,,,,,,,,,,,60.03,,,,,,,,,,,864962.0,119415.0,192156.0,553391.0,1440913.0,,,
March 2022,Dakshin Dinajpur,,,,,,,,,,,,49.94,,,,,,,,,,,534068.0,56908.0,109714.0,367446.0,1069498.0,,,
March 2022,Hooghly,,,,,,,,,,,,68.26,,,,,,,,,,,1465227.0,176041.0,318809.0,970377.0,2146605.0,,,
March 2022,Howrah,,,,,,,,,,,,63.25,,,,,,,,,,,1162329.0,143667.0,266654.0,752008.0,1837804.0,,,
March 2022,Jalpaiguri,,,,,,,,,,,,52.58,,,,,,,,,,,868309.0,113528.0,215252.0,539529.0,1651436.0,,,
