district,period,acp_accounts__acp_agri_ac,acp_accounts__acp_agri_amt,acp_accounts__acp_me_ac,acp_accounts__acp_me_amt,acp_accounts__acp_mse_ac,acp_accounts__acp_mse_amt,acp_accounts__acp_msme_ac,acp_accounts__acp_msme_amt,acp_accounts__acp_ops_ac,acp_accounts__acp_ops_amt,acp_accounts__acp_total_ps_ac,acp_accounts__acp_total_ps_amt,acp_accounts__acp_weaker_section_ac,acp_accounts__acp_weaker_section_amt,acp_agriculture__acp_agri_infra_ac,acp_agriculture__acp_agri_infra_amt,acp_agriculture__acp_ancillary_ac,acp_agriculture__acp_ancillary_amt,acp_agriculture__acp_crop_ac,acp_agriculture__acp_crop_amt,acp_agriculture__acp_farm_credit_ac,acp_agriculture__acp_farm_credit_amt,acp_agriculture__acp_kcc_wc_ac,acp_agriculture__acp_kcc_wc_amt,acp_agriculture__acp_tl_ac,acp_agriculture__acp_tl_amt,acp_agriculture__acp_total_agri_ac,acp_msme__acp_medium_ac,acp_msme__acp_medium_amt,acp_msme__acp_micro_ac,acp_msme__acp_micro_amt,acp_msme__acp_msme_others_ac,acp_msme__acp_msme_others_amt,acp_msme__acp_small_ac,acp_msme__acp_small_amt,acp_msme__acp_total_msme_ac,acp_msme__acp_total_msme_amt,acp_other_priority__acp_education_ac,acp_other_priority__acp_education_amt,acp_other_priority__acp_export_ac,acp_other_priority__acp_export_amt,acp_other_priority__acp_housing_ac,acp_other_priority__acp_housing_amt,acp_other_priority__acp_others_ac,acp_other_priority__acp_others_amt,acp_other_priority__acp_renewable_ac,acp_other_priority__acp_renewable_amt,acp_other_priority__acp_social_infra_ac,acp_other_priority__acp_social_infra_amt,acp_other_priority__acp_total_ops_ac,acp_summary__acp_agri_achievement,acp_summary__acp_agri_pct,acp_summary__acp_agri_target,acp_summary__acp_me_achievement,acp_summary__acp_me_pct,acp_summary__acp_me_target,acp_summary__acp_mse_achievement,acp_summary__acp_mse_pct,acp_summary__acp_mse_target,acp_summary__acp_msme_achievement,acp_summary__acp_msme_pct,acp_summary__acp_msme_target,acp_summary__acp_ops_achievement,acp_summary__acp_ops_pct,acp_summary__acp_ops_target,acp_summary__acp_total_ps_achievement,acp_summary__acp_total_ps_pct,acp_summary__acp_total_ps_target,ambedkar_scheme__ambedkar_ach_pct,ambedkar_scheme__ambedkar_app_forwarded,ambedkar_scheme__ambedkar_disbursed,ambedkar_scheme__ambedkar_pending_gt14d,ambedkar_scheme__ambedkar_pending_gt30d,ambedkar_scheme__ambedkar_pending_gt90d,ambedkar_scheme__ambedkar_sanctioned,ambedkar_scheme__ambedkar_targets,ambedkar_scheme__ambedkar_total_pending,apy__apy_annual_target,apy__apy_branches,apy__apy_cumulative,apy__apy_current_fy_achievement,apy__apy_target_pct,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,jan_suraksha__jan_suraksha_pmjjby,jan_suraksha__jan_suraksha_pmsby,jan_suraksha__jan_suraksha_total,mnsupy__mnsupy_ach_pct,mnsupy__mnsupy_approved,mnsupy__mnsupy_disbursed,mnsupy__mnsupy_forwarded,mnsupy__mnsupy_pending,mnsupy__mnsupy_pending_gt14d,mnsupy__mnsupy_pending_gt30d,mnsupy__mnsupy_pending_gt90d,mnsupy__mnsupy_rejected,mnsupy__mnsupy_sanctioned,mnsupy__mnsupy_subsidy,mnsupy__mnsupy_targets,mnsupy__mnsupy_total_pending,non_priority_sector__nps_agri_ac,non_priority_sector__nps_agri_amt,non_priority_sector__nps_education_ac,non_priority_sector__nps_education_amt,non_priority_sector__nps_housing_ac,non_priority_sector__nps_housing_amt,non_priority_sector__nps_others_ac,non_priority_sector__nps_others_amt,non_priority_sector__nps_personal_ac,non_priority_sector__nps_personal_amt,non_priority_sector__nps_total_ac,non_priority_sector__nps_total_amt,nrlm__nrlm_app_forwarded,nrlm__nrlm_disbursed,nrlm__nrlm_pending_gt14d,nrlm__nrlm_pending_gt30d,nrlm__nrlm_pending_gt90d,nrlm__nrlm_sanctioned,nrlm__nrlm_targets,nrlm__nrlm_total_pending,nwr_pledge__nwr_disbursement_amt,nwr_pledge__nwr_disbursement_no,nwr_pledge__nwr_outstanding_amt,nwr_pledge__nwr_outstanding_no,pmajay__pmajay_app_forwarded,pmajay__pmajay_disbursed,pmajay__pmajay_pending_gt14d,pmajay__pmajay_pending_gt30d,pmajay__pmajay_pending_gt90d,pmajay__pmajay_sanctioned,pmajay__pmajay_targets,pmajay__pmajay_total_pending,pmegp__pmegp_forwarded_amt,pmegp__pmegp_forwarded_no,pmegp__pmegp_forwarded_to_bank,pmegp__pmegp_mm_claimed_amt,pmegp__pmegp_mm_claimed_no,pmegp__pmegp_mm_disbursed_amt,pmegp__pmegp_mm_disbursed_no,pmegp__pmegp_pending_amt,pmegp__pmegp_pending_no,pmegp__pmegp_returned,pmegp__pmegp_returned_amt,pmegp__pmegp_returned_no,pmegp__pmegp_sanctioned_amt,pmegp__pmegp_sanctioned_mm,pmegp__pmegp_sanctioned_no,pmjdy__pmjdy_aadhaar_pct,pmjdy__pmjdy_aadhaar_seeded,pmjdy__pmjdy_female_ac,pmjdy__pmjdy_male_ac,pmjdy__pmjdy_rupay_issued,pmjdy__pmjdy_rupay_pct,pmjdy__pmjdy_rural_ac,pmjdy__pmjdy_total_ac,pmjdy__pmjdy_total_deposit,pmjdy__pmjdy_urban_ac,pmjdy__pmjdy_zero_balance,pmjdy__pmjdy_zero_balance_pct,rseti__rseti_bank_finance,rseti__rseti_candidates_trained,rseti__rseti_credit_linkage_pct,rseti__rseti_progs_conducted,rseti__rseti_self_employment,rseti__rseti_self_finance,rseti__rseti_settled,rseti__rseti_settled_pct,rseti__rseti_target_candidates,rseti__rseti_target_progs,rseti__rseti_wage_employment,vishwakarma__vishwakarma_avg_forward_pct,vishwakarma__vishwakarma_disbursed,vishwakarma__vishwakarma_forwarded_fi,vishwakarma__vishwakarma_pending_fi,vishwakarma__vishwakarma_recd_dic,vishwakarma__vishwakarma_sanctioned,vishwakarma__vishwakarma_target_amt
Dausa,September 2022,105973,77096,8,170,3798,27628,3806,27798,3710,5404,113489,110298,101132,67862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dholpur,September 2022,23868,26037,7,259,1846,14526,1853,14785,733,1742,26454,42564,22027,20003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungarpur,September 2022,70265,45862,5,228,3206,18455,3211,18683,2692,5056,76168,69601,89244,54195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganganagar,September 2022,216889,438472,137,18788,9431,154496,9568,173284,4626,8989,231083,620745,167982,275833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanumangarh,September 2022,243441,393990,52,6073,5261,75081,5313,81154,5995,8747,254749,483891,178591,246942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaipur,September 2022,435040,624075,2677,486669,41689,1487514,44366,1974183,31694,136835,511100,2735093,439813,403784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisalmer,September 2022,61533,73693,4,171,1092,10575,1096,10746,163,698,62792,85137,23432,36827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalore,September 2022,181584,113392,19,1085,3314,29645,3333,30730,2040,3162,186957,147284,157184,70438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhalawar,September 2022,195552,168918,7,1163,3293,26720,3300,27883,4688,5629,203540,202430,133083,96589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhunjhunu,September 2022,211616,289595,76,1522,9464,53205,9540,54727,6475,10296,227631,354618,173544,224043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodhpur,September 2022,173010,267214,491,92777,16007,472637,16498,565414,13535,33792,203043,866420,135063,149836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karauli,September 2022,58328,50538,4,263,2477,14376,2481,14639,1445,2690,62254,67867,55516,46414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kota,September 2022,161119,244516,326,30990,10550,218477,10876,249467,15503,26118,187498,520101,156162,143725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaur,September 2022,211972,200100,66,6036,7565,72702,7631,78738,11881,14005,231484,292843,128478,97808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pali,September 2022,117126,103900,81,16138,8055,108591,8136,124729,11201,11964,136463,240593,93606,59134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pratapgarh,September 2022,63505,66571,2,25,1888,11517,1890,11542,1358,2183,66753,80296,55632,50763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajsamand,September 2022,53228,36738,3,80,2873,39079,2876,39159,2467,4783,58571,80680,47614,26374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sawai Madhopur,September 2022,114043,105642,9,59,3468,27605,3477,27664,3544,4446,121064,137752,105271,93998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sikar,September 2022,243161,350065,40,11120,10561,84198,10601,95318,6612,10665,260374,456048,193602,259512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirohi,September 2022,34672,35979,13,1447,3192,33761,3205,35208,2726,3868,40603,75055,31725,22758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonk,September 2022,160880,215281,21,1868,4613,35721,4634,37589,3861,5781,169375,258651,133091,158582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Udaipur,September 2022,120174,83575,389,68901,9466,238094,9855,306995,7761,14133,137790,404703,150056,85583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajmer,December 2022,234284,414264,162,35779,18469,360249,18631,396028,25800,39515,278715,849807,207855,299284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alwar,December 2022,336713,514413,368,71188,16141,368887,16509,440075,23891,34253,377113,988741,309707,399308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banswara,December 2022,110605,112506,28,2948,4899,38937,4927,41885,5527,9252,121059,163643,105453,95121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baran,December 2022,124093,225069,28,5171,4033,40427,4061,45598,6526,10724,134680,281391,97053,142241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barmer,December 2022,293015,241958,127,19378,5677,163792,5804,183170,6437,9211,305256,434339,115856,91785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharatpur,December 2022,137557,241813,57,17588,5832,81485,5889,99073,5865,9175,149311,350061,117272,173716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhilwara,December 2022,285613,354860,299,125559,13774,364686,14073,490245,18760,39157,318446,884262,250738,257555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bikaner,December 2022,239382,564225,267,40473,15307,305527,15574,346000,11509,17758,266465,927983,119984,204582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundi,December 2022,174316,274283,16,10436,4609,40044,4625,50480,11739,10469,190680,335232,152157,201429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chittorgarh,December 2022,204401,270926,115,13706,7879,100528,7994,114234,11585,15694,223980,400854,172542,188528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Churu,December 2022,251494,471906,7,264,10763,63202,10770,63466,11532,11207,273796,546579,166494,298951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dausa,December 2022,127172,129943,11,394,5787,45401,5798,45795,6535,8844,139505,184582,115391,102866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dholpur,December 2022,30999,39704,16,583,2497,22202,2513,22785,1234,3536,34746,66025,28406,30468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dungarpur,December 2022,82499,72197,14,1516,4106,27354,4120,28870,4052,8725,90671,109792,87267,69045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganganagar,December 2022,278087,797805,163,26681,14086,260396,14249,287077,7536,15751,299872,1100633,205936,495862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanumangarh,December 2022,307997,753569,54,9758,8157,132638,8211,142396,9695,13956,325903,909921,212984,446075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaipur,December 2022,529126,1037246,4104,836110,61419,2277164,65523,3113274,51319,1202765,645968,5353285,490925,620104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisalmer,December 2022,87105,153073,12,600,1778,19421,1790,20021,264,1609,89159,174703,33992,64179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalore,December 2022,191610,205684,20,2925,4502,48887,4522,51812,3439,6006,199571,263502,139865,91214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhalawar,December 2022,229571,267978,13,1821,4521,46357,4534,48178,7557,9595,241662,325751,176258,159873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhunjhunu,December 2022,258141,420927,83,2486,11956,82925,12039,85411,10946,16498,281126,522836,206874,304429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jodhpur,December 2022,202231,409534,677,163204,23661,725096,24338,888300,23667,62360,250236,1360194,146201,221229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karauli,December 2022,71073,79741,4,318,3299,21353,3303,21671,2607,4618,76983,106030,64041,65779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kota,December 2022,175806,385057,520,55035,15352,333305,15872,388340,24739,46568,216417,819965,167319,207808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagaur,December 2022,256423,321231,107,11393,10589,120842,10696,132235,19373,22928,286492,476394,163447,159852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pali,December 2022,140178,189894,101,21319,11731,170769,11832,192088,18169,19248,170179,401230,113086,92231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pratapgarh,December 2022,83847,111331,3,34,2548,18239,2551,18273,2128,4077,88526,133681,71244,79577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajsamand,December 2022,68085,63212,12,1121,4621,68164,4633,69285,4320,8449,77038,140946,59976,41240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
