district,period,acp_achievement__col_1,acp_achievement__col_10,acp_achievement__col_11,acp_achievement__col_12,acp_achievement__col_2,acp_achievement__col_3,acp_achievement__col_4,acp_achievement__col_5,acp_achievement__col_6,acp_achievement__col_7,acp_achievement__col_8,acp_achievement__col_9,animal_husbandry__achievement_no,animal_husbandry__amount_crore,animal_husbandry__target_no,atm_network__no_of_atm,bank_mitra__no_of_bank_mitra,cgtmse__amount_crore,cgtmse__no_of_accounts,credit_deposit_ratio__cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,fisheries__achievement_no,fisheries__amount_crore,fisheries__target_no,jansuraksha__col_1,jansuraksha__col_2,jansuraksha__col_3,jansuraksha__col_4,jansuraksha__col_5,jansuraksha__col_6,jansuraksha__col_7,jansuraksha__col_8,jansuraksha__col_9,kcc__achievement_amt,kcc__achievement_no,kcc__achievement_pct_amt,kcc__achievement_pct_no,kcc__target_amt,kcc__target_no,mudra__kishore_amt,mudra__kishore_no,mudra__shishu_amt,mudra__shishu_no,mudra__tarun_amt,mudra__tarun_no,mudra__total_amt,mudra__total_no,pmegp__disbursed_projects,pmegp__sanctioned_amt,pmegp__sanctioned_projects,pmegp__sponsored_projects,pmegp__target_employment,pmegp__target_margin_money,pmegp__target_projects,pmjdy__active_no,pmjdy__active_pct,pmjdy__balance_amt_crore,pmjdy__female_no,pmjdy__male_no,pmjdy__rupay_active_no,pmjdy__rupay_active_pct,pmjdy__rupay_issued_no,pmjdy__rural_no,pmjdy__total_pmjdy_no,pmjdy__urban_no,pmjdy__zero_balance_no,priority_sector__col_1,priority_sector__col_2,priority_sector__col_3,priority_sector__col_4,priority_sector__col_5,priority_sector__col_6,shg__achievement_amt,shg__achievement_no,shg__achievement_pct_amt,shg__achievement_pct_no,shg__target_amt,shg__target_no,social_security_apy__subscribers_fy15,social_security_apy__subscribers_fy16,social_security_apy__subscribers_fy17,social_security_apy__subscribers_fy18,social_security_apy__subscribers_fy19,social_security_apy__subscribers_fy20,social_security_pmjjby__claims_amount_crore,social_security_pmjjby__claims_paid_no,social_security_pmjjby__claims_pending_no,social_security_pmjjby__claims_rejected_no,social_security_pmjjby__claims_total_no,social_security_pmjjby__claims_under_process_no,social_security_pmsby__claims_amount_crore,social_security_pmsby__claims_paid_no,social_security_pmsby__claims_pending_no,social_security_pmsby__claims_rejected_no,social_security_pmsby__claims_total_no,social_security_pmsby__claims_under_process_no,stand_up_india__sc_st_amount,stand_up_india__sc_st_loans,stand_up_india__total_amount,stand_up_india__total_loans,stand_up_india__women_amount,stand_up_india__women_loans
Maharajganj,June 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,1.0,11760.0,7673.0,65.25,76148.0,,,,,,,,,,,,,,,,,,,,
Saharanpur,June 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,3.0,3.0,21550.0,10975.0,50.93,104410.0,,,,,,,,,,,,,,,,,,,,
Shahjahanpur,June 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,2.0,2.0,17320.0,9307.0,53.74,107541.0,,,,,,,,,,,,,,,,,,,,
Amroha,June 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Gorakhpur,June 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,0.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Hardoi,June 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,12.99,89.0,,,,
Sultanpur,June 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Etah,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900.79,911.34,23.36,,,,,,,,1.0,1.0,,,,,,,,,,,,,,95.0,,19.0,,,,,,,,
Gautam Buddha Nagar,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573.0,38.38,38.98,14547.0,,,,,,,,,,,,,,,,,,,,,,,,16017.49,13241.43,82.67,,,,0.0,19.0,,0.0,1.0,0.0,,,,,,,,,,,,,,104.0,,1.32,,,,,,,,
Hapur,September 2022,,,,,,,,,,,,,,,,,,,,62.82,4473.99,7122.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520.75,1144.87,32.52,,,,,40.0,,,1.0,2.0,,,,,,,,,,,,,,46.0,,5.0,,,,,,,,
Kushi Nagar,September 2022,,,,,,,,,,,,,,,,,,,,,4425.68,9036.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4492.46,1016.55,22.63,,,,,,,,140.0,1600.0,18697.0,125.15,80156.0,,,,,,,,,,,14.0,,2.19,,,,,,,,
Mainpuri,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.0,4.22,4.57,3337.0,50.97,54.24,54.35,669.0,,,,,,,,,,,,,,,,,,,,692.77,23.9,,,,,0.0,0.0,,,1.0,1.0,,,,,,,,,,,,,,105.0,2.2,9.0,,192.0,,,,,,
Mathura,September 2022,,,,,,,,,,,,,,,,,,,,59.89,11448.63,19117.57,,,,,,,,,,,,,,,,,,,6233.0,164.15,166.08,47861.0,73.35,75.37,63.39,794.0,,,,,,,,,,,,,,,,,,,,5699.92,2103.71,36.91,,,,3.0,3.0,,0.0,4.0,3.0,,,,,,,,,,,,,,143.0,,18.0,,,,,,,,
Mau,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.0,64.58,65.12,21379.0,,37.75,,,,,,,,,,,,,,,,,,,,,,2586.84,630.8,24.38,,,,,,,,,,9534.0,78.21,56583.0,,,,,,,,,,,25.0,289.0,3.0,3.14,54.0,,,,,,
Meerut,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1617.0,164.06,166.04,50505.0,,,,,,,,,,,,,,,,,,,,,,,,13971.21,3975.3,28.45,,,,4.0,4.0,0.0,0.0,1402.88,71332.0,,,,,,,,,,,,,,222.0,,12.0,,,,,,,,
Mirzapur,September 2022,,,,,,,,,,,,,,,,,,,,40.57,4053.84,9992.68,,,,,,,,,,,,,,,,,,,111.16,119.87,133.66,40893.0,654.0,109.64,52.79,54.18,,,,,,,,,,,,,,,,,,,,2524.7,1363.84,,,,,1.0,1.0,0.0,0.0,1.0,2.0,16925.0,117.94,82141.0,,,,,,,,,,,94.0,1.41,28.0,,211.0,,,,,,
Moradabad,September 2022,,,,,,,,,,,,,,,,,,,,,71.88,39529.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,5103.09,314970.0,12761.0,49.65,,,,,,,,,,,,165.0,2.1,17.0,,213.0,,,,,,
Muzaffarnagar,September 2022,,,,,,,,,,,,,,,,,,,,,10337.68,14712.66,,,,,,,,,,,,,,,,,,,89.06,7882.0,221.94,225.82,958.0,85.1,75.69,79.66,,,,,,,,,,,,,,,,,,,,7839.95,2595.22,33.1,,,,3.0,3.0,0.0,0.0,1025.08,86510.0,15385.0,72.43,90039.0,,,,,,,,,,,166.0,,105.0,,1.38,,,,,,
Pilibhit,September 2022,,,,,,,,,,,,,,,,,,,,4603.22,50.0,3213.0,,,,,,,,,,,,,,,,,,,39.53,10.45,11.19,3754.0,,5960.0,,,,,,,,,,,,,,,,,,,,,,4158.17,1273.86,30.64,,,,2.0,2.0,0.0,0.0,779.95,28330.0,10249.0,88.74,,,,,,,,,,,,86.0,,64.0,,0.79,,,,,,
Pratapgarh,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.72,40.51,12868.0,,,,,,,,,,,,,,,,,,,,,,,,1807.82,906.49,50.14,,,,1.0,1.0,,0.0,1.0,1.0,25315.0,137.51,142550.0,,,,,,,,,,,51.0,1.78,29.0,,128.0,,,,,,
Rampur,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5860.77,806.73,13.76,,,,0.0,2.0,,0.0,2.0,2.0,,,,,,,,,,,,,,136.0,,1.04,,,,,,,,
Sant Kabeer Nagar,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10862.0,112.21,,,,,,,,,,,,3.0,,15.0,,0.12,,,,,,
Shravasti,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.0,3.66,3.69,1270.0,17.29,17.52,12.46,155.0,,,,,,,,,,,,,,,,,,,,672.35,551.66,82.05,,,,,,,,,,5440.0,4453.0,81.86,23459.0,,,,,,,,,,22.0,,0.28,,,,,,,,
Sitapur,September 2022,,,,,,,,,,,,,,,,,,,,,5701.96,10280.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330.66,1653.8,70.96,,,,,0.0,,,4.0,3.0,26471.0,117.86,123983.0,,,,,,,,,,,68.0,,1.99,,,,,,,,
Sultanpur,September 2022,,,,,,,,,,,,,,,,,,,,36.91,3673.85,9954.6,,,,,,,,,,,,,,,,,,,7836.0,68.24,68.81,21000.0,99.72,101.72,68.53,826.0,,,,,,,,,,,,,,,,,,,,1419.46,849.17,59.82,,,,,,,,,,16400.0,29608.0,180.54,,,,,,,,,,,52.0,,0.46,,,,,,,,
Bahraich,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,1.0,2.0,15310.0,21788.0,95223.0,,,,,,,,,,,,,,,,,,,,,
Ballia,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13954.0,179.27,180.63,61136.0,139.45,146.0,67.28,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,14139.0,82.68,,,,,,,,,,,,,,,,,,,,,,
Balrampur,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.14,14.49,,,,,0.0,1.0,,,1.0,1.0,11040.0,9010.0,81.61,61834.0,,,,,,,,,,,,,,,,,,,,
Banda,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841.75,36.39,,,,,7.0,20.0,,,1.0,2.0,17832.0,162.7,85777.0,,,,,,,,,,,,,,,,,,,,,
Bareilly,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7949.0,139.14,140.92,44938.0,126.24,130.08,108.2,1406.0,,,,,,,,,,,,,,,,,,,,7787.79,723.17,25.71,,,,,,,,1291.97,63724.0,28780.0,27083.0,94.1,161114.0,,,,,,,,,,,,,,,,,,,,
Lalitpur,September 2022,,,,,,,,,,,,,,,,,,,,66.6,2345.7,3522.33,,,,,,,,,,,,,,,,,,,,,1027.0,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,43.0,,,3.0,2.0,6634.0,94.23,44641.0,,,,,,,,,,,,,,,,,,,,,
Prayagraj,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,702.27,51821.0,38144.0,98.72,226942.0,,,,,,,,,,,,,,,,,,,,,
Rae Bareli,September 2022,,,,,,,,,,,,,,,,,,,,42.88,6047.22,14102.59,,,,,,,,,,,,,,,,,,,,,57.05,18913.0,,,,,,,,,,,,,,,,,,,,,,,,2856.73,1707.94,59.79,,,,1.0,1.0,0.0,0.0,1.0,1.0,25030.0,107.01,,,,,,,,,,,,,,,,,,,,,,
Saharanpur,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7450.22,2426.04,,,,,12.0,2.0,,,1368.32,91528.0,17829.0,82.73,111264.0,,,,,,,,,,,,,,,,,,,,,
Sambhal,September 2022,,,,,,,,,,,,,,,,,,,,74.26,2493.61,3357.92,,,,,,,,,,,,,,,,,,,,55.05,55.96,16067.0,,,,,,,,,,,,,,,,,,,,,,,,2812.51,14.34,,,,,0.0,2.0,,,4.0,2.0,5687.0,53984.0,,,,,,,,,,,,,,,,,,,,,,
Shahjahanpur,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550.0,49.63,50.27,16602.0,49.48,50.88,57.53,697.0,,,,,,,,,,,,,,,,,,,,3146.58,2136.18,67.89,,,,,,,,2.0,2.0,17634.0,101.81,,,,,,,,,,,,,,,,,,,,,,
Shamli,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.73,31239.0,,,,,,,,,,,,,,,,,,,,,,,,2848.79,754.55,26.49,,,,,7.0,,,389.68,22629.0,6190.0,4511.0,72.88,31107.0,,,,,,,,,,,,,,,,,,,,
Siddharth Nagar,September 2022,,,,,,,,,,,,,,,,,,,,37.42,2297.39,6139.21,,,,,,,,,,,,,,,,,,,,29.35,30.76,15291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,11.0,11.0,13167.0,115.1,70464.0,,,,,,,,,,,,,,,,,,,,,
Sonbhadra,September 2022,,,,,,,,,,,,,,,,,,,,44.01,4359.65,9906.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292.61,1034.28,80.01,,,,,,,,128.19,11660.0,10645.0,94.29,,,,,,,,,,,,,,,,,,,,,,
Unnao,September 2022,,,,,,,,,,,,,,,,,,,,28.65,3693.25,12890.33,,,,,,,,,,,,,,,,,,,4394.0,24.73,25.35,8358.0,,74.45,,,,,,,,,,,,,,,,,,,,,,2389.83,833.9,34.89,,,,,,,,3.0,2.0,15870.0,23753.0,,,,,,,,,,,,,,,,,,,,,,
Varanasi,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4741.41,5448.26,114.91,,,,,,,,,,35520.0,21620.0,60.87,146342.0,,,,,,,,,,,,,,,,,,,,
Aligarh,September 2022,,,,,,,,,,,,,,,,,,,,50.73,12931.23,25491.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9209.89,2829.2,,,,,3.0,3.0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Auraiya,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.9,359.42,43.68,,,,1.0,1.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Barabanki,September 2022,,,,,,,,,,,,,,,,,,,,,7109.01,9717.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4190.07,2488.65,59.39,,,,,,,,341.05,21153.0,,,,,,,,,,,,,,,,,,,,,,,,
Bijnor,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8043.27,22.71,,,,,,0.0,,,976.93,74130.0,,,,,,,,,,,,,,,,,,,,,,,,
Bulandshahr,September 2022,,,,,,,,,,,,,,,,,,,,,8122.1,15949.39,,,,,,,,,,,,,,,,,,,125.31,191.98,194.1,51879.0,,,,,,,,,,,,,,,,,,,,,,,,6520.16,1658.0,,,,,,0.0,,,419.19,37085.0,,,,,,,,,,,,,,,,,,,,,,,,
Deoria,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3522.21,989.39,,,,,0.0,19.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Etawah,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368.4,705.02,51.52,,,,,45.0,,,55.36,2940.0,,,,,,,,,,,,,,,,,,,,,,,,
Ayodhya,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.52,72.07,72.59,23022.0,81.32,958.0,30061.0,77.64,,,,,,,,,,,,,,,,,,,,1285.48,47.64,,,,,2.0,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Firozabad,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4731.28,1502.3,31.75,,,,,10.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Ghaziabad,September 2022,,,,,,,,,,,,,,,,,,,,42.11,32352.17,76833.8,,,,,,,,,,,,,,,,,,,137.5,108.49,109.83,36464.0,1947.0,134.01,155.09,161.02,,,,,,,,,,,,,,,,,,,,13348.33,5555.46,,,,,,0.0,,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,
Gorakhpur,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38267.0,471.21,473.34,147368.0,2381.0,351.34,192.41,200.48,,,,,,,,,,,,,,,,,,,,6563.76,3192.64,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Hardoi,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1562.32,,,,,,29.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Jalaun,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1114.0,15.25,15.57,5581.0,22.7,24.18,25.95,325.0,,,,,,,,,,,,,,,,,,,,3250.54,27.29,,,,,,0.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Jaunpur,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15977.0,158.16,173.02,50568.0,416.7,180.1,,,,,,,,,,,,,,,,,,,,,,2588.88,1439.63,55.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amroha,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4300.04,8.65,,,,,3.0,3.0,0.0,0.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Kannauj,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.64,34.26,,,,,0.0,26.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Kanpur Dehat,September 2022,,,,,,,,,,,,,,,,,,,,44.89,2580.92,5749.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837.26,718.55,39.11,,,,,0.0,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Kanpur Nagar,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2943.23,7902.67,268.5,,,,4.0,155.0,,,159.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,
Kaushambi,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.06,35.78,10351.0,,,,,,,,,,,,,,,,,,,,,,,,788.91,506.66,64.22,,,,,12.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Kheri,September 2022,,,,,,,,,,,,,,,,,,,,,80.15,7610.25,,,,,,,,,,,,,,,,,,,3778.0,63.38,64.8,22589.0,62.51,65.8,41.27,503.0,,,,,,,,,,,,,,,,,,,,3998.37,2267.95,56.72,,,,0.0,33.0,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Lucknow,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.37,155.92,49982.0,,,,,,,,,,,,,,,,,,,,,,,,12.32,8984.51,72926.22,,,,,,,,10.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
Maharajganj,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2438.56,813.81,,,,,28.0,11.0,,,12.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,
Bhadohi,September 2022,,,,,,,,,,,,,,,,,,,,43.5,2890.42,6644.26,,,,,,,,,,,,,,,,,,,7480.0,77.88,78.5,24690.0,74.52,77.07,38.82,480.0,,,,,,,,,,,,,,,,,,,,2211.38,921.5,41.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasganj,September 2022,,,,,,,,,,,,,,,,,,,,71.35,2392.92,3353.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137.13,554.89,25.96,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Amethi,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532.34,963.58,,,,,0.0,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Agra,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,0.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
Ambedkar Nagar,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Azamgarh,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Baghpat,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Budaun,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,236.14,17904.0,,,,,,,,,,,,,,,,,,,,,,,,
Chitrakoot,September 2022,,,,,,,,,,,,,,,,,,,,,1690.89,3087.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.0,,,7.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
Farrukhabad,September 2022,,,,,,,,,,,,,,,,,,,,47.28,3340.39,7065.41,,,,,,,,,,,,,,,,,,,,4258.0,2198.0,1633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,28.0,,,134.93,8781.0,,,,,,,,,,,,,,,,,,,,,,,,
Ghazipur,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.91,123.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.0,,0.0,238.98,17794.0,,,,,,,,,,,,,,,,,,,,,,,,
Gonda,September 2022,,,,,,,,,,,,,,,,,,,,,3243.4,8076.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Hamirpur,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,24.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Jhansi,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3592.0,71.34,72.18,25019.0,50.41,55.12,56.74,717.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,67.0,,0.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Mahoba,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.0,11.98,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Basti,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.15,85.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Chandauli,September 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.62,108.51,33329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Fatehpur,September 2022,,,,,,,,,,,,,,,,,,,,42.41,3678.61,8673.07,,,,,,,,,,,,,,,,,,,,,25.56,26.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Hathras,September 2022,,,,,,,,,,,,,,,,,,,,63.86,4018.99,6293.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Aligarh,December 2022,,,,,,,,,,,,,,,,,3564.0,,,49.67,13059.3,26292.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,294.0,,,294.0,299.0,,,,,,,,,,,,,,,,,,,64678.04,10476.0,,,,
Ambedkar Nagar,December 2022,,,,,,,,,,,,,,,,,1089505.0,,,601.0,47.13,3711.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30235.31,8309.0,,,,
Amethi,December 2022,,,,,,,,,,,,,,,,,291.0,,,,42.71,3477.24,,,,,,,,,,,,,,,,,,,,25.62,26.51,8225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.36,47.0,,,,,,,,,,,,,,,,,,,16210.55,3755.0,,,,
