district,period,agriculture_npa__agri_npa_accounts,agriculture_npa__agri_npa_amt,agriculture_npa__agri_npa_pct_accounts,agriculture_npa__agri_npa_pct_amt,agriculture_npa__agri_os_accounts,agriculture_npa__agri_os_amt,aif__aif_achievement_pct,aif__aif_cumulative_disbursed_amt,aif__aif_cumulative_disbursed_no,aif__aif_cumulative_sanctions_amt,aif__aif_cumulative_sanctions_no,aif__aif_target_amt,aif__aif_target_no,apamvm__apamvm_pending,apamvm__apamvm_rejected,apamvm__apamvm_sanctioned,apamvm__apamvm_targets,apy__apy_annual_target,apy__apy_branches,apy__apy_cumulative,apy__apy_opened_fy,bca__bca_active,bca__bca_female,bca__bca_inactive,bca__bca_male,bca__bca_total,branch_network__total_branch,cd_ratio_detailed__advances_rural,cd_ratio_detailed__advances_semi_urban,cd_ratio_detailed__advances_urban,cd_ratio_detailed__deposit_rural,cd_ratio_detailed__deposit_semi_urban,cd_ratio_detailed__deposit_urban,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_deposit,education_loan__eduloan_achievement_pct,education_loan__eduloan_priority_ach_accounts,education_loan__eduloan_priority_ach_amt,education_loan__eduloan_priority_target_accounts,education_loan__eduloan_priority_target_amt,education_loan__eduloan_total_ach_accounts,education_loan__eduloan_total_ach_amt,education_loan__eduloan_total_target_accounts,education_loan__eduloan_total_target_amt,kcc__kcc_npa_amt,kcc__kcc_npa_no,kcc__kcc_npa_pct_no,kcc__kcc_os_amt,kcc__kcc_os_no,kcc__kcc_overdue_amt,kcc__kcc_overdue_no,kcc__kcc_overdue_pct_no,msme_npa__msme_npa_accounts,msme_npa__msme_npa_amt,msme_npa__msme_npa_pct,msme_npa__msme_os_accounts,msme_npa__msme_os_amt,mudra__mudra_kishore_accounts,mudra__mudra_kishore_amt,mudra__mudra_shishu_accounts,mudra__mudra_shishu_amt,mudra__mudra_tarun_accounts,mudra__mudra_tarun_amt,mudra__mudra_total_accounts,mudra__mudra_total_disbursed,mudra__mudra_total_sanctioned,nwr__nwr_disb_accounts,nwr__nwr_disb_amt,nwr__nwr_os_accounts,nwr__nwr_os_amt,pm_kisan_kcc__kcc_accounts,pm_kisan_kcc__kcc_amt,pm_kisan_kcc__pm_kisan_beneficiaries,pmjdy__pmjdy_aadhaar_seeded,pmjdy__pmjdy_aadhaar_seeding_pct,pmjdy__pmjdy_rupay_card_issued,pmjdy__pmjdy_total_accounts,pmjdy__pmjdy_total_deposit,pmjjby__pmjjby_enrolment_current,pmjjby__pmjjby_enrolment_prev,pmjjby__pmjjby_qoq_increase,pmsby__pmsby_enrolment_current,pmsby__pmsby_enrolment_prev,pmsby__pmsby_qoq_increase,pmsvanidhi__pmsvanidhi_applications,pmsvanidhi__pmsvanidhi_disbursed,pmsvanidhi__pmsvanidhi_sanctioned,sc_st_loans__sc_disb_accounts,sc_st_loans__sc_disb_amt,sc_st_loans__sc_os_accounts,sc_st_loans__sc_os_amt,sc_st_loans__st_disb_accounts,sc_st_loans__st_disb_amt,sc_st_loans__st_os_accounts,sc_st_loans__st_os_amt,shg__shg_credit_linked_amt_fy,shg__shg_credit_linked_amt_quarter,shg__shg_credit_linked_no_fy,shg__shg_credit_linked_no_quarter,shg__shg_savings_linked_amt_fy,shg__shg_savings_linked_amt_quarter,shg__shg_savings_linked_no_fy,shg__shg_savings_linked_no_quarter
Washim,September 2025,43332,31200.0,17.86,10.5,242681,297000.0,,,,,,,,300,29,,,8795,128,65042,3578,2356,261,996,3091,3352,148,134500.0,500600.0,26100.0,139300.0,457900.0,37900.0,104.1,661200.0,635200.0,62.0,252,400.0,1003,1000.0,277,600.0,1003,1000.0,12982.0,17109,11.0,161584.0,155026,78530.0,85038,55.0,5676,3100.0,3.0,19085,99900.0,,,,,,,,,,,300.0,0,200.0,177215,177530.0,165311,400000,90.7,320000,441000,13000.0,132000,122000,11000,370000,354000,16000,8191,6562,,2607,4300.0,12447,19500.0,593,1000.0,2970,4100.0,7230.0,4306.0,2016,1255,168.0,143.0,1115,868
Yavatmal,September 2025,167636,245300.0,46.18,32.67,363020,751000.0,,,,,,,,200,34,,,20145,288,142215,9661,6268,1197,3071,8142,9339,321,437500.0,726100.0,436300.0,396900.0,898300.0,764700.0,77.67,1599800.0,2059900.0,14.0,668,1000.0,860,2000.0,751,2000.0,1446,14200.0,163472.0,100460,29.0,477749.0,345153,327887.0,211164,61.0,14038,7900.0,4.0,48351,205300.0,,,,,,,,,,,100.0,0,500.0,199225,476830.0,286879,1112000,89.89,869000,1237000,35400.0,411000,384000,26000,901000,855000,46000,20227,14327,,4531,9300.0,23479,39500.0,2742,4900.0,21493,28500.0,20164.0,12952.0,5823,3924,336.0,284.0,1898,1231
Ahmednagar,December 2025,58376,140500.0,6.61,8.64,883427,1627000.0,85.34,38717.0,1152,51684.0,1382,18000.0,350,171,32,445,3000,42740,689,14161,28579,6039,1404,2862,7497,8902,771,1109800.0,1959700.0,1400800.0,1423200.0,2106100.0,1571300.0,87.64,4470200.0,5100600.0,44.0,5148,4300.0,5243,9000.0,5385,6900.0,12426,15800.0,,,,,,,,,12452,25700.0,3.0,81622,750000.0,56272,76200.0,30599,12000.0,8348,67000.0,95441,157000.0,158600.0,,,,,563654,479104.0,546132,1620997,93.04,1303826,1742174,99352.0,671000,624000,47000,1643000,1557000,86000,32129,26243,27296,7872,15200.0,25353,47600.0,2748,5100.0,18932,30500.0,31397.0,10971.0,7145,2290,4347.0,699.0,3599,1400
Akola,December 2025,102319,49400.0,39.86,11.52,256667,428600.0,59.44,21233.0,237,31678.0,280,9000.0,70,62,,26,500,16940,249,107910,9524,3432,660,1205,3976,4637,247,168300.0,337500.0,824400.0,197200.0,369900.0,1199700.0,75.29,1330200.0,1766800.0,63.0,1559,1900.0,1070,3000.0,1682,3200.0,1181,5200.0,,,,,,,,,8711,9900.0,3.0,37066,300900.0,15750,21800.0,19711,7600.0,1580,12100.0,37130,41300.0,42800.0,,,,,250947,249948.0,187035,556850,84.15,438504,661744,23792.0,287000,271000,16000,742000,711000,31000,26142,20460,21103,5797,14800.0,22585,49200.0,1058,2500.0,3893,9000.0,15500.0,6058.0,4115,1474,255.0,121.0,1306,444
Amravati,December 2025,148663,141800.0,43.88,21.66,338787,654500.0,38.41,12576.0,144,20606.0,167,8000.0,55,13,,14,300,24855,269,157061,20219,5097,1331,2989,6754,8086,398,318200.0,531200.0,1425000.0,410700.0,636400.0,1746300.0,81.42,2274400.0,2793400.0,57.0,2403,2600.0,1565,5000.0,2668,5700.0,1903,10100.0,,,,,,,,,11531,19000.0,4.0,53085,478700.0,29787,36800.0,47480,18400.0,2836,22000.0,80269,78200.0,79700.0,,,,,319144,365893.0,270693,879240,91.56,678723,960271,40924.0,416000,377000,39000,1027000,976000,51000,40708,34734,35802,6561,20000.0,41073,72200.0,3112,7000.0,25123,27300.0,24764.0,7815.0,6630,2038,424.0,198.0,2262,877
Aurangabad,December 2025,201364,150600.0,36.7,24.03,548652,626700.0,25.08,35337.0,2013,43529.0,2129,18000.0,330,9,17,375,5000,,,,,,,,,,521,507300.0,785200.0,4033500.0,619900.0,696800.0,4584500.0,90.25,5326100.0,5901200.0,78.0,3386,3800.0,5849,5800.0,3710,8800.0,6253,11300.0,,,,,,,,,23621,51600.0,4.0,101845,1320300.0,62128,72700.0,36977,14100.0,5200,40000.0,104659,131600.0,132200.0,,,,,417130,422218.0,341054,,,,,,725000,685000,40000,1476000,1403000,73000,82831,59315,62538,,,,,,,,,25846.0,8512.0,5947,1789,1124.0,586.0,11199,
Beed,December 2025,21294,10200.0,14.19,5.61,150046,181000.0,82.33,26651.0,232,30851.0,252,10000.0,75,1100,,448,4000,,,,,4786,609,3063,7240,7849,231,328200.0,559100.0,579300.0,410900.0,726200.0,541300.0,87.38,1466700.0,1678400.0,90.0,916,1300.0,8372,2500.0,996,2200.0,8372,2500.0,,,,,,,,,5343,8200.0,4.0,29885,208400.0,,,,,,,,,,,,,,387544,387433.0,370323,1163384,90.32,841086,1287999,81724.0,538000,510000,28000,1130000,1095000,35000,14918,10700,11315,9064,15500.0,39097,52800.0,2100,4400.0,9927,12400.0,,,,,,,,
Bhandara,December 2025,171991,150400.0,34.87,22.84,493239,658600.0,82.68,14226.0,404,17604.0,444,7000.0,140,17,6,6,300,12125,163,96939,7469,2091,832,869,2129,2961,178,171700.0,334100.0,14800.0,365300.0,735600.0,1100.0,47.24,520600.0,1102000.0,103.0,523,700.0,1170,1100.0,567,1100.0,1170,1100.0,,,,,,,,,4731,7600.0,7.0,24164,102900.0,13073,17200.0,11645,4500.0,1596,12700.0,26362,33400.0,35100.0,,,,,121024,68774.0,209113,495587,93.88,398328,527884,35370.0,289000,277000,11000,612000,595000,18000,8495,6863,6980,3483,8800.0,36547,31200.0,872,2200.0,10100,7300.0,14438.0,4351.0,3831,1021,338.0,207.0,907,313
Buldhana,December 2025,52678,45300.0,21.51,12.13,244925,372900.0,39.84,11078.0,168,16142.0,210,7000.0,90,29,3,48,1500,18805,242,151942,14283,4899,825,2751,6825,7650,277,333800.0,1176200.0,94100.0,260300.0,1445700.0,70200.0,90.31,1604100.0,1776200.0,55.0,1737,1900.0,1950,3000.0,1843,3400.0,2158,6200.0,,,,,,,,,6714,11500.0,5.0,34870,229900.0,33188,41700.0,31488,13000.0,2565,18900.0,67365,74100.0,75500.0,,,,,334914,327618.0,337592,845376,88.39,717751,956425,32053.0,404000,378000,26000,970000,928000,42000,19093,14104,14565,8654,13000.0,52448,68600.0,1676,2900.0,10850,14800.0,19825.0,7038.0,5039,1662,371.0,255.0,1705,718
Chandrapur,December 2025,168512,161800.0,24.08,15.59,699720,1038100.0,61.81,12058.0,254,15720.0,267,9000.0,80,20,14,4,300,20220,217,143199,15521,3952,1166,1315,4101,5267,314,293300.0,458000.0,558600.0,558500.0,940800.0,1211900.0,48.32,1310000.0,2711200.0,61.0,1049,1500.0,880,1500.0,1156,2600.0,1063,4300.0,,,,,,,,,10237,12300.0,4.0,44579,286900.0,21324,28000.0,21550,8300.0,2557,19600.0,45489,52800.0,56700.0,,,,,155442,176782.0,243668,645688,91.05,506336,709194,42797.0,480000,439000,41000,937000,904000,33000,24610,19995,20401,4966,14600.0,18676,50700.0,1955,5000.0,9853,21600.0,34005.0,7444.0,11147,2299,16600.0,3082.0,7597,1594
Dhule,December 2025,57203,120300.0,23.91,25.01,239281,481100.0,66.62,10859.0,388,15388.0,429,6000.0,70,4,1,35,500,12815,143,86994,10960,2505,467,1200,3239,3706,205,187400.0,366100.0,698300.0,221900.0,410100.0,830700.0,85.59,1251800.0,1462600.0,68.0,1229,1500.0,1815,1800.0,1331,2600.0,2242,3800.0,,,,,,,,,7604,6700.0,3.0,31943,266000.0,26989,29000.0,18393,7200.0,1533,11700.0,47006,48600.0,49100.0,,,,,138692,190704.0,150953,818910,91.9,622136,891045,30956.0,317000,292000,25000,612000,590000,22000,20857,17753,18433,2065,5800.0,8338,21300.0,2828,6800.0,18107,35300.0,10008.0,3180.0,2651,821,183.0,109.0,1418,615
Gadchiroli,December 2025,54551,84500.0,27.95,22.88,195195,369400.0,47.71,2942.0,58,4630.0,72,2000.0,15,,,,300,42175,527,22241,19934,1648,374,565,1839,2213,141,122600.0,187300.0,28200.0,314600.0,511300.0,83900.0,37.17,338100.0,909800.0,14.0,259,300.0,650,1500.0,279,500.0,865,3600.0,,,,,,,,,2161,3300.0,7.0,14000,50100.0,7041,7800.0,6737,2600.0,554,4600.0,14361,14100.0,15400.0,,,,,54471,30066.0,146114,312748,89.92,252031,347788,23246.0,168000,155000,13000,330000,319000,11000,3454,2771,2828,3012,8400.0,9855,21500.0,2950,6800.0,13145,24900.0,6873.0,2747.0,4587,2189,366.0,313.0,949,737
Gondia,December 2025,8773,4900.0,13.53,7.07,64831,69800.0,59.62,11022.0,239,15020.0,268,6000.0,60,,,,300,10360,113,110975,10848,3438,1075,1236,3600,4675,161,164100.0,86600.0,379100.0,269700.0,166500.0,512000.0,66.42,629800.0,948200.0,58.0,529,700.0,2864,2000.0,570,1200.0,2864,2000.0,,,,,,,,,4545,6200.0,4.0,24325,173600.0,18891,25300.0,19082,7300.0,1746,14000.0,39794,45200.0,47700.0,,,,,128074,81701.0,217171,616645,89.5,467357,688977,40049.0,403000,372000,31000,672000,645000,27000,8415,6283,6401,2991,8100.0,16681,28300.0,1255,2500.0,10890,11500.0,25101.0,9941.0,6376,2366,325.0,205.0,1691,638
Hingoli,December 2025,40361,16900.0,22.95,8.56,175876,197700.0,29.7,9027.0,79,11442.0,87,5000.0,35,266,55,229,500,6595,69,63775,6768,3655,360,1402,4697,5057,125,131000.0,396100.0,5800.0,170400.0,386600.0,600.0,95.57,532900.0,557600.0,34.0,323,500.0,6000,2400.0,348,800.0,6000,2400.0,,,,,,,,,2669,5300.0,8.0,14059,63000.0,16250,18300.0,13758,5600.0,1010,7800.0,31086,32600.0,32700.0,,,,,198187,167381.0,175175,606714,91.18,416971,665383,24620.0,231000,220000,11000,496000,478000,18000,5401,4162,4303,5661,6900.0,15350,19700.0,1937,2100.0,5563,6000.0,198000.0,62700.0,2,1,102000.0,45200.0,25,
Jalgaon,December 2025,75998,69800.0,32.13,27.53,236531,253600.0,41.38,19933.0,356,31170.0,410,12000.0,130,7,1,78,500,30595,358,10064,20531,5913,1194,2808,7527,8721,646,429400.0,1163200.0,1207200.0,659700.0,1272200.0,1640600.0,78.37,2799800.0,3572600.0,130.0,2551,2900.0,10607,4500.0,2897,5900.0,10607,4500.0,,,,,,,,,13636,18100.0,3.0,69424,524100.0,66292,72200.0,50782,19600.0,3811,29200.0,121035,122400.0,123200.0,,,,,390258,448258.0,399382,1515698,92.9,1163465,1631517,66385.0,643000,605000,37000,1367000,1317000,49000,48209,39018,40723,6001,15400.0,21665,48300.0,2652,6100.0,10959,21100.0,356500.0,103600.0,3,2,138700.0,46500.0,51,
Jalna,December 2025,47530,86300.0,13.43,9.27,353795,930900.0,53.96,9734.0,544,14778.0,593,8000.0,100,18,,465,2500,,,,,4125,552,2527,6100,6652,204,244500.0,304600.0,735700.0,172900.0,261100.0,578000.0,126.96,1284800.0,1012000.0,142.0,1016,900.0,682,1000.0,1057,1400.0,682,1000.0,,,,,,,,,7864,8200.0,3.0,32522,239300.0,22868,28900.0,20910,8200.0,2409,18400.0,46295,56900.0,57100.0,,,,,349316,337166.0,290114,799285,92.5,512065,864097,34070.0,285000,256000,29000,619000,585000,34000,23225,17431,18992,4338,6900.0,21523,27500.0,960,1600.0,9043,9300.0,,,,,,,,
Kolhapur,December 2025,186740,193200.0,44.3,34.97,421531,552500.0,61.22,41215.0,1366,48936.0,1463,25000.0,490,244,13,247,4000,39500,644,18074,21426,3441,1075,2664,5029,6105,665,977100.0,1067500.0,2898200.0,1058000.0,1136900.0,3224800.0,91.2,4942700.0,5419600.0,71.0,6041,4800.0,2347,6500.0,6438,9300.0,3226,13100.0,,,,,,,,,17965,58800.0,4.0,110102,1393900.0,51778,64500.0,30266,11200.0,6438,52600.0,88582,127500.0,129600.0,,,,,375185,388839.0,471690,1304594,87.8,1086411,1485820,68472.0,661000,599000,62000,1440000,1369000,71000,49430,43202,44090,11766,19400.0,56949,65400.0,1396,2000.0,8251,8700.0,29520.0,9618.0,6509,2041,1004.0,403.0,3225,1328
Latur,December 2025,35229,61200.0,11.43,6.75,308194,905700.0,80.94,36291.0,349,51162.0,384,16000.0,80,40,1,388,1000,,,,,3436,732,1665,4368,5101,332,328500.0,287200.0,1587500.0,402500.0,376200.0,1290200.0,106.49,2203200.0,2068900.0,76.0,1515,1800.0,2437,4700.0,1671,3600.0,2437,4700.0,,,,,,,,,6955,8300.0,2.0,49251,408600.0,39363,46600.0,23334,9200.0,3444,27400.0,66391,86700.0,87000.0,,,,,355225,314981.0,269446,881651,91.47,684433,963893,45270.0,459000,427000,32000,857000,820000,37000,19643,16053,16439,10115,16200.0,33569,42900.0,2505,3900.0,11802,11700.0,413300.0,136200.0,3,2,153600.0,58600.0,60,
Mumbai,December 2025,51873,40500.0,11.86,5.89,437444,688000.0,35.28,997.0,9,1255.0,11,1000.0,5,8,,21,300,62685,788,43558,19127,3932,795,5445,8577,9377,991,24100.0,35700.0,256788600.0,200.0,,179101100.0,143.41,256848500.0,179101300.0,49.0,3451,20500.0,4645,40300.0,6892,108100.0,12409,218800.0,,,,,,,,,74356,1458700.0,8.0,330443,17167200.0,28487,57300.0,,3900.0,9680,77900.0,49526,138800.0,140500.0,,,,,,,,947558,90.09,865336,1051837,62545.0,653000,620000,34000,1569000,1502000,67000,251664,158750,168458,3161,17300.0,17114,92400.0,1144,4800.0,5693,52200.0,252.0,51.0,36,11,240.0,11.0,219,77
Mumbai Suburban,December 2025,34628,130000.0,12.97,2.07,266906,6265300.0,20.0,3325.0,1,10150.0,3,1000.0,10,12,,27,300,117290,1485,74453,42837,9110,169,463,9404,9573,1450,2300.0,29900.0,65451400.0,9000.0,,104237600.0,62.82,65483600.0,104246600.0,,,,,,,,,,,,,,,,,,31221,270300.0,3.0,283814,10243400.0,,,,,,,,,,,,,,,,,,,,,,883000,848000,36000,2186000,2094000,92000,,,,5034,27400.0,22317,127300.0,1152,6100.0,6121,29800.0,2014.0,803.0,362,128,181.0,92.0,883,266
Nagpur,December 2025,9300,15800.0,1.32,1.94,705944,815700.0,50.21,38096.0,283,56300.0,332,17000.0,110,13,3,9,300,60750,699,30796,29954,4528,1533,1990,4984,6517,899,619900.0,889600.0,8182900.0,1055900.0,1214800.0,12501300.0,65.61,9692400.0,14772000.0,59.0,6272,13300.0,6295,15000.0,7398,27500.0,9407,46300.0,,,,,,,,,52904,120100.0,4.0,253292,2718800.0,90483,92200.0,70725,25900.0,8296,66700.0,169826,184000.0,189500.0,,,,,156650,218177.0,174457,1361096,93.12,1158478,1461683,92197.0,899000,845000,55000,1979000,1896000,83000,118536,105007,106482,16715,56600.0,107877,286800.0,6302,16000.0,63458,82800.0,24560.0,7237.0,5261,1462,467.0,239.0,2084,698
Nanded,December 2025,88303,131800.0,20.23,14.03,436528,940000.0,35.4,13045.0,150,16194.0,167,8000.0,50,35,,291,500,19925,211,163586,16184,10414,1331,4611,13694,15025,308,339400.0,477800.0,1204600.0,329700.0,505000.0,1175600.0,100.57,2021800.0,2010400.0,59.0,999,1500.0,11003,5200.0,1129,3100.0,11003,5200.0,,,,,,,,,8375,9600.0,3.0,47918,333400.0,61570,62700.0,53258,20800.0,4082,31900.0,119118,117800.0,118400.0,,,,,406916,386862.0,380490,1382685,90.06,1042342,1535271,58952.0,635000,605000,31000,1419000,1374000,46000,41527,30883,32232,9874,20900.0,40632,69500.0,2891,7700.0,12995,23600.0,22656.0,7405.0,5553,1659,525.0,361.0,2065,993
Nandurbar,December 2025,183732,134500.0,36.62,19.92,501676,675100.0,15.14,6150.0,73,8005.0,82,5000.0,40,1,2,2,300,8485,90,68224,10609,2892,471,1038,3459,3930,115,109200.0,213300.0,247600.0,128400.0,267600.0,317200.0,79.93,570100.0,713200.0,126.0,345,400.0,2807,700.0,389,900.0,2807,700.0,,,,,,,,,3253,3300.0,5.0,10826,67300.0,7298,11600.0,7487,2800.0,942,6900.0,15748,21300.0,21600.0,,,,,73022,113442.0,102854,762381,94.21,600028,809203,25929.0,276000,258000,18000,544000,520000,25000,7443,6147,6420,1320,4200.0,5421,16600.0,5973,14200.0,39794,77400.0,6919.0,2299.0,1872,587,216.0,131.0,1172,520
Nashik,December 2025,28613,41300.0,29.2,20.0,97974,206600.0,61.72,61722.0,815,94399.0,961,34000.0,350,207,52,693,3000,52725,622,17352,35373,6692,1583,3261,8845,10428,844,760100.0,1583900.0,6268500.0,1017000.0,1929800.0,6889900.0,87.55,8612400.0,9836700.0,198.0,5290,6200.0,15879,8600.0,6144,17100.0,15879,8600.0,,,,,,,,,18418,68800.0,3.0,122234,1971200.0,57509,68500.0,35821,13200.0,6116,47400.0,99732,131700.0,133300.0,,,,,425522,815092.0,427272,2291235,94.04,1620556,2436540,138084.0,962000,895000,67000,1952000,1847000,105000,96256,81820,84024,11705,26000.0,90538,111100.0,8693,20700.0,61117,93300.0,25097.0,9404.0,6330,2298,1221.0,665.0,4718,2326
Osmanabad,December 2025,86175,292300.0,11.29,19.46,763532,1501600.0,95.69,14874.0,241,23586.0,324,13000.0,100,3,3,612,1000,11130,123,81089,10398,3605,689,2978,5470,6160,205,242200.0,369400.0,382000.0,290300.0,515600.0,380700.0,83.73,993600.0,1186600.0,33.0,843,800.0,1219,1500.0,898,1400.0,1428,4300.0,,,,,,,,,3096,4900.0,3.0,19874,143300.0,18452,24500.0,14327,5100.0,2115,16500.0,35030,47900.0,48100.0,,,,,226007,272397.0,233466,,,,,,340000,314000,26000,699000,666000,33000,8821,6192,6524,6567,11600.0,16329,26700.0,1525,3000.0,4299,6500.0,16059.0,5216.0,3819,1150,345.0,203.0,1421,546
Palghar,December 2025,4617,11800.0,14.3,10.88,32277,108300.0,41.51,867.0,55,2634.0,69,4000.0,30,11,,17,300,16810,235,110674,12323,2817,589,2561,3535,4125,392,205000.0,615800.0,2654200.0,536900.0,1314200.0,3124400.0,69.84,3475100.0,4975500.0,34.0,1246,2200.0,9316,8200.0,1505,4900.0,10113,14100.0,,,,,,,,,9226,18100.0,3.0,49649,601500.0,24780,28200.0,7843,2900.0,2398,18400.0,35072,49200.0,50200.0,,,,,9468,43593.0,95204,924626,91.75,692000,1007760,54881.0,359000,336000,23000,728000,687000,41000,42632,33380,35862,1356,5100.0,6139,28000.0,1970,6400.0,10208,29700.0,312400.0,113100.0,3,2,249000.0,146900.0,50,
Parbhani,December 2025,156670,161000.0,38.0,31.57,412241,510100.0,89.56,11454.0,221,13734.0,237,7000.0,90,68,13,112,1500,10175,108,91141,9972,3319,1351,1487,8637,9989,187,180000.0,472400.0,466500.0,155600.0,311400.0,512800.0,114.21,1119000.0,979700.0,43.0,520,600.0,22147,3300.0,588,1400.0,22147,3300.0,,,,,,,,,6385,7600.0,5.0,23725,144600.0,15607,21700.0,20769,7700.0,2248,16900.0,38779,48400.0,48600.0,,,,,314791,346228.0,249584,806968,87.71,561411,920028,34460.0,318000,300000,17000,693000,667000,26000,30732,22677,23517,9841,12600.0,30447,35400.0,3032,3400.0,9817,9300.0,11647.0,3736.0,2823,843,346.0,192.0,1619,660
Pune,December 2025,107575,273900.0,11.31,8.49,950767,3225700.0,68.73,69198.0,907,90455.0,1022,31000.0,330,44,,218,2500,134425,1813,70816,63609,7956,2064,6153,7905,9969,469,2252700.0,5163200.0,46533300.0,2730000.0,5256500.0,53890300.0,87.19,53949200.0,61876800.0,66.0,13069,23100.0,17720,26300.0,16215,68500.0,25620,103600.0,,,,,,,,,39829,345200.0,4.0,337751,9399200.0,105524,169700.0,30748,12200.0,21317,322800.0,157976,505800.0,510400.0,,,,,531471,890996.0,432972,1885757,88.79,1511534,2123896,157961.0,2377000,2254000,123000,4768000,4547000,221000,134881,106560,109838,18808,67500.0,102137,304200.0,4358,15400.0,22899,77300.0,38632.0,13757.0,6780,2308,1561.0,910.0,4826,1783
Raigad,December 2025,7698,6400.0,6.57,2.84,117156,225000.0,60.51,5598.0,57,10044.0,69,6000.0,35,40,,71,300,,,,,2137,681,2355,2377,3058,597,810100.0,1452100.0,4659300.0,1872900.0,2251100.0,3769200.0,87.69,6921500.0,7893200.0,51.0,2774,4300.0,5472,5500.0,3281,11000.0,6425,21500.0,,,,,,,,,7966,25100.0,3.0,70861,878700.0,20505,30100.0,10243,3700.0,3446,27100.0,34249,60700.0,61700.0,,,,,61148,51363.0,111131,557096,81.47,467804,683764,45994.0,431000,401000,30000,1014000,957000,57000,27237,21448,22882,3089,13900.0,10894,66000.0,1682,5300.0,4855,17400.0,381800.0,130100.0,8,3,194500.0,77100.0,60,
Ratnagiri,December 2025,5707,17000.0,6.25,6.77,91328,251200.0,24.7,2727.0,156,4151.0,165,4000.0,55,34,2,9,300,23715,312,11582,12133,1387,661,1078,2408,3069,340,384000.0,880400.0,9200.0,709600.0,1428300.0,,59.57,1273600.0,2138000.0,42.0,1777,1600.0,4823,5900.0,1859,2500.0,4823,5900.0,,,,,,,,,6461,17000.0,5.0,38395,352600.0,8867,16600.0,5103,1900.0,2228,17900.0,16262,35900.0,37600.0,,,,,168147,81480.0,153344,368356,90.92,256879,405126,28046.0,274000,249000,25000,781000,745000,36000,8604,7487,7773,2135,5200.0,6756,21900.0,421,1200.0,1180,6600.0,21308.0,7449.0,3107,1019,514.0,368.0,1282,571
Sangli,December 2025,43431,95900.0,11.79,10.77,368329,890000.0,41.76,33696.0,827,44612.0,887,16000.0,240,200,8,135,2500,28450,515,16156,12294,2895,926,1681,4484,5411,548,899500.0,832200.0,1371900.0,944800.0,972500.0,1664200.0,86.66,3103600.0,3581500.0,115.0,3016,2500.0,2038,3800.0,3171,4400.0,2038,3800.0,,,,,,,,,13209,33200.0,5.0,62376,610900.0,36448,45000.0,23642,8900.0,6570,55300.0,66721,108200.0,110100.0,,,,,363431,388268.0,397001,847621,86.59,698513,978901,40480.0,331000,295000,35000,745000,707000,38000,31311,26794,27372,4870,11200.0,28483,142300.0,818,1700.0,5532,6800.0,26204.0,8578.0,5815,1890,1001.0,343.0,4587,1266
Satara,December 2025,45205,54700.0,7.97,6.86,567421,797800.0,88.65,24832.0,587,31485.0,622,16000.0,170,85,,144,3500,33385,629,15540,17845,3068,1067,3046,2851,3918,665,946200.0,1365200.0,607000.0,1301900.0,1646600.0,1028800.0,73.38,2918400.0,3977400.0,15.0,5176,3800.0,45967,40100.0,5378,5800.0,45967,40100.0,,,,,,,,,8962,14500.0,3.0,52151,458100.0,24302,34600.0,14568,5500.0,5899,45900.0,44822,85700.0,86800.0,,,,,493477,461509.0,446221,818631,90.51,627112,904484,44563.0,432000,384000,47000,836000,794000,42000,20709,16268,16585,22735,21500.0,42719,46400.0,7702,5800.0,11485,13000.0,24506.0,8674.0,5563,1906,409.0,238.0,2587,1060
Sindhudurg,December 2025,3487,9600.0,4.29,6.11,81277,156700.0,30.6,4100.0,163,5065.0,170,3000.0,50,9,,61,300,16515,253,10456,6059,644,634,427,3370,4004,261,456200.0,331300.0,4600.0,719500.0,652300.0,,57.75,792100.0,1371700.0,87.0,2239,1900.0,2362,3000.0,2292,2600.0,2362,3000.0,,,,,,,,,3887,7200.0,5.0,31500,135300.0,6619,12200.0,3322,1300.0,1563,12600.0,11563,25700.0,27000.0,,,,,50132,51275.0,120241,186079,92.08,141387,202075,15460.0,142000,130000,12000,436000,416000,20000,4520,4173,4298,2215,3400.0,5136,10100.0,544,900.0,1254,2000.0,230900.0,82000.0,3,1,89400.0,34100.0,44,
Solapur,December 2025,148700,241800.0,18.01,16.47,825720,1468400.0,97.27,37804.0,651,51713.0,760,19000.0,240,177,1,171,2500,33130,381,250161,24775,5521,1720,3478,10289,12010,652,602700.0,1641800.0,1757900.0,636400.0,1498000.0,2121600.0,94.04,4002400.0,4256000.0,119.0,3644,3200.0,18233,4100.0,3823,4900.0,18233,4100.0,,,,,,,,,24842,39400.0,5.0,128405,719800.0,72178,81800.0,39541,13900.0,7224,56300.0,119043,151200.0,153500.0,,,,,356141,642239.0,490290,1605579,90.56,1370196,1772959,95622.0,760000,704000,56000,1715000,1630000,84000,65135,49545,51991,13451,20900.0,106861,82500.0,3180,4400.0,28416,20900.0,33647.0,11120.0,6584,2078,703.0,406.0,2442,954
