district,period,aadhaar_authentication__aadhaar_seeded_casa,aadhaar_authentication__authenticated_casa,aadhaar_authentication__mobile_seeded_sb,aadhaar_authentication__operative_casa,aadhaar_authentication__operative_sb,aadhaar_authentication__pct_aadhaar_seeding,aadhaar_authentication__pct_authentication,aadhaar_authentication__pct_mobile_seeding,atm__atm_new_fy,atm__atm_rural,atm__atm_semi_urban,atm__atm_total,atm__atm_urban,banking_parameter__agri_adv_ac,banking_parameter__agri_adv_amt,banking_parameter__dri_ac,banking_parameter__dri_amt,banking_parameter__minority_ac,banking_parameter__minority_amt,banking_parameter__msme_ac,banking_parameter__msme_amt,banking_parameter__nri_deposit,banking_parameter__other_ps_ac,banking_parameter__other_ps_amt,banking_parameter__pct_agri_adv,banking_parameter__pct_psa,banking_parameter__sc_ac,banking_parameter__sc_amt,banking_parameter__shg_ac,banking_parameter__shg_amt,banking_parameter__small_marginal_farmers_ac,banking_parameter__small_marginal_farmers_amt,banking_parameter__st_ac,banking_parameter__st_amt,banking_parameter__total_advances,banking_parameter__total_priority_ac,banking_parameter__total_priority_amt,banking_parameter__women_ac,banking_parameter__women_amt,branch_network__branch_new_fy,branch_network__branch_rural,branch_network__branch_semi_urban,branch_network__branch_urban,branch_network__total_branch,credit_deposit_ratio__overall_cd_ratio,credit_deposit_ratio__total_advances,credit_deposit_ratio__total_branch,credit_deposit_ratio__total_deposit,kcc__kcc_activated,kcc__kcc_ah_os_ac,kcc__kcc_ah_os_amt,kcc__kcc_fish_os_ac,kcc__kcc_fish_os_amt,kcc__kcc_issued_qtr_ac,kcc__kcc_issued_qtr_amt,kcc__kcc_os_amt,kcc__kcc_rupay,kcc__total_kcc_ac,kcc__total_kcc_amt,pmegp__pmegp_forwarded_mm,pmegp__pmegp_forwarded_no,pmegp__pmegp_pending_mm,pmegp__pmegp_pending_no,pmegp__pmegp_rejected_mm,pmegp__pmegp_rejected_no,pmegp__pmegp_sanctioned_mm,pmegp__pmegp_sanctioned_no,pmegp__pmegp_target_mm,pmegp__pmegp_target_no,pmjdy__pmjdy_aadhaar_seeded,pmjdy__pmjdy_amount,pmjdy__pmjdy_pct_aadhaar,pmjdy__pmjdy_pct_rupay,pmjdy__pmjdy_pct_zero_balance,pmjdy__pmjdy_rupay_issued,pmjdy__pmjdy_rural,pmjdy__pmjdy_urban,pmjdy__pmjdy_zero_balance,pmjdy__total_pmjdy_ac,pmmy__pmmy_kishore_ac,pmmy__pmmy_kishore_amt,pmmy__pmmy_shishu_ac,pmmy__pmmy_shishu_amt,pmmy__pmmy_target,pmmy__pmmy_tarun_ac,pmmy__pmmy_tarun_amt,pmmy__pmmy_tarun_plus_ac,pmmy__pmmy_tarun_plus_amt,pmmy__pmmy_total_ac,pmmy__pmmy_total_amt,rseti__rseti_beneficiaries_qtr,rseti__rseti_cumulative_beneficiaries,rseti__rseti_cumulative_programs,rseti__rseti_programs_qtr,rseti__rseti_settled_bank,rseti__rseti_settled_own,rseti__rseti_settled_total,rseti__rseti_settled_wage,rseti__rseti_settlement_pct,rseti__rseti_target_candidates,rseti__rseti_target_programs,sacp__sacp_agri_infra_disb_ac,sacp__sacp_agri_infra_disb_amt,sacp__sacp_agri_infra_os_ac,sacp__sacp_agri_infra_os_amt,sacp__sacp_agri_infra_pct_ach_ac,sacp__sacp_agri_infra_pct_ach_amt,sacp__sacp_agri_infra_target_ac,sacp__sacp_agri_infra_target_amt,sacp__sacp_crop_loan_disb_ac,sacp__sacp_crop_loan_disb_amt,sacp__sacp_crop_loan_os_ac,sacp__sacp_crop_loan_os_amt,sacp__sacp_crop_loan_pct_ach_ac,sacp__sacp_crop_loan_pct_ach_amt,sacp__sacp_crop_loan_target_ac,sacp__sacp_crop_loan_target_amt,sacp__sacp_education_disb_ac,sacp__sacp_education_disb_amt,sacp__sacp_education_os_ac,sacp__sacp_education_os_amt,sacp__sacp_education_pct_ach_ac,sacp__sacp_education_pct_ach_amt,sacp__sacp_education_target_ac,sacp__sacp_education_target_amt,sacp__sacp_housing_disb_ac,sacp__sacp_housing_disb_amt,sacp__sacp_housing_os_ac,sacp__sacp_housing_os_amt,sacp__sacp_housing_pct_ach_ac,sacp__sacp_housing_pct_ach_amt,sacp__sacp_housing_target_ac,sacp__sacp_housing_target_amt,sacp__sacp_other_ps_disb_ac,sacp__sacp_other_ps_disb_amt,sacp__sacp_other_ps_os_ac,sacp__sacp_other_ps_os_amt,sacp__sacp_other_ps_pct_ach_ac,sacp__sacp_other_ps_pct_ach_amt,sacp__sacp_other_ps_target_ac,sacp__sacp_other_ps_target_amt,sacp__sacp_term_loan_disb_ac,sacp__sacp_term_loan_disb_amt,sacp__sacp_term_loan_os_ac,sacp__sacp_term_loan_os_amt,sacp__sacp_term_loan_pct_ach_ac,sacp__sacp_term_loan_pct_ach_amt,sacp__sacp_term_loan_target_ac,sacp__sacp_term_loan_target_amt,sacp__sacp_total_agri_disb_ac,sacp__sacp_total_agri_disb_amt,sacp__sacp_total_agri_os_ac,sacp__sacp_total_agri_os_amt,sacp__sacp_total_agri_pct_ach_ac,sacp__sacp_total_agri_pct_ach_amt,sacp__sacp_total_agri_target_ac,sacp__sacp_total_agri_target_amt,sacp__sacp_total_msme_disb_ac,sacp__sacp_total_msme_disb_amt,sacp__sacp_total_msme_os_ac,sacp__sacp_total_msme_os_amt,sacp__sacp_total_msme_pct_ach_ac,sacp__sacp_total_msme_pct_ach_amt,sacp__sacp_total_msme_target_ac,sacp__sacp_total_msme_target_amt,sacp__sacp_total_ps_disb_ac,sacp__sacp_total_ps_disb_amt,sacp__sacp_total_ps_os_ac,sacp__sacp_total_ps_os_amt,sacp__sacp_total_ps_pct_ach_ac,sacp__sacp_total_ps_pct_ach_amt,sacp__sacp_total_ps_target_ac,sacp__sacp_total_ps_target_amt,sarfaesi__sarfaesi_col2,sarfaesi__sarfaesi_col3,sarfaesi__sarfaesi_col4,sarfaesi__sarfaesi_col5,sarfaesi__sarfaesi_col6,sarfaesi__sarfaesi_col7,social_security_schemes__pmjjby_achievement,social_security_schemes__pmjjby_enrolment,social_security_schemes__pmjjby_pct,social_security_schemes__pmjjby_target,social_security_schemes__pmsby_achievement,social_security_schemes__pmsby_enrolment,social_security_schemes__pmsby_pct,social_security_schemes__pmsby_target
Kheda,March 2023,,,,,,,,,,66,94,257,97,235996,312326,391,156,30718,24186,24036,151906,257284,53164,148908,41.54,81.56,12763,12557,1265,1147,181153,192094,14775,6161,751784,313196,613139,110669,28213,,130,96,60,286,45.06,879049.44,286,1950798.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347,32843,2139,34976,45.48,131.3,2962,25014,52401,164294,74165,189779,74.49,103.9,70342,158131,294,1732,898,4540,6.78,15.86,4336,10922,2061,13520,10354,84789,27.7,39.77,7440,33995,19313,16964,41912,59578,890.41,429.03,2169,3954,77746,70498,159692,87570,139.59,81.98,55697,85996,131494,267635,235996,312326,101.93,99.44,129001,269141,10335,161918,24036,151906,80.29,192.37,12872,84169,163497,461769,313196,613139,104.93,114.82,155818,402180,,,,,,,,,,,,,,
Mahesana,March 2023,,,,,,,,,,55,210,378,113,278605,595722,252,74,7049,15598,25377,420211,38209,47016,204870,36.72,75.26,11472,18591,4732,2748,168114,280538,3204,3291,1622203,350998,1220803,56863,19270,,188,142,65,395,80.64,1828117.43,395,2266906.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2704,255435,4276,176743,15.88,280.01,17028,91225,149428,325166,164391,293971,41.92,99.26,356439,327600,715,1475,1342,3652,122.64,147.5,583,1000,3725,37447,22691,188512,79.32,99.86,4696,37500,13493,12348,22983,12706,279.94,70.07,4820,17622,68264,100410,109938,125008,150.53,107.91,45350,93053,220396,681011,278605,595722,52.62,133.04,418817,511878,11492,415852,25377,420211,19.05,159.94,60334,260000,249821,1148134,350998,1220803,51.06,138.66,489250,828000,,,,,,,,,,,,,,
Mahisagar,March 2023,,,,,,,,,,32,43,76,1,123461,105426,22,13,1674,2704,4469,18824,30398,16615,21448,59.77,82.6,3820,5255,981,842,88692,87742,17010,17951,176397,144545,145697,29670,9053,,61,43,2,106,46.2,220864.02,106,478033.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,1631,469,2700,23.14,55.8,1266,2923,43900,55573,52573,68346,91.41,121.31,48027,45812,45,239,181,732,7.73,13.54,582,1765,277,2639,1737,14081,39.8,61.66,696,4280,7434,8531,14697,6634,639.76,303.16,1162,2814,38881,27075,70419,34379,952.5,175.6,4082,15419,83074,84279,123461,105426,155.64,131.37,53375,64154,1409,11728,4469,18824,133.3,215.03,1057,5454,92239,107416,144545,145697,162.19,136.89,56872,78467,,,,,,,,,,,,,,
Morbi,March 2023,,,,,,,,,,27,50,150,73,124759,327243,13,2,4099,11815,16146,1395276,20152,20423,97497,15.76,87.68,1770,2989,303,396,69480,116587,372,582,2075778,161328,1820017,11715,3751,,79,40,62,181,185.16,2367731.23,181,1278714.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2668,65947,6638,79303,14.15,248.39,18854,26550,97040,216111,99709,200827,36.44,110.87,266307,194927,88,261,253,1138,16.18,23.26,544,1122,2191,19135,10097,78568,182.43,109.52,1201,17472,4135,19325,10073,17791,193.86,161.22,2133,11987,9555,31681,18412,47114,24.96,72.82,38284,43505,109263,313738,124759,327243,33.78,118.4,323445,264981,9001,1063947,16146,1395276,132.91,347.09,6772,306534,124678,1416407,161328,1820017,37.32,235.25,334095,602096,,,,,,,,,,,,,,
Narmada,March 2023,,,,,,,,,,32,29,63,2,52519,71215,81,22,2216,4329,3835,15387,1737,13462,15266,56.53,80.86,3222,3836,995,1090,33702,41584,24274,26592,125979,69816,101868,17427,6595,,37,29,1,67,52.59,149083.08,67,283469.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072,2439,1322,2755,4.32,23.17,24836,10528,17323,35315,26744,47952,26.54,63.99,65280,55186,24,105,69,295,92.31,22.44,26,468,588,2580,1666,12132,435.56,121.93,135,2116,5134,2095,11727,2839,180.65,42.76,2842,4900,16260,16741,24453,20508,97.48,96.55,16681,17339,34655,54495,52519,71215,32.45,65.62,106797,83052,1733,12209,3835,15387,392.08,79.08,442,15438,42134,71484,69816,101868,38.22,67.45,110242,105974,,,,,,,,,,,,,,
Navsari,March 2023,,,,,,,,,,106,70,289,113,94111,155497,142,113,5444,23298,18321,154199,558621,46735,169319,20.7,63.77,4214,8793,3938,5863,68983,97002,32220,44854,751213,159167,479014,37338,13122,,146,54,74,274,32.88,876933.15,274,2667275.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,16639,1306,20957,10.6,113.98,7299,14598,31252,57602,42579,71210,166.04,96.53,18822,59675,375,2179,1085,5777,24.18,40.6,1551,5367,3299,30077,18041,146194,33.03,63.72,9989,47201,15971,55043,27609,17347,99.59,166.86,16036,32988,32918,53067,50226,63330,124.95,120.69,26345,43971,64944,127307,94111,155497,123.78,107.66,52466,118245,8639,113816,18321,154199,86.14,248.22,10029,45852,93228,328422,159167,479014,103.51,131.55,90071,249652,,,,,,,,,,,,,,
Panch Mahals,March 2023,,,,,,,,,,40,62,166,64,153269,126491,132,81,5301,6964,11498,98689,20787,37183,87496,29.87,73.83,7258,8216,1663,1556,106603,96433,11925,11364,423484,201950,312676,65494,20813,,93,50,38,181,61.08,533681.33,181,873732.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515,5970,1037,6624,3.09,23.5,16648,25409,39291,43813,52763,64826,85.32,78.87,46050,55551,100,402,425,1774,22.47,24.48,445,1642,1244,11668,8459,75067,170.64,61.07,729,19105,13509,10484,28299,10655,77.13,114.99,17514,9117,57874,41011,99469,55041,298.52,292.77,19387,14008,97680,90795,153269,126491,119.0,95.61,82085,94968,4064,75888,11498,98689,44.44,280.44,9145,27060,116597,189237,201950,312676,106.08,124.59,109918,151892,,,,,,,,,,,,,,
Patan,March 2023,,,,,,,,,,24,57,153,72,146052,326000,36,10,2600,7097,7702,52769,13160,16995,68104,68.0,93.21,4099,8918,3259,1332,77462,155754,636,983,479429,170749,446873,16277,5042,,68,54,36,158,77.58,585718.28,158,755010.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,21523,964,28196,62.53,109.82,998,19598,107669,231093,115259,254472,47.3,107.27,227625,215439,158,310,281,1153,25.16,8.91,628,3478,1628,11533,7963,62563,64.35,48.67,2530,23696,7015,4106,8751,4388,171.39,17.85,4093,22997,20322,40331,29829,43332,75.9,77.51,26773,52032,128615,292946,146052,326000,50.36,102.05,255396,287070,3760,43150,7702,52769,26.71,101.55,14077,42490,141176,352046,170749,446873,51.02,92.71,276724,379731,,,,,,,,,,,,,,
Porbandar,March 2023,,,,,,,,,,5,12,70,53,53133,146292,18,1,467,1591,6491,64453,219872,8416,60340,45.69,84.67,2297,4802,246,205,34373,63589,783,2018,320174,68040,271085,1892,796,,27,15,48,90,35.74,373072.11,90,1043953.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,24447,1227,23949,13.39,171.34,6214,14268,41738,121094,45463,105906,55.77,87.43,74838,138507,119,394,335,1383,88.15,48.64,135,810,1224,10103,6911,50016,313.04,92.86,391,10880,990,4037,1170,8941,44.45,110.66,2227,3648,5542,17743,6443,16437,56.99,79.5,9724,22317,48112,163284,53133,146292,53.0,93.26,90776,175093,2864,50845,6491,64453,33.88,79.12,8454,64260,53309,228663,68040,271085,52.27,89.78,101983,254690,,,,,,,,,,,,,,
Rajkot,March 2023,,,,,,,,,,82,104,727,541,326096,992330,208,37,15314,26968,75471,2170255,705218,214147,880401,18.18,74.06,28716,26681,1312,1052,216037,363509,6169,6178,5459174,615714,4042985,39659,13361,,243,86,338,667,92.01,6318409.64,667,6866836.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7539,384275,17258,374706,15.97,373.31,47199,102936,232335,483514,238837,458892,85.85,78.17,270621,618539,870,3285,2633,12650,20.75,36.04,4192,9114,143537,245762,173607,825733,840.97,132.11,17068,186030,19676,40572,37907,42017,138.16,131.93,14241,30752,35884,107549,70001,158731,32.23,44.31,111339,242744,275758,975337,326096,992330,64.26,101.15,429159,964219,39975,1957303,75471,2170255,11.31,172.29,353479,1136050,479816,3222258,615714,4042985,58.65,138.52,818139,2326165,,,,,,,,,,,,,,
Sabar Kantha,March 2023,,,,,,,,,,44,188,236,4,243697,480848,183,135,7262,22625,12968,205199,18353,20929,102413,52.82,86.61,10143,15337,2398,3388,127509,267243,12406,9422,910338,277594,788460,49059,12925,,168,109,5,282,90.52,1050034.83,282,1159954.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277,49783,2076,67820,14.63,89.49,8727,55632,99464,263572,112015,274756,54.84,85.14,181381,309572,151,688,529,2345,31.07,102.53,486,671,1895,16351,10549,92441,105.45,77.04,1797,21225,5769,7322,9851,7628,349.64,98.11,1650,7463,62723,96399,129606,138272,127.47,154.96,49206,62209,163464,409754,243697,480848,68.31,95.87,239314,427414,5693,155163,12968,205199,30.44,110.44,18703,140496,176972,589278,277594,788460,67.56,98.66,261950,597271,,,,,,,,,,,,,,
Surat,March 2023,,,,,,,,,,153,223,1780,1404,146852,594608,414,66,23009,80336,134687,4434615,646601,282525,1888553,5.78,67.26,14424,21447,2144,3363,108369,228367,32065,41068,10285400,564064,6917776,96434,30907,,176,156,609,941,112.08,11931671.54,941,10645560.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3369,83173,5013,124879,25.14,114.6,13399,72579,56599,188021,71689,243525,70.41,52.04,80389,361281,1768,8902,5025,27850,18.58,24.83,9515,35856,42074,353857,179871,1814285,191.12,118.29,22014,299140,55993,35278,97629,46417,264.93,31.96,21135,110382,49133,209417,70150,226204,64.09,161.34,76666,129796,109101,480610,146852,594608,64.01,85.27,170454,563656,73700,3999913,134687,4434615,78.01,231.87,94476,1725100,282636,4878560,564064,6917776,88.99,178.43,317594,2734134,,,,,,,,,,,,,,
Surendranagar,March 2023,,,,,,,,,,12,73,154,69,172536,426218,87,8,4822,12886,11356,217853,11976,25086,66319,58.17,96.95,5700,12629,809,593,97442,167198,1151,1872,732760,208978,710390,20636,6557,,79,72,48,199,82.73,917942.18,199,1109557.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765,25196,1513,34101,16.31,237.14,4691,10625,116115,287127,140509,338913,98.21,95.17,118231,301706,102,256,403,1542,25.69,17.03,397,1503,1558,12264,8236,59411,125.85,90.82,1238,13503,8349,4602,16447,5367,496.08,218.83,1683,2103,20570,45795,30514,53204,31.9,26.14,64480,175168,137450,358117,172536,426218,73.35,73.46,187402,487499,6177,114733,11356,217853,53.77,163.1,11488,70345,153636,489973,208978,710390,75.98,85.22,202208,574953,,,,,,,,,,,,,,
Tapi,March 2023,,,,,,,,,,38,77,115,0,40895,76758,89,51,1510,4872,4674,31276,7858,12296,39885,41.77,80.49,1955,2419,2867,4361,34461,32420,28417,31984,183767,57865,147920,13504,4088,,44,42,0,86,49.51,231551.64,86,467693.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483,4400,922,8728,26.51,59.66,1822,7375,9570,29478,15846,38461,19.72,28.45,48521,103631,80,460,268,1442,13.47,27.46,594,1675,818,6402,4238,36146,185.91,194,440,3300,4016,2086,7790,2298,66.5,33.5,6039,6226,14541,18802,24127,29568,81.23,79.85,17901,23546,24594,52680,40895,76758,36.04,39.15,68244,134552,1868,12567,4674,31276,514.6,476.38,363,2638,31376,74195,57865,147920,41.46,50,75680,148390,,,,,,,,,,,,,,
Vadodara,March 2023,,,,,,,,,,152,74,1225,999,197546,426851,800,139,23682,63076,74806,1765570,1393190,189903,1086424,6.1,46.82,20914,46279,1394,1952,120493,199913,19239,30771,7002465,462255,3278846,84076,29317,,187,63,513,763,61.34,8090684.43,763,13190754.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3870,125495,6653,93694,28.68,204.72,13492,61300,59062,163868,75294,193318,150.18,111.36,39328,147150,1673,9647,5142,33651,69.39,87.7,2411,11000,20403,202959,102976,1010976,173.72,89.41,11745,227000,45180,71039,81785,41796,598.73,198.43,7546,35800,63918,129416,115599,139839,232.51,192.44,27491,67250,126850,418779,197546,426851,157.95,151.9,80311,275700,34901,1449490,74806,1765570,33.71,170.43,103528,850500,229007,2151914,462255,3278846,111.42,153.71,205541,1400000,,,,,,,,,,,,,,
Valsad,March 2023,,,,,,,,,,72,170,447,205,63472,112750,132,12,7349,50123,29582,614503,123391,68381,268824,7.67,67.78,4658,7008,2658,3269,41120,58854,34278,41654,1469561,161435,996078,37072,15528,,91,67,113,271,70.22,1735580.07,271,2471593.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277,12549,2320,17138,23.21,62.87,5503,19960,16359,33555,24329,44220,66.57,127.73,24575,26270,403,1673,1129,5171,50.06,63.73,805,2625,6082,39674,33054,232994,104.72,66.47,5808,59685,21680,29529,34198,30659,442.72,422.45,4897,6990,23882,40297,36823,51393,141.41,131.39,16889,30670,41518,86401,63472,112750,88.4,112.36,46967,76900,14822,551958,29582,614503,156.15,149.79,9492,368500,84505,709235,161435,996078,124.33,137.8,67969,514700,,,,,,,,,,,,,,
Ahmadabad,June 2023,,,,,,,,,,87,167,2387,2133,285059,1309466,885,269,42578,105596,233499,6257759,1936219,318530,2280986,4.66,35.02,46285,90065,1699,5687,166707,322349,10621,14601,28121896,837088,9848212,110440,40210,,165,155,1260,1580,93.83,29945755.57,1580,31915259.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40388,383159,47634,763378,102.47,98.12,39415,390505,103404,231657,123269,317263,86.08,76.93,120125,301125,476,2330,8656,55152,4.14,4.6,11508,50648,19517,82107,190326,2017156,23.34,18.34,83607,447660,14168,48655,119548,208678,54.22,46.79,26129,103978,28251,52781,114156,228825,72.39,30.12,39027,175250,172043,667597,285059,1309466,86.64,77.01,198567,866880,59336,3048215,233499,6257759,37.78,67.76,157060,4498484,265540,3848904,837088,9848212,55.68,64.5,476871,5967650,,,,,,,,,,,,,,
Amreli,June 2023,,,,,,,,,,33,79,156,44,150399,521384,570,598,3597,10189,9678,101442,11138,16223,63664,74.1,97.56,3986,7403,525,312,74901,145186,341,785,703631,176300,686490,7037,2854,,136,77,39,252,76.01,831338.81,252,1093653.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303,19587,1440,64746,1.17,27.06,25876,72377,83955,304559,119478,370927,36.86,73.8,227798,412674,25,41,527,1917,4.22,2.54,593,1612,220,1601,6854,56914,4.86,7.57,4527,21141,1422,1875,8842,4833,9.55,6.93,14897,27060,9523,22157,29481,85711,83.59,70.33,11393,31504,93781,346303,150399,521384,35.38,67.04,265067,516556,2173,49983,9678,101442,15.98,60.37,13595,82800,97621,399804,176300,686490,32.68,61.59,298679,649169,,,,,,,,,,,,,,
Anand,June 2023,,,,,,,,,,70,188,389,131,288309,370921,622,213,28326,24994,28760,229394,750171,68153,171444,31.38,65.29,11488,12837,1344,1222,207196,232494,11110,4865,1182030,385222,771760,117764,27670,,148,191,78,417,34.16,1366167.04,417,3999156.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,31067,6798,43127,12.95,57.53,4517,54000,21450,62455,84447,186419,35.71,35.78,60065,174544,441,2717,2376,16031,39.98,34.28,1103,7925,1007,4677,14735,127368,38.39,22.22,2623,21046,4689,9447,51042,28046,25.34,15.22,18505,62085,27958,41128,197064,141375,37.96,33.55,73648,122582,49993,134650,288309,370921,36.17,38.35,138230,351126,5613,94587,28760,229394,46.07,58.98,12183,160384,61743,246077,385222,771760,35.76,40.84,172644,602566,,,,,,,,,,,,,,
Arvalli,June 2023,,,,,,,,,,39,85,125,1,171743,273050,174,174,2673,5996,6825,52324,9679,11780,39789,69.27,92.64,4817,8853,1714,1969,69850,142863,6085,10889,394156,190348,365164,17356,6039,,87,68,1,156,80.77,464853.93,156,575552.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353,5148,1117,17067,0.93,12.12,37774,42479,41627,105743,64086,172146,62.54,47.18,66563,224145,37,106,274,1058,8.28,13.64,447,777,252,605,4960,35075,14.47,2.28,1741,26490,949,1375,6546,3657,8.53,12.31,11123,11171,21460,18108,106540,83837,31.73,27.07,67643,66892,63440,128999,171743,273050,36.89,38.68,171980,333516,1175,25155,6825,52324,7.03,85.12,16716,29553,65853,156241,190348,365164,32.6,38.91,202007,401508,,,,,,,,,,,,,,
Banas Kantha,June 2023,,,,,,,,,,97,137,440,206,323013,943945,19,27,4260,12689,14761,216246,9702,30227,112404,66.69,89.9,7110,18237,761,744,170240,396841,1988,4546,1415514,368001,1272595,17096,5093,,196,72,83,351,111.06,1651033.25,351,1486677.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635,54434,2202,142290,1.16,27.36,54537,198955,141356,347192,225132,628763,53.82,62.85,262631,552388,52,173,509,2348,3.66,2.44,1419,7077,742,3545,11745,104087,16.16,9.6,4591,36937,2311,1180,17973,5968,16.72,2.92,13818,40388,20273,42858,95679,172893,51.48,49.84,39381,85990,162264,444485,323013,943945,45.51,53.08,356549,837332,2973,111012,14761,216246,14.38,60.95,20680,182138,168342,560396,368001,1272595,42.4,50.77,397057,1103872,,,,,,,,,,,,,,
Bharuch,June 2023,,,,,,,,,,86,197,430,147,106611,239242,101,25,15962,47724,26780,520494,118526,65641,260111,16.68,71.1,7064,10814,2003,2533,68485,124384,18878,22329,1434450,199032,1019848,25462,10182,,137,108,72,317,59.61,1732597.31,317,2906489.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,3598,1897,25435,27.72,20.49,1515,17563,26758,62482,60275,145581,53.58,46.89,49939,133252,71,373,1233,6249,12.12,18.32,586,2036,2254,9337,29337,243365,50.17,24.26,4493,38490,3933,2153,35071,10497,28.47,21.72,13815,9912,8850,14650,44439,68226,44.16,32.53,20041,45033,36028,80730,106611,239242,50.39,41.22,71495,195848,4649,197519,26780,520494,38.64,58.1,12032,339986,46935,290111,199032,1019848,45.83,49.48,102421,586272,,,,,,,,,,,,,,
Bhavnagar,June 2023,,,,,,,,,,42,74,278,162,128959,417385,61,23,7640,27880,22236,433921,53543,60592,199581,33.11,83.36,3908,10657,891,604,71433,182698,534,1418,1260723,211787,1050887,20694,6611,,122,73,113,308,66.62,1548968.18,308,2324917.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,46396,2007,102064,3.0,73.13,18979,63440,58383,171606,92493,259887,37.98,57.66,153740,297600,86,184,1236,5349,21.03,9.84,409,1870,3455,7228,24685,162555,233.92,26.38,1477,27400,7524,12663,34671,31677,56.95,36.4,13212,34790,9635,15803,34459,55434,4.4,36.2,219050,43650,68587,233805,128959,417385,17.51,57.77,391769,404690,5134,244642,22236,433921,71.51,34.46,7179,710000,84786,498521,211787,1050887,20.48,42.29,414046,1178750,,,,,,,,,,,,,,
Botad,June 2023,,,,,,,,,,3,22,52,27,65342,186022,59,64,2090,1940,3454,36864,2165,12106,22742,81.64,107.8,1467,2271,306,89,42413,95022,337,543,227865,80902,245629,8291,2413,,41,21,29,91,83.73,283987.85,91,339185.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713,28837,5269,38702,10.57,44.75,44590,64438,32382,97505,46520,127764,16.04,47.75,201944,204194,11,22,107,392,10,2.48,110,886,207,608,2572,14269,11.27,4.54,1836,13395,2087,3261,9427,8081,5.43,29.76,38470,10957,3660,5840,13553,19556,4.72,12.42,77465,47019,40755,132182,65342,186022,12.58,41.88,323999,315651,645,13786,3454,36864,27.73,28.91,2326,47685,43705,149860,80902,245629,11.92,38.57,366741,388574,,,,,,,,,,,,,,
Chhotaudepur,June 2023,,,,,,,,,,42,36,78,0,78547,104372,28,16,1489,3752,5376,25524,2644,9479,30186,52.91,81.14,3531,6716,1582,2169,46929,61191,25977,44233,197279,93402,160082,11797,3609,,68,33,0,101,66.26,225254.73,101,339948.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,3678,557,10345,1.08,33.44,5575,11000,10622,21876,35631,65860,40.85,30.77,26000,71100,5,18,129,522,2,0.62,250,2900,85,625,2634,27222,12.14,3.91,700,16000,850,387,6716,2443,57.82,6.75,1470,5730,6011,6040,42359,28168,30.63,27.74,19625,21770,16693,31594,78547,104372,32.6,30.42,51200,103870,632,10181,5376,25524,90.29,55.03,700,18500,18265,42805,93402,160082,33.62,29.12,54320,147000,,,,,,,,,,,,,,
